target_smiles,target_inchi_key,num_predictions,exact_match_top1,exact_match_top10,tanimoto_top1,tanimoto_top10,tanimoto_mean,mist_tanimoto,spec_name,proposal_smiles,proposal_source,formula_matches_collected,total_generated,total_valid,total_formula_matched,unique_valid_smiles,duplicate_valid_smiles,valid_duplicate_rate,formula_duplicate_matches,formula_match_fraction_among_valid,unique_valid_fraction_among_valid,generation_time,num_tokens_unmask,encoder_batch_size,top_prediction_smiles
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.5593220591545105,0.5593220591545105,0.5593220591545105,0.8333333134651184,MassSpecGymID0000201,CCC(C)[C@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C(C)(C)C)[C@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N(C)C1=O,formula,1,21,4,1,4,0,0.0,0,0.25,1.0,3.5608601570129395,1,1,['CCC(C)[C@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C(C)(C)C)[C@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N(C)C1=O']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.40909090638160706,0.40909090638160706,0.40909090638160706,0.7291666865348816,MassSpecGymID0000202,CCC(C)C1OC(=O)C(Cc2ccccc2)OC(=O)C(C(C)CC)N(Cc2ccccc2)C(=O)N(C)C(=O)C(C(C)C)N(C)C(=O)C(Cc2ccccc2)OC1=O,formula,1,22,2,1,2,0,0.0,0,0.5,1.0,3.473424196243286,1,1,['CCC(C)C1OC(=O)C(Cc2ccccc2)OC(=O)C(C(C)CC)N(Cc2ccccc2)C(=O)N(C)C(=O)C(C(C)C)N(C)C(=O)C(Cc2ccccc2)OC1=O']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.5645161271095276,0.5645161271095276,0.5645161271095276,0.875,MassSpecGymID0000203,CCC(C)C1CN(C)C(=O)C(Cc2ccccc2)OC(=O)N(C)C(Cc2ccccc2)C(=O)C(C)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC1=O,formula,1,30,30,1,24,6,0.2,0,0.03333333333333333,0.8,5.236085891723633,1,1,['CCC(C)C1CN(C)C(=O)C(Cc2ccccc2)OC(=O)N(C)C(Cc2ccccc2)C(=O)C(C)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC1=O']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.4583333432674408,0.4583333432674408,0.4583333432674408,0.875,MassSpecGymID0000204,[3H]C[C@@H](C)[C@H]1C(=O)O[C@@H]([C@@H](C)CC)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C(C)C)OC(=O)[C@@H]([3H])OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)c2ccccc21,formula,1,21,8,1,5,3,0.375,0,0.125,0.625,3.5026228427886963,1,1,['[3H]C[C@@H](C)[C@H]1C(=O)O[C@@H]([C@@H](C)CC)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C(C)C)OC(=O)[C@@H]([3H])OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)c2ccccc21']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.3472222089767456,0.3472222089767456,0.3472222089767456,0.875,MassSpecGymID0000205,CCC(C)C1C(=O)N(C)C(=O)OC(Cc2ccccc2)N(C)C(=O)N(C(C)CC)C(=O)C(Cc2ccccc2)OC(=O)C(Cc2ccccc2)C(=O)OC1C(C)C,formula,1,22,10,1,10,0,0.0,0,0.1,1.0,3.516124725341797,1,1,['CCC(C)C1C(=O)N(C)C(=O)OC(Cc2ccccc2)N(C)C(=O)N(C(C)CC)C(=O)C(Cc2ccccc2)OC(=O)C(Cc2ccccc2)C(=O)OC1C(C)C']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.47297295928001404,0.47297295928001404,0.47297295928001404,0.8536585569381714,MassSpecGymID0000206,CCC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)O[C@H]([C@@H](Cc2ccccc2)N(C)C=O)CC(=O)N(C)C(=O)[C@@H](O)[C@H]1Cc1ccccc1,formula,1,21,2,1,2,0,0.0,0,0.5,1.0,3.512394905090332,1,1,['CCC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)O[C@H]([C@@H](Cc2ccccc2)N(C)C=O)CC(=O)N(C)C(=O)[C@@H](O)[C@H]1Cc1ccccc1']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.4923076927661896,0.4923076927661896,0.4923076927661896,0.875,MassSpecGymID0000207,CC[C@H](C)[C@H]1OC(=O)[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@H](CC)[C@@H](Cc2ccccc2)C(=O)N(C)C(=O)N(C)[C@@H](C(C)C)OC1=O,formula,1,20,10,1,8,2,0.2,0,0.1,0.8,3.517274856567383,1,1,['CC[C@H](C)[C@H]1OC(=O)[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@H](CC)[C@@H](Cc2ccccc2)C(=O)N(C)C(=O)N(C)[C@@H](C(C)C)OC1=O']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.4202898442745209,0.4202898442745209,0.4202898442745209,0.8333333134651184,MassSpecGymID0000208,CC[C@H](C)[C@@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](C(C)C)OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)C(=O)N[C@H](C(C)C)C(=O)O[C@@H]1Cc1ccccc1,formula,1,20,19,1,17,2,0.10526315789473684,0,0.05263157894736842,0.8947368421052632,3.521076202392578,1,1,['CC[C@H](C)[C@@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](C(C)C)OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)C(=O)N[C@H](C(C)C)C(=O)O[C@@H]1Cc1ccccc1']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.49180328845977783,0.49180328845977783,0.49180328845977783,0.875,MassSpecGymID0000209,CC[C@@H](C)[C@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)C(=O)N(Cc2ccccc2)[C@@H]([C@H](C)CC)C(=O)O[C@@H](C(C)C)C(=O)N1C,formula,1,22,4,1,4,0,0.0,0,0.25,1.0,3.5215771198272705,1,1,['CC[C@@H](C)[C@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)C(=O)N(Cc2ccccc2)[C@@H]([C@H](C)CC)C(=O)O[C@@H](C(C)C)C(=O)N1C']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.5254237055778503,0.5254237055778503,0.5254237055778503,0.8536585569381714,MassSpecGymID0000210,CCC(C)C1OC(=O)C(Cc2ccccc2)OC(=O)C(CC)N(C)C(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)N(C)C(=O)C(Cc2ccccc2)OC1=O,formula,1,22,19,1,16,3,0.15789473684210525,0,0.05263157894736842,0.8421052631578947,3.5322813987731934,1,1,['CCC(C)C1OC(=O)C(Cc2ccccc2)OC(=O)C(CC)N(C)C(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)N(C)C(=O)C(Cc2ccccc2)OC1=O']
