target_smiles,target_inchi_key,num_predictions,exact_match_top1,exact_match_top10,tanimoto_top1,tanimoto_top10,tanimoto_mean,mist_tanimoto,spec_name,proposal_smiles,proposal_source,formula_matches_collected,total_generated,total_valid,total_formula_matched,unique_valid_smiles,duplicate_valid_smiles,valid_duplicate_rate,formula_duplicate_matches,formula_match_fraction_among_valid,unique_valid_fraction_among_valid,generation_time,num_tokens_unmask,encoder_batch_size,top_prediction_smiles
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.5932203531265259,0.5932203531265259,0.5932203531265259,0.8333333134651184,MassSpecGymID0000201,CCC(C)C1OC(=O)C(C(C)C)N(C)C(=O)[C@H](c2ccccc2)N(C)C(=O)[C@@H](Cc2ccccc2)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)C(C(C)C)OC1=O,formula,1,19,2,1,2,0,0.0,0,0.5,1.0,3.2708687782287598,1,1,['CCC(C)C1OC(=O)C(C(C)C)N(C)C(=O)[C@H](c2ccccc2)N(C)C(=O)[C@@H](Cc2ccccc2)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)C(C(C)C)OC1=O']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.4264705777168274,0.4264705777168274,0.4264705777168274,0.7291666865348816,MassSpecGymID0000202,CC[C@H](C)[C@H]1C(=O)O[C@H](C(C)C(C)OO)C(=O)[C@@H](C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N1C,formula,1,20,6,1,6,0,0.0,0,0.16666666666666666,1.0,3.29750394821167,1,1,['CC[C@H](C)[C@H]1C(=O)O[C@H](C(C)C(C)OO)C(=O)[C@@H](C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N1C']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.3815789520740509,0.3815789520740509,0.3815789520740509,0.875,MassSpecGymID0000203,CC[C@H](C)[C@@H]1ON(CC(=O)[C@@H](Cc2ccccc2)OC(=O)C(C)C)C(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](Cc2ccccc2)OC1=O,formula,1,20,14,1,13,1,0.07142857142857142,0,0.07142857142857142,0.9285714285714286,3.241665840148926,1,1,['CC[C@H](C)[C@@H]1ON(CC(=O)[C@@H](Cc2ccccc2)OC(=O)C(C)C)C(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](Cc2ccccc2)OC1=O']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.4848484992980957,0.4848484992980957,0.4848484992980957,0.875,MassSpecGymID0000204,CC[C@H](C)[C@@H]1OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@](N)(C(C)C)C(=O)[C@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)OC(=O)[C@H](Cc2ccccc2)C(=O)N1C,formula,1,19,7,1,7,0,0.0,0,0.14285714285714285,1.0,3.243917465209961,1,1,['CC[C@H](C)[C@@H]1OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@](N)(C(C)C)C(=O)[C@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)OC(=O)[C@H](Cc2ccccc2)C(=O)N1C']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.523809552192688,0.523809552192688,0.523809552192688,0.875,MassSpecGymID0000205,CC[C@H](C)[C@H]1C(=O)O[C@H]([C@@H](C)CC)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](C(C)C)C(=O)OC(=O)N1Cc1ccccc1,formula,1,20,3,1,3,0,0.0,0,0.3333333333333333,1.0,3.243558645248413,1,1,['CC[C@H](C)[C@H]1C(=O)O[C@H]([C@@H](C)CC)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](C(C)C)C(=O)OC(=O)N1Cc1ccccc1']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.44117647409439087,0.44117647409439087,0.44117647409439087,0.8536585569381714,MassSpecGymID0000206,CCC(C)C1OC(=O)C(Cc2ccccc2)OC(=O)CN(C)C(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)N(C)C(=O)C(C)C(Cc2ccccc2)OC1=O,formula,1,20,1,1,1,0,0.0,0,1.0,1.0,3.2519142627716064,1,1,['CCC(C)C1OC(=O)C(Cc2ccccc2)OC(=O)CN(C)C(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)N(C)C(=O)C(C)C(Cc2ccccc2)OC1=O']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.4354838728904724,0.4354838728904724,0.4354838728904724,0.875,MassSpecGymID0000207,CC[C@H](C)[C@H]1C(=O)N(Cc2ccccc2)C(=O)O[C@@H](Cc2ccccc2)C(=O)N(C)[C@H](C(C)C)C(=O)O[C@H]([C@@H](C)CC)C(=O)O[C@@H](Cc2ccccc2)C(=O)N1C,formula,1,20,6,1,6,0,0.0,0,0.16666666666666666,1.0,3.2548017501831055,1,1,['CC[C@H](C)[C@H]1C(=O)N(Cc2ccccc2)C(=O)O[C@@H](Cc2ccccc2)C(=O)N(C)[C@H](C(C)C)C(=O)O[C@H]([C@@H](C)CC)C(=O)O[C@@H](Cc2ccccc2)C(=O)N1C']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.3802816867828369,0.3802816867828369,0.3802816867828369,0.8333333134651184,MassSpecGymID0000208,CC[C@H](C)[C@@H]1C(=O)OC(=O)[C@@H](Cc2ccc(C(C)C)cc2)N(C)C(=O)O[C@H](C(C)C)N(C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)[C@H](Cc2ccccc2)OC1=O,formula,1,19,15,1,12,3,0.2,0,0.06666666666666667,0.8,3.2751564979553223,1,1,['CC[C@H](C)[C@@H]1C(=O)OC(=O)[C@@H](Cc2ccc(C(C)C)cc2)N(C)C(=O)O[C@H](C(C)C)N(C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)[C@H](Cc2ccccc2)OC1=O']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.875,MassSpecGymID0000209,CCC(C)C1OC(=O)C(C(C)CC)N(Cc2ccccc2)C(=O)C(Cc2ccccc2)OC(=O)N(C)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C1=O,formula,1,20,1,1,1,0,0.0,0,1.0,1.0,3.2623484134674072,1,1,['CCC(C)C1OC(=O)C(C(C)CC)N(Cc2ccccc2)C(=O)C(Cc2ccccc2)OC(=O)N(C)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C1=O']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.8536585569381714,MassSpecGymID0000210,CC[C@@H](C)C1C(=O)OC(C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@H](Cc2ccccc2)C(=O)O[C@H](C(C)(C)N)C(=O)N(C)[C@@H](Cc2ccccc2)C1=O,formula,1,20,1,1,1,0,0.0,0,1.0,1.0,3.266686201095581,1,1,['CC[C@@H](C)C1C(=O)OC(C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@H](Cc2ccccc2)C(=O)O[C@H](C(C)(C)N)C(=O)N(C)[C@@H](Cc2ccccc2)C1=O']
