mode,value,mean_tanimoto,median_tanimoto,bit_accuracy,bit_precision,bit_recall,bit_f1,mean_active_bits,mean_target_active_bits
threshold,0.25,0.5420425046339575,0.5483870967741935,0.9908363099096453,0.7285243958048335,0.6569716996882203,0.6909004105217774,57.58021320170141,63.85144147455758
threshold,0.3,0.5404596281307428,0.5384615384615384,0.9911767580689098,0.7587521660378986,0.63631825370521,0.6921626986789476,53.54823294648953,63.85144147455758
threshold,0.2,0.5378422061507253,0.5490196078431373,0.9901897596885995,0.6867113226540073,0.6816747442066644,0.6841837644370777,63.38313290973061,63.85144147455758
threshold,0.35,0.5359091926341428,0.5283018867924528,0.9913664116038373,0.7824554424928045,0.6179807438464442,0.6905597000351521,50.429659192354144,63.85144147455758
threshold,0.4,0.5293449836319708,0.5166666666666667,0.9914666037471118,0.8020841681606645,0.6008538369617155,0.6870372721331207,47.832116788321166,63.85144147455758
threshold,0.45,0.5216047973549567,0.5,0.9915171549462073,0.8195075665866544,0.5845871819185919,0.6823950013656291,45.54776033188048,63.85144147455758
threshold,0.15,0.5203502886849447,0.5340909090909091,0.9888014927360119,0.6231336038328272,0.7126076240025068,0.6648739255926769,73.01969227537678,63.85144147455758
threshold,0.5,0.5121481474045625,0.4864864864864865,0.9915203087871856,0.8352661059006197,0.568074623146367,0.6762341725215345,43.4261408391535,63.85144147455758
threshold,0.125,0.502074977470903,0.512396694214876,0.9874991487193457,0.5782246157703528,0.7321039243438935,0.6461288102918162,80.84382712807856,63.85144147455758
top_k,64,0.4965036097978326,0.51,0.9887303646476068,0.6382110552433965,0.639695934693233,0.638952632281516,64.0,63.85144147455758
threshold,0.6,0.4878935352454715,0.45,0.9914095012767159,0.8643862555856543,0.5324679276566032,0.6589921320752796,39.33293073570341,63.85144147455758
top_k,80,0.4765910328636409,0.47,0.9867814960508783,0.5606778081184687,0.7024778707204321,0.6236187025961875,80.0,63.85144147455758
top_k,48,0.47423161076412607,0.4897959183673469,0.9895237223200454,0.7181313343485796,0.5398516188936306,0.6163586913910742,48.0,63.85144147455758
threshold,0.1,0.4730022670419702,0.4765625,0.9853298445869217,0.520298650722914,0.75519584710545,0.6161177189701804,92.67820196397626,63.85144147455758
top_k,96,0.4401093124356558,0.42424242424242425,0.984111474791426,0.4936043865637417,0.7421292302226374,0.5928757435404335,96.0,63.85144147455758
top_k,32,0.38639851392569347,0.367816091954023,0.9890592102618088,0.7974682297957255,0.39966182069094836,0.5324694748641181,32.0,63.85144147455758
top_k,128,0.3646121502636745,0.3464052287581699,0.9776636648596269,0.3920383310140209,0.7859009164231616,0.523122536730582,128.0,63.85144147455758
top_k,160,0.30705808746067575,0.29012345679012347,0.9706381635681418,0.32370424828020794,0.8111434687887309,0.46274153415018243,160.0,63.85144147455758
