target_smiles,target_inchi_key,num_predictions,exact_match_top1,exact_match_top10,tanimoto_top1,tanimoto_top10,tanimoto_mean,mist_tanimoto,spec_name,proposal_smiles,proposal_source,formula_matches_collected,total_generated,total_valid,total_formula_matched,generation_time,top_prediction_smiles
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,3,0.0,0.0,0.550000011920929,0.550000011920929,0.506250003973643,0.8974359035491943,MassSpecGymID0000201,CCC(C)C1OC(=O)N(C)C(C(C)C)C(=O)OC(c2ccccc2)C(=O)N(C)C(Cc2ccccc2)C(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC1=O,formula,3,12,9,3,6.419909238815308,"['CCC(C)C1OC(=O)N(C)C(C(C)C)C(=O)OC(c2ccccc2)C(=O)N(C)C(Cc2ccccc2)C(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC1=O', 'CCC(C)C1C(=O)OC(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)C(C(C)C)C(=O)OC(c2ccccc2)C(Cc2ccccc2)C(=O)N(C)OC(=O)N1C', 'CCC(C)[C@H]1OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](Cc2ccccc2)OC(=O)C[C@@H](C)N(C)C(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@@H](Cc2ccccc2)OC1=O']"
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,3,0.0,0.0,0.6363636255264282,0.6363636255264282,0.5755297243595123,0.7954545617103577,MassSpecGymID0000202,CC[C@H](C)[C@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N(C)C(=O)O[C@H](C(C)C)C(=O)N1C,formula,3,30,30,1,12.169870376586914,"['CC[C@H](C)[C@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N(C)C(=O)O[C@H](C(C)C)C(=O)N1C', 'CCC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)C(=O)[C@@H](C(C)C)O[C@H](Cc2ccccc2)C(=O)N1C', 'CC[C@H](C)[C@@H]1C(=O)OCN(C(C)C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](Cc2ccccc2)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)OC1=O']"
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,3,0.0,0.0,0.6034482717514038,0.6034482717514038,0.5481439630190531,0.8974359035491943,MassSpecGymID0000203,CC[C@@H](C)[C@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)N(C)C(=O)[C@H](Cc2ccccc2)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H]1CC,formula,3,30,17,3,11.95953893661499,"['CC[C@@H](C)[C@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)N(C)C(=O)[C@H](Cc2ccccc2)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H]1CC', 'CCC(C)C1C(=O)OC(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)NC(C(C)C)C(=O)OC(Cc2ccccc2)C(=O)OC(Cc2ccccc2)C(=O)N1C', 'CC[C@@H](C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)C[C@H](Cc2ccccc2)OC(=O)[C@@H](Cc2ccccc2)[C@@H](C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)OC(=O)N1C']"
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,3,0.0,0.0,0.4852941036224365,0.4852941036224365,0.44906629125277203,0.9210526347160339,MassSpecGymID0000204,CC[C@H](C)[C@@H]1OC(=O)N(Cc2ccccc2)N(C)C(=O)C[C@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C(C)C)OC1=O,formula,3,16,15,3,6.476911783218384,"['CC[C@H](C)[C@@H]1OC(=O)N(Cc2ccccc2)N(C)C(=O)C[C@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C(C)C)OC1=O', 'CCC1OC(=O)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)C(C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)OC(Cc2ccccc2)C(C(C)CC)OC1=O', 'CC[C@H](C)[C@H]1C(=O)O[C@H](C(C)C)[C@H](C)C(=O)N(C)CC(=O)[C@@H](Cc2ccccc2)OC(=O)[C@H](Cc2ccccc2)OC(=O)N(C)[C@H](Cc2ccccc2)C(=O)N1C']"
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,3,0.0,0.0,0.686274528503418,0.686274528503418,0.4962347249190013,0.8974359035491943,MassSpecGymID0000205,CC[C@@H](C)[C@@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N1C,formula,3,30,30,2,11.8974130153656,"['CC[C@@H](C)[C@@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N1C', 'CC[C@H](C)[C@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)O[C@H](C)C(=O)[C@@H](Cc2ccccc2)OC(=O)[C@H](N)[C@H](C(C)C)CC(=O)N1C', 'CCC(C)C1C(=O)OC(Cc2ccccc2)C(=O)N(C)C(C(C)C)C(=O)OC(Cc2ccccc2)C(=O)OC(C)C(=O)N(C)C(Cc2ccccc2)CC(=O)N1C']"
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,3,0.0,0.0,0.49253731966018677,0.5,0.4743642906347911,0.8974359035491943,MassSpecGymID0000206,CC[C@H](C)[C@@H]1OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)NC[C@@H](Cc2ccccc2)C(=O)[C@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)COC(=O)[C@@H](C)N(C)C1=O,formula,3,16,12,3,6.503633499145508,"['CC[C@H](C)[C@@H]1OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)NC[C@@H](Cc2ccccc2)C(=O)[C@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)COC(=O)[C@@H](C)N(C)C1=O', 'CCC(C)C1COC(C)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C(=O)N(C)C(=O)C(Cc2ccccc2)N(C)C(=O)C(Cc2ccccc2)OC1=O', 'CC[C@H]1OC(=O)[C@@H](C(C)C(C)C)NN(Cc2ccccc2)C(=O)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](C)[C@H](Cc2ccccc2)OC(=O)[C@@H](C(C)C)OC1=O']"
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,3,0.0,0.0,0.7446808218955994,0.7446808218955994,0.626418799161911,0.9210526347160339,MassSpecGymID0000207,CC(C)C1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)N(C)C(=O)C(Cc2ccccc2)OC1=O,formula,3,30,29,3,11.665191411972046,"['CC(C)C1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)N(C)C(=O)C(Cc2ccccc2)OC1=O', 'CC(C)[C@H]1C(=O)O[C@@H](C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)OC(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@@H](C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C1=O', 'CC(C)[C@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)O[C@@H](C(C)C)[C@H](C(C)C)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)CC(=O)[C@H](Cc2ccccc2)N1C=O']"
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,3,0.0,0.0,0.6600000262260437,0.6600000262260437,0.5965432127316793,0.9210526347160339,MassSpecGymID0000208,CC(C)[C@@H]1OC(=O)[C@H](C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)[C@@H](C)OC1=O,formula,3,15,13,3,6.495987176895142,"['CC(C)[C@@H]1OC(=O)[C@H](C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)[C@@H](C)OC1=O', 'CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)[C@@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)ON(C)[C@@H](Cc2ccccc2)C(=O)N1C', 'CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)C(=O)N1C']"
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,3,0.0,0.0,0.5593220591545105,0.5593220591545105,0.5125276446342468,0.9459459185600281,MassSpecGymID0000209,CC(C)C1C(=O)O[C@H](Cc2ccccc2)C(C)C(=O)[C@H](C(C)C)OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)O[C@@H](C)C(=O)N1C,formula,3,16,11,3,6.56444525718689,"['CC(C)C1C(=O)O[C@H](Cc2ccccc2)C(C)C(=O)[C@H](C(C)C)OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)O[C@@H](C)C(=O)N1C', 'CC1C(=O)N(C)C(Cc2ccccc2)C(=O)OCCC(C(C)C)C(=O)OC(Cc2ccccc2)C(=O)N(C)C(Cc2ccccc2)C(=O)OC(C(C)C)N(C)C1=O', 'CC(C)[C@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@H](Cc2ccccc2)[C@@H](OC=O)[C@@H](C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)CN1C']"
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,3,0.0,0.0,0.6481481194496155,0.6481481194496155,0.5156817237536112,0.8974359035491943,MassSpecGymID0000210,CC[C@H](C)[C@H]1C(=O)O[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N1C,formula,3,30,30,2,12.052634239196777,"['CC[C@H](C)[C@H]1C(=O)O[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N1C', 'CCC(C)C1C(=O)OC(C(C)C)C(=O)N(C)C(=O)C(Cc2ccccc2)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)N(C)C(=O)OC1c1ccccc1', 'CC[C@H](C)[C@H]1C(=O)O[C@@H](Cc2ccccc2)C(=O)N(C)C(=O)[C@H](C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](Cc2ccccc2)C(=O)O[C@H](Cc2ccccc2)CN1C']"
