target_smiles,target_inchi_key,num_predictions,exact_match_top1,exact_match_top10,tanimoto_top1,tanimoto_top10,tanimoto_mean,mist_tanimoto,spec_name,proposal_smiles,proposal_source,conditioning_fingerprint_source,formula_matches_collected,total_generated,total_valid,total_formula_matched,generation_time,top_prediction_smiles
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,10,0.0,0.0,0.8333333134651184,0.8333333134651184,0.6825105369091033,0.8974359035491943,MassSpecGymID0000201,CC(C)[C@@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C1=O,formula,oracle,10,100,100,6,41.95409154891968,"['CC(C)[C@@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C1=O', 'CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@@H](Cc2ccccc2)C(=O)N1C', 'CC(C)[C@H]1OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)CN(C)C1=O', 'CC1C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)N(C)C1=O', 'CC(C)[C@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)N(C)C(=O)[C@H](Cc2ccccc2)N1[O]']"
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,10,0.0,0.0,0.7954545617103577,0.7954545617103577,0.6110255241394043,0.7954545617103577,MassSpecGymID0000202,CC(C)C1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)C1=O,formula,oracle,10,100,100,7,49.64965867996216,"['CC(C)C1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)C1=O', 'CC(C)[C@@H]1OC(=O)[C@@H](Cc2ccccc2)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C1=O', 'CC1C(=O)C(C)C(=O)N(C)C(Cc2ccccc2)C(=O)OC(C(C)C)C(=O)C(C)C(=O)N(C)C(Cc2ccccc2)C(=O)OC(C(C)C)C1=O', 'CC(C)C1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)OC(=O)C(Cc2ccccc2)N(C)N(C)C(=O)C(C(C)C)C1=O', 'CC(C)[C@@H]1OC(=O)[C@@H](Cc2ccccc2)OC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)[C@H](Cc2ccccc2)N(C)C1=O']"
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,10,0.0,0.0,0.686274528503418,0.686274528503418,0.5450882107019425,0.8974359035491943,MassSpecGymID0000203,CC(C)C1OC(=O)OC(C(C)C)C(Cc2ccccc2)C(=O)N(C)C(Cc2ccccc2)C(=O)OC(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)N(C)C1=O,formula,oracle,10,100,97,10,92.90119528770447,"['CC(C)C1OC(=O)OC(C(C)C)C(Cc2ccccc2)C(=O)N(C)C(Cc2ccccc2)C(=O)OC(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)N(C)C1=O', 'CC(C)C1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)N(C)C(=O)C(C(C)C)C(=O)OC(Cc2ccccc2)OC1=O', 'CC(C)[C@H]1C(=O)[C@H](Cc2ccccc2)N(C)C(=O)O[C@H](Cc2ccccc2)C(=O)O[C@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C', 'CC(C)[C@H]1C(=O)ON(C)[C@@H](Cc2ccccc2)C(=O)C(C)[C@@H](Cc2ccccc2)C(=O)O[C@H](C)C(=O)N(C)C(Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N1C', 'CC(C)[C@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)C(=O)N(C)[C@@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](Cc2ccccc2)OC(=O)[C@@H]1C(C)C']"
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,10,0.0,0.0,0.7777777910232544,0.7777777910232544,0.5542038023471832,0.9210526347160339,MassSpecGymID0000204,CC(C)[C@@H]1OC(=O)[C@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O1,formula,oracle,10,94,85,10,81.94556379318237,"['CC(C)[C@@H]1OC(=O)[C@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O1', 'CC(C)[C@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)N(C)C(=O)[C@H](Cc2ccccc2)N(C)[C@@H](Cc2ccccc2)C(=O)[C@@H](C(C)C)OC1=O', 'CC(C)C1OC(=O)C(C(C)C)C(=O)N(C)C(C(C)C)C(=O)OC(Cc2ccccc2)N(C)C(=O)C(Cc2ccccc2)OC(=O)C(Cc2ccccc2)N(C)C1=O', 'CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)O[C@@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N1C', 'CC1C(=O)N(C)C(Cc2ccccc2)C(=O)N(C(C)C)C(Cc2ccccc2)C(=O)OC(C(C)C)C(=O)OC(Cc2ccccc2)C(=O)OC(C(C)C)N(C)C1=O']"
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,10,0.0,0.0,0.6730769276618958,0.6730769276618958,0.5219933778047562,0.8974359035491943,MassSpecGymID0000205,CC(C)[C@H]1C(=O)[C@@H](C(C)C)OC(=O)[C@@H](Cc2ccccc2)OC(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N1C,formula,oracle,10,79,67,10,69.25826382637024,"['CC(C)[C@H]1C(=O)[C@@H](C(C)C)OC(=O)[C@@H](Cc2ccccc2)OC(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N1C', 'CC(C)C1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(Cc2ccccc2)OC(=O)OC(C(C)C)C(=O)N(C)C(=O)C(Cc2ccccc2)N(C)C(C(C)C)C1=O', 'CC[C@H]1C(=O)O[C@@H](C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)CC(=O)O[C@@H](C(C)C)C(=O)O[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N1C', '[2H]C(C)[C@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](Cc2ccccc2)OC(=O)[C@@H]1[2H]', 'CC(C)[C@H]1OC(=O)[C@H](C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](Cc2ccccc2)ON(C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@@H]1C']"
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,10,0.0,0.0,0.760869562625885,0.760869562625885,0.579031816124916,0.8974359035491943,MassSpecGymID0000206,CC(C)C1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C)C(C)OC1=O,formula,oracle,10,100,92,10,91.75703763961792,"['CC(C)C1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C)C(C)OC1=O', 'CC(C)[C@@H]1OC(=O)[C@@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](Cc2ccccc2)OC(=O)[C@H](Cc2ccccc2)N(C)C1=O', 'CC(C)C1OC(=O)C(N)C(=O)OC(Cc2ccccc2)C(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C1=O', 'CC(C)[C@H]1C(=O)N(C)[C@@H](C)C(=O)[C@H](C)OC(=O)C(Cc2ccccc2)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N1C', 'CC(C)[C@@H]1OC(=O)N(C)[C@@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](Cc2ccccc2)OC(=O)[C@H](Cc2ccccc2)C(=O)[C@H](C(C)C)N(C)C1=O']"
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,10,0.0,0.0,0.686274528503418,0.686274528503418,0.5720381051301956,0.9210526347160339,MassSpecGymID0000207,CC(C)C1OC(=O)C(Cc2ccccc2)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)N(C)C1=O,formula,oracle,10,79,71,10,61.963919162750244,"['CC(C)C1OC(=O)C(Cc2ccccc2)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)N(C)C1=O', 'CC(C)[C@@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)C(Cc2ccccc2)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](Cc2ccccc2)OC1=O', 'CC(C)C1OC(=O)C(Cc2ccccc2)OC(=O)C(C)N(C)C(=O)C(Cc2ccccc2)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C)C(C(C)C)N(C)C1=O', 'CC(C)[C@H]1OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@@H](C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)O[C@H]1C', 'CC(C)[C@@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)O[C@@H](C(C)C)N(C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)N(C)[C@H](Cc2ccccc2)C1=O']"
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,10,0.0,0.0,0.7142857313156128,0.7142857313156128,0.5358072966337204,0.9210526347160339,MassSpecGymID0000208,CC(C)[C@H]1OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](C)OC(=O)[C@@H]1C,formula,oracle,10,62,53,10,25.988070964813232,"['CC(C)[C@H]1OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](C)OC(=O)[C@@H]1C', 'CC(C)C1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C(c2ccccc2)OC(=O)C(C(C)C)N(C)CC(=O)C(Cc2ccccc2)N(C)C1=O', 'CC(C)[C@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)O[C@H](C)[C@@H](Cc2ccccc2)C(=O)[C@H](C)C(=O)N1C', 'CC(C)C1OC(=O)C(C(C)C)N(C)C(=O)C(Cc2ccccc2)OC(=O)C(Cc2ccccc2)N(C)C(=O)N(C)C(C(C)C)C(=O)C(Cc2ccccc2)OC1=O', 'CC(C)[C@@H]1OC(=O)[C@H](Cc2ccccc2)N(C(C)C)C(=O)[C@@H](Cc2ccccc2)OC(=O)[C@@H](C(C)C)N(C)C(=O)N(C(C)C)C(=O)[C@@H](Cc2ccccc2)OC1=O']"
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,10,0.0,0.0,0.6730769276618958,0.6730769276618958,0.5061051279306412,0.9459459185600281,MassSpecGymID0000209,CC(C)[C@@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)N(C)C(=O)[C@H](C(C)C)[C@@H](Cc2ccccc2)OC1=O,formula,oracle,10,63,51,10,25.911179304122925,"['CC(C)[C@@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)N(C)C(=O)[C@H](C(C)C)[C@@H](Cc2ccccc2)OC1=O', 'CC1C(=O)O[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@@H](C)C(=O)O[C@H](Cc2ccccc2)N(C)[C@@H](Cc2ccccc2)C1=O', 'CC(C)C1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)N(C)C(=O)OC(C(C)C)C(=O)N(C)C(=O)C(Cc2ccccc2)OC(Cc2ccccc2)C1=O', 'CC(C)[C@@H]1OC(=O)[C@H](Cc2ccccc2)CN(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C)N(C(C)C)C(=O)[C@H](c2ccccc2)OC1=O', 'CC(C)[C@@H]1OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](Cc2ccccc2)C(=O)O[C@H](Cc2ccccc2)[C@H](Cc2ccccc2)OC(=O)N(C)C(=O)[C@H](C(C)C)N(C)C1=O']"
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,10,0.0,0.0,0.7446808218955994,0.7446808218955994,0.5511131167411805,0.8974359035491943,MassSpecGymID0000210,CC(C)[C@@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](Cc2ccccc2)OC1=O,formula,oracle,10,94,80,10,65.03509593009949,"['CC(C)[C@@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](Cc2ccccc2)OC1=O', 'CC1OC(=O)C(C(C)C(C)C)OC(=O)N(C)C(Cc2ccccc2)C(=O)OC(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)N(C)C(Cc2ccccc2)C1=O', 'CC(C)C1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(Cc2ccccc2)N(C)C(=O)C(C)C(C)OC(=O)C(Cc2ccccc2)OC(=O)C(C(C)C)N(C)C1=O', 'CC(C)[C@@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C(C)C)N(C)[C@@H](Cc2ccccc2)OC(=O)[C@@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)C1=O', 'CC(C)C1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](C(C)C)C(=O)[C@H](Cc2ccccc2)N(C)OC(=O)[C@@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C1=O']"
