strategy,value,count,mist_tanimoto_mean,mist_tanimoto_median,mist_tanimoto_min,mist_tanimoto_max,active_bits_mean,active_bits_median
threshold,0.05,20,0.35037299506366254,0.315778449177742,0.11999999731779099,0.6733333468437195,152.1,155.0
threshold,0.1,20,0.43552195020020007,0.44610732793807983,0.1071428582072258,0.8163265585899353,95.65,103.5
threshold,0.15,20,0.4806330304592848,0.5194215774536133,0.095238097012043,0.8888888955116272,76.4,83.0
threshold,0.187,20,0.502012613043189,0.5501465499401093,0.08163265138864517,0.9285714030265808,68.45,74.5
threshold,0.2,20,0.5028333019465208,0.5480947196483612,0.0833333358168602,0.9285714030265808,66.7,71.5
threshold,0.25,20,0.5060236614197493,0.53125,0.08695652335882187,0.9047619104385376,60.55,63.5
threshold,0.3,20,0.5122189667075873,0.5243615657091141,0.08695652335882187,0.9150943160057068,56.3,60.0
threshold,0.4,20,0.489834164083004,0.4803091436624527,0.06741572916507721,0.9238095283508301,49.95,49.0
threshold,0.5,20,0.4713253451511264,0.44296765327453613,0.05681818351149559,0.9238095283508301,45.2,42.5
top_n,16,20,0.2084905097261071,0.19876543432474136,0.050632912665605545,0.5,16.0,16.0
top_n,32,20,0.352650797739625,0.3565169870853424,0.08791209012269974,0.7804877758026123,32.0,32.0
top_n,48,20,0.4230566773563623,0.46244239807128906,0.095238097012043,0.8163265585899353,48.0,48.0
top_n,64,20,0.4591373797506094,0.4807295799255371,0.11965811997652054,0.8513513803482056,64.0,64.0
top_n,80,20,0.45181771405041216,0.4382716119289398,0.11363636702299118,0.8658536672592163,80.0,80.0
top_n,96,20,0.42466132082045077,0.3754464387893677,0.12413793057203293,0.9142857193946838,96.0,96.0
top_n,128,20,0.35468338914215564,0.29821595549583435,0.12429378181695938,0.7518796920776367,128.0,128.0
top_n,160,20,0.3024256769567728,0.24327651411294937,0.12135922163724899,0.6158536672592163,160.0,160.0
top_n,256,20,0.20676801390945912,0.16491567343473434,0.1029900312423706,0.39382240176200867,256.0,256.0
