spec_name,subset,target_smiles,strategy,threshold,top_n,mist_tanimoto,active_bits,previous_mist_tanimoto,previous_tanimoto_top1,previous_exact_match_top1
MassSpecGymID0018517,unknown,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],threshold,0.05,,0.6557376980781555,60,0.9285714030265808,1.0,1.0
MassSpecGymID0018517,unknown,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],threshold,0.1,,0.8163265585899353,48,0.9285714030265808,1.0,1.0
MassSpecGymID0018517,unknown,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],threshold,0.15,,0.8888888955116272,44,0.9285714030265808,1.0,1.0
MassSpecGymID0018517,unknown,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],threshold,0.187,,0.9285714030265808,40,0.9285714030265808,1.0,1.0
MassSpecGymID0018517,unknown,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],threshold,0.2,,0.9285714030265808,40,0.9285714030265808,1.0,1.0
MassSpecGymID0018517,unknown,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],threshold,0.25,,0.9047619104385376,39,0.9285714030265808,1.0,1.0
MassSpecGymID0018517,unknown,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],threshold,0.3,,0.9047619104385376,39,0.9285714030265808,1.0,1.0
MassSpecGymID0018517,unknown,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],threshold,0.4,,0.8571428656578064,37,0.9285714030265808,1.0,1.0
MassSpecGymID0018517,unknown,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],threshold,0.5,,0.8536585569381714,35,0.9285714030265808,1.0,1.0
MassSpecGymID0018517,unknown,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],top_n,,16,0.39024388790130615,16,0.9285714030265808,1.0,1.0
MassSpecGymID0018517,unknown,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],top_n,,32,0.7804877758026123,32,0.9285714030265808,1.0,1.0
MassSpecGymID0018517,unknown,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],top_n,,48,0.8163265585899353,48,0.9285714030265808,1.0,1.0
MassSpecGymID0018517,unknown,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],top_n,,64,0.6153846383094788,64,0.9285714030265808,1.0,1.0
