true_smiles,name,candidate_rank,candidate_smiles
CC(C)CC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)OC(=O)OC(C)(C)C)NC(=O)CN,MassSpecGymID0372970,1,O=C1CCCN(O)CN(O)CCC(=O)N(NN2C(=O)CCC2=O)C1S(=O)(=O)N1CCCCCCCCCCCC1=O
CC(C)CC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)OC(=O)OC(C)(C)C)NC(=O)CN,MassSpecGymID0372970,2,O=C1CCC(N2C(=O)CCC2=O)C(S(=O)(=O)NN2C(=O)CCN2O)CCN(O)C(=O)CCCCCCCCCN1
CC(C)CC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)OC(=O)OC(C)(C)C)NC(=O)CN,MassSpecGymID0372970,3,O=C1CCCCCCCCCCCCN1
CC(C)CC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)OC(=O)OC(C)(C)C)NC(=O)CN,MassSpecGymID0372970,4,O=C1CCCCCCCCCCN1
CC(C)CC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)OC(=O)OC(C)(C)C)NC(=O)CN,MassSpecGymID0372970,5,O=C1CCCN1S(=O)(=O)N1CCCCCCNC1=O
CC(C)CC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)OC(=O)OC(C)(C)C)NC(=O)CN,MassSpecGymID0372970,6,O=C1CCCCN(S(=O)(=O)NN2CCCCCCCCCN(O)C(=O)C(=O)NCCCCCC(=O)N2O)CCC1=O
CC(C)CC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)OC(=O)OC(C)(C)C)NC(=O)CN,MassSpecGymID0372970,7,O=C1CCC(=O)NNCCCCCNCC(=O)N(O)CC1
CC(C)CC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)OC(=O)OC(C)(C)C)NC(=O)CN,MassSpecGymID0372970,8,O=C1CCC(=O)N2CCCCCCN(CCCCCCN1O)C(=O)CCN(O)C(=O)CN2
CC(C)CC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)OC(=O)OC(C)(C)C)NC(=O)CN,MassSpecGymID0372970,9,O=C1CCCN(S(=O)(=O)NN2CCCCCCCCC2=O)CCC(=O)N(NN2C(=O)CCC2=O)CCCCCN1O
CC(C)CC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)OC(=O)OC(C)(C)C)NC(=O)CN,MassSpecGymID0372970,10,O=C1CCC(=O)N1NN1CCCCCCCNCCCCCC1
