top_n,count,mean,median,min,max
16,20,0.21405826952315232,0.20256410256410257,0.05970149253731343,0.5
32,20,0.38231020134053856,0.37303082191780823,0.11940298507462686,0.875
48,20,0.4998433856565471,0.5245719178082192,0.14925373134328357,0.975609756097561
64,20,0.5886857888721542,0.6403783431180692,0.208955223880597,0.975609756097561
80,20,0.6456262779541123,0.7433569896022445,0.22388059701492538,0.975609756097561
96,20,0.6812351332540094,0.7716609589041096,0.2631578947368421,1.0
128,20,0.7269453719743985,0.8291095890410959,0.30985915492957744,1.0
160,20,0.7578466014200416,0.885610465116279,0.352112676056338,1.0
256,20,0.8050294569565865,0.9401162790697675,0.40789473684210525,1.0
512,20,0.8656375600938602,0.9494912790697674,0.5263157894736842,1.0
