strategy,spec_name,tanimoto,predicted_active_bits,target_active_bits
global_threshold_0.187,MassSpecGymID0372970,0.08163265138864517,39,67
global_threshold_0.187,MassSpecGymID0388215,0.17741934955120087,78,68
global_threshold_0.187,MassSpecGymID0341761,0.15447154641151428,66,76
global_threshold_0.187,MassSpecGymID0347534,0.15789473056793213,83,71
global_threshold_0.187,MassSpecGymID0380322,0.27272728085517883,61,79
global_threshold_0.187,MassSpecGymID0208832,0.23595505952835083,53,57
global_threshold_0.187,MassSpecGymID0383008,0.2469135820865631,39,62
global_threshold_0.187,MassSpecGymID0380040,0.2535211145877838,38,51
global_threshold_0.187,MassSpecGymID0379306,0.5436893105506897,86,73
global_threshold_0.187,MassSpecGymID0346101,0.5566037893295288,85,80
global_threshold_0.187,MassSpecGymID0203740,0.4677419364452362,48,43
global_threshold_0.187,MassSpecGymID0380514,0.5688073635101318,88,83
global_threshold_0.187,MassSpecGymID0105109,0.6489361524581909,77,78
global_threshold_0.187,MassSpecGymID0081883,0.7283950448036194,72,68
global_threshold_0.187,MassSpecGymID0152325,0.761904776096344,104,81
global_threshold_0.187,MassSpecGymID0188657,0.7941176295280457,29,32
global_threshold_0.187,MassSpecGymID0162714,0.8352941274642944,83,73
global_threshold_0.187,MassSpecGymID0185133,0.8089887499809265,87,74
global_threshold_0.187,MassSpecGymID0058062,0.8166666626930237,113,105
global_threshold_0.187,MassSpecGymID0018517,0.9285714030265808,40,41
global_threshold_0.25,MassSpecGymID0372970,0.08695652335882187,33,67
global_threshold_0.25,MassSpecGymID0388215,0.14166666567325592,69,68
global_threshold_0.25,MassSpecGymID0341761,0.15596330165863037,50,76
global_threshold_0.25,MassSpecGymID0347534,0.16393442451953888,71,71
global_threshold_0.25,MassSpecGymID0380322,0.2673267424106598,49,79
global_threshold_0.25,MassSpecGymID0208832,0.23529411852359772,48,57
global_threshold_0.25,MassSpecGymID0383008,0.23076923191547394,34,62
global_threshold_0.25,MassSpecGymID0380040,0.25,29,51
global_threshold_0.25,MassSpecGymID0379306,0.5625,77,73
global_threshold_0.25,MassSpecGymID0346101,0.5,76,80
global_threshold_0.25,MassSpecGymID0203740,0.4655172526836395,42,43
global_threshold_0.25,MassSpecGymID0380514,0.6262626051902771,78,83
global_threshold_0.25,MassSpecGymID0105109,0.6626505851745605,60,78
global_threshold_0.25,MassSpecGymID0081883,0.6666666865348816,67,68
global_threshold_0.25,MassSpecGymID0152325,0.8247422575950623,96,81
global_threshold_0.25,MassSpecGymID0188657,0.7941176295280457,29,32
global_threshold_0.25,MassSpecGymID0162714,0.8658536672592163,80,73
global_threshold_0.25,MassSpecGymID0185133,0.8255813717842102,83,74
global_threshold_0.25,MassSpecGymID0058062,0.8899082541465759,101,105
global_threshold_0.25,MassSpecGymID0018517,0.9047619104385376,39,41
global_threshold_0.3,MassSpecGymID0372970,0.08695652335882187,33,67
global_threshold_0.3,MassSpecGymID0388215,0.14782609045505524,64,68
global_threshold_0.3,MassSpecGymID0341761,0.16346153616905212,45,76
global_threshold_0.3,MassSpecGymID0347534,0.16949152946472168,67,71
global_threshold_0.3,MassSpecGymID0380322,0.27368420362472534,42,79
global_threshold_0.3,MassSpecGymID0208832,0.24390244483947754,45,57
global_threshold_0.3,MassSpecGymID0383008,0.2133333384990692,29,62
global_threshold_0.3,MassSpecGymID0380040,0.24193547666072845,26,51
global_threshold_0.3,MassSpecGymID0379306,0.5591397881507874,72,73
global_threshold_0.3,MassSpecGymID0346101,0.4895833432674408,63,80
global_threshold_0.3,MassSpecGymID0203740,0.48148149251937866,37,43
global_threshold_0.3,MassSpecGymID0380514,0.6526315808296204,74,83
global_threshold_0.3,MassSpecGymID0105109,0.6265060305595398,57,78
global_threshold_0.3,MassSpecGymID0081883,0.6666666865348816,67,68
global_threshold_0.3,MassSpecGymID0152325,0.8369565010070801,88,81
global_threshold_0.3,MassSpecGymID0188657,0.84375,27,32
global_threshold_0.3,MassSpecGymID0162714,0.8717948794364929,73,73
