spec_name,exact_top10,tanimoto_top10,predictions_collected,total_formula_matched,total_generated,total_valid,failure_mode
MassSpecGymID0372970,0.0,0.5421686768531799,20,20,200,194,search_miss_despite_20_formula_matches
MassSpecGymID0341761,0.0,0.6263736486434937,20,6,200,200,formula_match_limited_under_200_attempts
MassSpecGymID0347534,0.0,0.5714285969734192,20,6,200,200,formula_match_limited_under_200_attempts
MassSpecGymID0380322,0.0,0.891566276550293,20,6,200,200,formula_match_limited_under_200_attempts
MassSpecGymID0380514,1.0,1.0,20,10,200,200,recovered_exact
MassSpecGymID0105109,0.0,0.6702127456665039,20,5,200,200,formula_match_limited_under_200_attempts
MassSpecGymID0081883,1.0,1.0,20,42,176,167,recovered_exact
MassSpecGymID0152325,0.0,0.9166666865348816,20,6,200,200,formula_match_limited_under_200_attempts
MassSpecGymID0162714,0.0,0.45098039507865906,20,20,108,93,search_miss_despite_20_formula_matches
MassSpecGymID0185133,0.0,0.8846153616905212,20,9,200,200,formula_match_limited_under_200_attempts
MassSpecGymID0058062,1.0,1.0,20,7,200,200,recovered_exact
