spec_name,a10_exact_top10,a15_exact_top10,a10_tanimoto_top10,a15_tanimoto_top10,delta_tanimoto_top10,a10_formula_matches,a15_formula_matches,a10_total_generated,a15_total_generated,target_smiles,a15_proposal_smiles
MassSpecGymID0372970,0.0,0.0,0.5421686768531799,0.5421686768531799,0.0,10,20,100,200,CC(C)CC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)OC(=O)OC(C)(C)C)NC(=O)CN,CC(C)CC(NC(=N)N)C(=O)N1CCCC1C(=O)OONC(CS)C(=O)N1CCCC1C(=O)OC(=O)OC(C)(C)C
MassSpecGymID0341761,0.0,0.0,0.6304348111152649,0.6263736486434937,-0.00406116247177124,10,20,100,200,CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34[C@@H]1[C@H](C[C@H]23)[C@@]1(O)[C@@H]4C[C@H](OC)[C@@]2(O)CC[C@@]12O
MassSpecGymID0347534,0.0,0.0,0.5862069129943848,0.5714285969734192,-0.014778316020965576,10,20,100,200,CN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)O)OC)OC)O)COC,COC[C@@]12CN(C)[C@H](OC)C34C5C[C@H](OC)[C@@]6(O)[C@H](C[C@](O)([C@H]5[C@H](OC)[C@@H]6OC)[C@@H]3[C@@H]1OC(=O)c1ccccc1)[C@@H](O)[C@H]42
MassSpecGymID0380322,0.0,0.0,0.8045976758003235,0.891566276550293,0.08696860074996948,10,20,100,200,CC(C(=O)N1CCC2=C(C1)NC3=CC=CC=C23)NC4=CC=C5C(=CC4=O)C(CCC6=CC(=C(C(=C65)OC)OC)OC)NC(=O)C,COc1cc2c(c(OC)c1OC)-c1ccc(N[C@@H](C)C(=O)N3CCc4c([nH]c5ccccc45)C3)c(=O)cc1C(NC(C)=O)C2
MassSpecGymID0380514,0.0,1.0,0.8222222328186035,1.0,0.17777776718139648,10,20,100,200,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)NC(CCSC)C(=O)N4CCCC4C5=C(C=C(C=C5)OC)OC)OC)OC)OC,COc1ccc(C2CCCN2C(=O)C(CCSC)Nc2ccc3c(cc2=O)C(NC(C)=O)CCc2cc(OC)c(OC)c(OC)c2-3)c(OC)c1
MassSpecGymID0105109,0.0,0.0,0.6063829660415649,0.6702127456665039,0.06382977962493896,10,20,100,200,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,CCN1C[C@]2(COC)[C@H](O)C[C@H](OC)[C@@]34[C@@H]5[C@@H]6C[C@](OC(C)=O)([C@@H](OC)[CH][C@]6(O)[C@@H]([C@@H](OC)[C@@H]23)[C@@H]14)[C@H]5OC(=O)c1ccccc1
MassSpecGymID0081883,0.0,1.0,0.9428571462631226,1.0,0.05714285373687744,10,20,76,176,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,CCN1CCC2(CC1)COc1cc3c(cc12)N(C(=O)c1ccc(-c2ccc(-c4nnc(C)o4)cc2C)cc1)CC3
MassSpecGymID0152325,0.0,0.0,0.8539325594902039,0.9166666865348816,0.06273412704467773,10,20,100,200,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,CC1OC(OC2C(COC3OCC(O)(CO)C3O)OC(OCCc3ccc(O)c(O)c3)C2OC(=O)C=Cc2ccc(O)c(O)c2)C(O)C(O)C1O
MassSpecGymID0162714,0.0,0.0,0.3980582654476166,0.45098039507865906,0.05292212963104248,10,20,73,108,C[C@H]1CC=C[C@H]2[C@H]3[C@](O3)([C@H]([C@@H]4[C@@]2(C(=O)C=CC(=O)[C@@H](C(=C1)C)O)C(=O)N[C@H]4CC5=CNC6=CC=CC=C65)C)C,C/C1=C/C[C@@H](C)[C@@H]2O[C@@]3(C(=O)C=CC(=O)[C@H]1O)[C@H]1[C@@H]4O[C@H](N[C@@H]3[C@@H](C)C=C[C@H]1Cc1c[nH]c3ccccc13)[C@@H]42
MassSpecGymID0185133,0.0,0.0,0.8441558480262756,0.8846153616905212,0.040459513664245605,10,20,100,200,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]3C=CO[C@H]([C@@H]3[C@@]4([C@H]2O4)CO)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)OC(=O)/C=C/C6=CC=CC=C6)OC(=O)/C=C/C7=CC=CC=C7)O,C[C@@H]1O[C@@H](O[C@H]2[C@@H]3C=CO[C@@H](O[C@@H]4O[C@H](CO)[C@@H](OC(=O)C=Cc5ccccc5)[C@@H](OC(=O)C=Cc5ccccc5)[C@H]4O)[C@@H]3[C@@]3(CO)O[C@@H]23)[C@H](O)[C@H](O)[C@H]1O
