target_smiles,target_inchi_key,num_predictions,exact_match_top1,exact_match_top10,tanimoto_top1,tanimoto_top10,tanimoto_mean,mist_tanimoto,spec_name,proposal_smiles,proposal_source,conditioning_fingerprint_source,formula_matches_collected,total_generated,total_valid,total_formula_matched,generation_time,top_prediction_smiles
CC(C)CC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)OC(=O)OC(C)(C)C)NC(=O)CN,UTGUKTQOTCXQJK,20,0.0,0.0,0.5421686768531799,0.5421686768531799,0.38303051590919496,0.08695652335882187,MassSpecGymID0372970,CC(C)CC(NC(=N)N)C(=O)N1CCCC1C(=O)OONC(CS)C(=O)N1CCCC1C(=O)OC(=O)OC(C)(C)C,formula,oracle,20,200,194,20,51.593122720718384,"['CC(C)CC(NC(=N)N)C(=O)N1CCCC1C(=O)OONC(CS)C(=O)N1CCCC1C(=O)OC(=O)OC(C)(C)C', 'CC(C)CC(NC(=N)N)C(=O)N1CCC[C@H]1C(O)=N[C@@H](CS)C(=O)OC(=O)[C@H](C)C(=O)NCOC(=O)OC(C)(C)C', 'CC(C)C[C@H](NC(=N)N)C(=O)N1CCC[C@H]1C(O)=NC[C@@H](CC(=O)OC(=O)OC(C)(C)C)C(=O)OCOC(=N)CS', 'CC(C)CC(NC(=O)CN)C(=O)C(CN)C(=O)OCOC(=O)OC(=O)C1CCCN1C(=O)C(CC(C)C)NC(=N)S', 'CC(C)C[C@H](NC(=N)N)C(=O)N1CCC[C@@H]1C(=O)OCCCOOC(=O)OC(=O)C(CS)[C@@H]1CCCN1C(=O)CN']"
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,XTSVKUJYTUPYRJ,20,0.0,0.0,0.6263736486434937,0.6263736486434937,0.5098490163683891,0.15596330165863037,MassSpecGymID0341761,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34[C@@H]1[C@H](C[C@H]23)[C@@]1(O)[C@@H]4C[C@H](OC)[C@@]2(O)CC[C@@]12O,formula,oracle,20,200,200,6,69.1427915096283,"['CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34[C@@H]1[C@H](C[C@H]23)[C@@]1(O)[C@@H]4C[C@H](OC)[C@@]2(O)CC[C@@]12O', 'CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@@]1(O)C[C@@H]3C[C@@]3(O)C[C@@H](OC)[C@@H]1[C@H](O)[C@@H]4C[C@@H]32', 'CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@@]34C1[C@]1(O)C[C@H]3[C@@H](OC)C[C@H](OC)[C@]4(O)[C@H]1C[C@@H]2O', 'CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@@]34C2C1[C@@H]1C[C@]13[C@@]1(O)C4C[C@H](OC)[C@@H](O)CC[C@@H]1OC', 'CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@@]34C([C@@H]5CC[C@H]3[C@]5(O)[C@@H]1OC)C(O)(OC(C)=O)C[C@@H]24']"
CN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)O)OC)OC)O)COC,PULWZCUZNRVAHT,20,0.0,0.0,0.5714285969734192,0.5714285969734192,0.5071730256080628,0.16393442451953888,MassSpecGymID0347534,COC[C@@]12CN(C)[C@H](OC)C34C5C[C@H](OC)[C@@]6(O)[C@H](C[C@](O)([C@H]5[C@H](OC)[C@@H]6OC)[C@@H]3[C@@H]1OC(=O)c1ccccc1)[C@@H](O)[C@H]42,formula,oracle,20,200,200,6,71.67911434173584,"['COC[C@@]12CN(C)[C@H](OC)C34C5C[C@H](OC)[C@@]6(O)[C@H](C[C@](O)([C@H]5[C@H](OC)[C@@H]6OC)[C@@H]3[C@@H]1OC(=O)c1ccccc1)[C@@H](O)[C@H]42', 'COCC12CN(C)C3C4C(OC)C1C3(O)C1C3C(OC(=O)c5ccccc5)C(OC)C4C(O)C31C(O)CC2O', 'COC[C@]12CN(C)[C@H]3[C@H]1[C@H](OC)[C@@H]1[C@@H](O)[C@@]4(OC)[C@@H](O)[C@@H](OC)[C@@]5(O)C[C@@H](OC)[C@H]([C@H]5OC(=O)c5ccccc5)[C@@]34[C@@H]12', 'COC[C@]12CN(C)[C@H]3[C@@H]4[C@@H](C[C@H]([C@@]5(O)[C@H]6[C@@H](OC)[C@H](OC)[C@]6(O)[C@@H](OC(=O)c6ccccc6)[C@H]5OC)[C@H]1[C@H]43)[C@@H]2O', 'COCC12CN(C)C3C(OC)C1C1CC2C(OC(=O)c2ccccc2)C2(O)C(O)C3(O)C(O)C(OC)C12CCO']"
CC(C(=O)N1CCC2=C(C1)NC3=CC=CC=C23)NC4=CC=C5C(=CC4=O)C(CCC6=CC(=C(C(=C65)OC)OC)OC)NC(=O)C,YIIKPFWLWYKDPH,20,0.0,0.0,0.891566276550293,0.891566276550293,0.5172042578458786,0.2673267424106598,MassSpecGymID0380322,COc1cc2c(c(OC)c1OC)-c1ccc(N[C@@H](C)C(=O)N3CCc4c([nH]c5ccccc45)C3)c(=O)cc1C(NC(C)=O)C2,formula,oracle,20,200,200,6,60.00814700126648,"['COc1cc2c(c(OC)c1OC)-c1ccc(N[C@@H](C)C(=O)N3CCc4c([nH]c5ccccc45)C3)c(=O)cc1C(NC(C)=O)C2', 'COc1cc2c(c(OC)c1OC)CC(NC(C)=O)c1ccc(NC(C)C(=O)N3CCc4[nH]c5ccccc5c4C3)c(=O)cc1-2', 'CNC1CCc2c(OC)cc(c(OC)c2OC)C(=O)c2ccc(=O)c(N[C@@H](C)C(=O)N3CCc4c([nH]c5ccccc45)C3)cc21', 'COc1cc(-c2cccc(=O)c3c2[C@H](NC(C)=O)CC3)c(N[C@@H](C)C(=O)N2CCc3[nH]c4ccccc4c3C2)c(OC)c1OC', 'COc1cc(=O)cccc1N[C@@H](C)C(=O)N1CCc2c([nH]c3ccccc23)C1']"
CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)NC(CCSC)C(=O)N4CCCC4C5=C(C=C(C=C5)OC)OC)OC)OC)OC,ULRPKNXAJVTGHF,20,1.0,1.0,1.0,1.0,0.7712311387062073,0.6262626051902771,MassSpecGymID0380514,COc1ccc(C2CCCN2C(=O)C(CCSC)Nc2ccc3c(cc2=O)C(NC(C)=O)CCc2cc(OC)c(OC)c(OC)c2-3)c(OC)c1,formula,oracle,20,200,200,10,63.678168535232544,"['COc1ccc(C2CCCN2C(=O)C(CCSC)Nc2ccc3c(cc2=O)C(NC(C)=O)CCc2cc(OC)c(OC)c(OC)c2-3)c(OC)c1', 'COc1ccc(C2CCCN2C(=O)C(CCSC)Nc2ccc3c(cc2=O)C(NC(C)=O)CCCc2cc(OC)c(OC)c(OC)c2-3)c(OC)c1', 'COc1ccc([C@H]2CCCN2C(=O)[C@H](CCSC)Nc2ccc3c(cc2=O)C(NC(C)=O)Cc2cc(OC)c(OC)c(OC)c2-3)c(OC)c1', 'COc1ccc([C@H]2CCCN2C(=O)[C@@H](CCSC)Nc2ccc3c(cc2=O)[C@@H](C(C)=O)CCc2cc(OC)c(OC)c(OC)c2-3)c(OC)c1', 'COc1ccc([C@@H]2CCCN2C(=O)[C@H](CCSC)Nc2ccc3c(cc2=O)CC[C@@H](NC(C)=O)c2cc(OC)c(OC)cc2-3)c(OC)c1']"
CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,XFSBVAOIAHNAPC,20,0.0,0.0,0.6702127456665039,0.6702127456665039,0.55407624989748,0.6626505851745605,MassSpecGymID0105109,CCN1C[C@]2(COC)[C@H](O)C[C@H](OC)[C@@]34[C@@H]5[C@@H]6C[C@](OC(C)=O)([C@@H](OC)[CH][C@]6(O)[C@@H]([C@@H](OC)[C@@H]23)[C@@H]14)[C@H]5OC(=O)c1ccccc1,formula,oracle,20,200,200,5,80.05722570419312,"['CCN1C[C@]2(COC)[C@H](O)C[C@H](OC)[C@@]34[C@@H]5[C@@H]6C[C@](OC(C)=O)([C@@H](OC)[CH][C@]6(O)[C@@H]([C@@H](OC)[C@@H]23)[C@@H]14)[C@H]5OC(=O)c1ccccc1', 'CCN1C[C@]2(COC)[C@H](O)C[C@H](OC)[C@]34C1[C@H]([C@H](OC(=O)c1ccccc1)[C@H]23)[C@@]1(O)C[C@H]4[C@]2(OC(C)=O)[C@H](O)CO[C@@H](OC)[C@H]12', 'CCN1CC2(COC)C(O)CC3C(C(OC)C2O)C1C3C1(OC(C)=O)C(O)CC2(O)C(OC)C1C2OC(=O)c1ccccc1', 'CCN1C[C@]2(COC)[C@H](O)C[C@H](OC)[C@]34[C@H]5[C@@H]6[C@H](OC)[C@H]5[C@H](OC(=O)c5ccccc5)[C@](O)(OC(C)=O)[C@H]6[C@H]([C@H]13)[C@](O)(OC)[C@H]24', 'CCN1C[C@@]2(COC)C3C1[C@@]1([C@H]([C@H]4[C@@H](OC(=O)c5ccccc5)[C@@H]4[C@@H]1O)[C@@H]1C[C@@H](O)C[C@@](O)(OC(C)=O)C31)[C@@H](OC)C[C@H]2O']"
CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,WXAKEEQOWUHGCI,20,1.0,1.0,1.0,1.0,0.6979917094111443,0.6666666865348816,MassSpecGymID0081883,CCN1CCC2(CC1)COc1cc3c(cc12)N(C(=O)c1ccc(-c2ccc(-c4nnc(C)o4)cc2C)cc1)CC3,formula,oracle,20,176,167,42,39.69365334510803,"['CCN1CCC2(CC1)COc1cc3c(cc12)N(C(=O)c1ccc(-c2ccc(-c4nnc(C)o4)cc2C)cc1)CC3', 'CCN1CCC2(CC1)COc1cc3c(cc12)CCN3C(=O)c1ccc(-c2ccc(-c3nnc(C)o3)cc2C)cc1', 'CCN1CCC2(CC1)COc1cc3c(cc12)N(C(=O)c1ccc(-c2ccc(-c4nnc(C)o4)c(C)c2)cc1)CC3', 'CCN1CCC2(CC1)COc1cc(-c3ccc4c(c3)N(C(=O)c3ccc(-c5nnc(C)o5)cc3)CC4)c(C)cc12', 'CCN1CCC2(CC1)COc1cc(C)c(-c3ccc4c(c3)N(C(=O)c3ccc(-c5nnc(C)o5)cc3)CC4)cc12']"
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,JMBINOWGIHWPJI,20,0.0,0.0,0.9166666865348816,0.9166666865348816,0.776075130701065,0.8247422575950623,MassSpecGymID0152325,CC1OC(OC2C(COC3OCC(O)(CO)C3O)OC(OCCc3ccc(O)c(O)c3)C2OC(=O)C=Cc2ccc(O)c(O)c2)C(O)C(O)C1O,formula,oracle,20,200,200,6,86.91749334335327,"['CC1OC(OC2C(COC3OCC(O)(CO)C3O)OC(OCCc3ccc(O)c(O)c3)C2OC(=O)C=Cc2ccc(O)c(O)c2)C(O)C(O)C1O', 'C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OCCc3ccc(O)c(O)c3)[C@H](O[C@@H]3OC[C@](O)(CO)[C@H]3O)[C@H]2OC(=O)C=Cc2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@@H]1O', 'CC1OC(OCC2OC(OCCc3ccc(O)c(O)c3)C(OC(=O)C=Cc3ccc(O)c(O)c3)C(OC3OCC(O)(CO)C3O)C2O)C(O)C1O', 'CC1O[C@@H](OCC2O[C@@H](OCCc3ccc(O)c(O)c3)C(O[C@@H]3OC[C@](O)(CO)C3O)C(OC(=O)C=Cc3ccc(O)c(O)c3)[C@@H]2O)C(O)C(O)[C@H]1O', 'C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OCCc3ccc(O)c(O)c3)[C@@H](OC(=O)C=Cc3ccc(O)cc3)[C@@H](O[C@@H]3OC[C@](O)(CO)[C@H]3O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O']"
C[C@H]1CC=C[C@H]2[C@H]3[C@](O3)([C@H]([C@@H]4[C@@]2(C(=O)C=CC(=O)[C@@H](C(=C1)C)O)C(=O)N[C@H]4CC5=CNC6=CC=CC=C65)C)C,OUMWCYMRLMEZJH,20,0.0,0.0,0.45098039507865906,0.45098039507865906,0.3641862295567989,0.8658536672592163,MassSpecGymID0162714,C/C1=C/C[C@@H](C)[C@@H]2O[C@@]3(C(=O)C=CC(=O)[C@H]1O)[C@H]1[C@@H]4O[C@H](N[C@@H]3[C@@H](C)C=C[C@H]1Cc1c[nH]c3ccccc13)[C@@H]42,formula,oracle,20,108,93,20,24.369807481765747,"['C/C1=C/C[C@@H](C)[C@@H]2O[C@@]3(C(=O)C=CC(=O)[C@H]1O)[C@H]1[C@@H]4O[C@H](N[C@@H]3[C@@H](C)C=C[C@H]1Cc1c[nH]c3ccccc13)[C@@H]42', 'C/C1=C\\[C@@H]2[C@@H]3[C@@H](O[C@@]32C)C(=O)/C=C2/C(=O)N[C@H](Cc3c[nH]c4ccccc34)C2C(C)C(=O)/C=C/C(C)(C)[C@@H]1O', 'C/C1=C2\\[C@H](C)/C=C/C(=O)[C@@H](C)CC(C(=O)[C@@H]2O)[C@@]2(C)[C@@H]3[C@H](Cc4c[nH]c5ccccc45)NC(=O)/C=C/[C@H]2O[C@H]13', 'CC1=CC(C)C/C=C/[C@]2(C)O[C@H]2[C@@H]2C(=O)N3O[C@]2([C@@H](Cc2c[nH]c4ccccc24)CC=C1)[C@H](O)C(=O)C=C3C', 'CC1=CC(O)[C@@H]2[C@@H]([C@@H](O)/C=C/C(=O)N[C@@H]1Cc1c[nH]c3ccccc13)[C@]2(C)C1[C@H]2/C=C\\C(=O)[C@@H](C)/C=C\\[C@H]1O2']"
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]3C=CO[C@H]([C@@H]3[C@@]4([C@H]2O4)CO)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)OC(=O)/C=C/C6=CC=CC=C6)OC(=O)/C=C/C7=CC=CC=C7)O,OQXBCMJIIDQITC,20,0.0,0.0,0.8846153616905212,0.8846153616905212,0.6498903259634972,0.8255813717842102,MassSpecGymID0185133,C[C@@H]1O[C@@H](O[C@H]2[C@@H]3C=CO[C@@H](O[C@@H]4O[C@H](CO)[C@@H](OC(=O)C=Cc5ccccc5)[C@@H](OC(=O)C=Cc5ccccc5)[C@H]4O)[C@@H]3[C@@]3(CO)O[C@@H]23)[C@H](O)[C@H](O)[C@H]1O,formula,oracle,20,200,200,9,101.98650002479553,"['C[C@@H]1O[C@@H](O[C@H]2[C@@H]3C=CO[C@@H](O[C@@H]4O[C@H](CO)[C@@H](OC(=O)C=Cc5ccccc5)[C@@H](OC(=O)C=Cc5ccccc5)[C@H]4O)[C@@H]3[C@@]3(CO)O[C@@H]23)[C@H](O)[C@H](O)[C@H]1O', 'C[C@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3[C@H]4C=CO[C@H](C(=O)C=Cc5ccccc5)[C@H]4[C@@]4(CO)O[C@H]34)O[C@H](CO)[C@@H](O)[C@H]2OC(=O)C=Cc2ccccc2)[C@H](O)[C@H](O)[C@H]1O', 'C[C@@H]1O[C@@H](O[C@H]2[C@@H]3C=C[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](OC(=O)C=Cc5ccccc5)[C@@H]4OC(=O)C=Cc4ccccc4)[C@H]3[C@]3(CO)O[C@@H]23)[C@H](O)[C@H](O)[C@H]1O', 'C[C@@H]1O[C@@H](O[C@H]2[C@H]3C=CO[C@H](OC(=O)C=Cc4ccccc4)[C@@H]3[C@@]3(CO)O[C@H]4[C@@H]2[C@H]43)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O', 'C[C@@H]1O[C@@H](O[C@@H]2[C@H]3C=CO[C@@H](OC(=O)C=Cc4ccccc4)[C@@H]3[C@@]3(CO)O[C@@H]4[C@@H](OC(=O)C=Cc5ccccc5)[C@H](O)[C@H](O)[C@@H]4O[C@@H]23)[C@H](O)[C@H](O)[C@H]1O']"
