true_smiles,name,candidate_rank,candidate_smiles
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,1,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@@]34[C@@H]2C[C@](O)([C@@H]1OC)[C@H]3CC1C(C(=O)O)[C@H](OC)C[C@@H]14
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,2,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C5C(CC1C(O)(O)C[C@@H]23)[C@H](OC(C)=O)C[C@H]4[C@@H]5OC
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,3,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@@]34C1[C@H]2C[C@@H]3[C@]1(O)[C@@H]2CCO[C@@](O)([C@@H](OC)C[C@@H]14)[C@H]2O
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,4,CCN1C[C@]2(OC(C)=O)CC[C@H](OC(=O)c3ccccc3NC(C)=O)[C@]34C[C@H]3[C@@H]1[C@](O)([C@@]1(O)C[C@H](OC)[C@]1(C)OC)CC24
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,5,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C2C(OC)[C@]1(O)[C@@H]3C[C@H](OC)[C@@]1(O)[C@H]2[C@H](O)[C@@H]1C[C@@H]24
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,6,CCN1C[C@]2(OC(=O)c3ccccc3NC#COC)CC[C@H](OC)[C@]34C2[C@H]1C[C@H]3[C@]1(O)C[C@H](OC)[C@H](OC)[C@]4(O)[C@H]1OC
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,7,CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C5CC6(O)CCC(OC)C(C53OC)C62C(OC)C14O
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,8,CCN1CC23CC[C@H](OC)CC1[C@]2(OC(=O)c1ccccc1NC(C)=O)C1(O)CC(OC)[C@]2(O)CC1C3[C]([O])CC2OC
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,9,CCN1CC2(OC(=O)OOC(=O)c3ccccc3NC)CCC(OC)C34C2CC2(O)C(C1CC23)C1(O)C(OC)CC14CC
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,10,CCN1C[C@]2(OC)CC[C@H](OC)[C@]34C1[C@H](C[C@H](OC(=O)c1ccccc1NC(C)=O)[C@]23O)[C@@]1(O)C[C@H](OC)[C@@H]4C[C@@H]1C=O
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,11,CCN1C[C@]2(OC)CC[C@H](OC)[C@]34C2CC13C4(O)[C@H](OC(=O)c1ccccc1NC(C)=O)[C@@]1(O)C[C@H](OC)C2(CC2)[C@H]1O
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,12,CCN1C[C@@]23CC[C@H](OC)[C@@]4(O)[C@@H](OC)CC[C@@]4(O)[C@@]2(O)CC(OC(=O)c2ccccc2N=C=O)C2CC3[C@H](OC)C21C
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,13,CCN1CC23CCC(OC)C4(O)C1CC1C2(O)C(OC)CCC14C(OC(=O)c1ccccc1NC(C)=COC=O)CC3O
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,14,CCN1C[C@]2(OC(=O)c3ccccc3ONC(C)=O)CC[C@H](OC)[C@@]34C1C([C@@]1(O)C[C@H](OC)[C@H]5C[C@H]1C[C@H]5O)CC3[C@@]24O
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,15,CCN1C[C@]2(OC(=O)c3ccccc3NOC=O)CC[C@H](OC)[C@]34C1C(CC(OC)[C@@]23O)CC(OC)[C@@]1(O)C[C@@H]2[C@H]4[C@@]21C
