true_smiles,name,candidate_rank,candidate_smiles
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,1,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC(C)=O)[C@]34C1[C@]2(O)C[C@H]3[C@@]1(O)C[C@H](OC)[C@@H]4C[C@@H]1COC
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,2,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC(C)=O)[C@@H]3C1C[C@@H]([C@]1(O)C[C@H](OC)[C@@]4(O)[C@@H]1[C@@H]4OC)C[C@@H]32
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,3,CCN1CC2(OC(C)=O)CCC(OC(=O)c3ccccc3NC(C)=O)C34C(OC)C5CC(OC)C(O)C2C5(O)C3CCC14
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,4,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CCC[C@]3(OC(C)=O)[C@@H]2C[C@H](OC)[C@]2(O)[C@@H]1C[C@H]1[C@H](OC)[C@@]1(O)C[C@H]32
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,5,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@H]3[C@@]2(O)C[C@H](OC)[C@@]1(O)C[C@H](OC)[C@H]2[C@H]1C[C@]24O
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,6,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@@]34C5C[C@H](OC(C)=O)C[C@@H]([C@@H](OC)[C@H]2O)[C@@H]5C[C@H]3[C@]14O
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,7,CCN1CC2(OC)CCC(OOC)C34C5C6CC5C(O)(C6OC)C3CC2(O)C(OC(=O)c2ccccc2NC(C)=O)CC14
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,8,CCN1C[C@@]2(OC(=O)c3ccccc3NOC#CO)CC[C@H](OC)[C@]3(O)[C@@H]2[C@@H]1C[C@]3(O)[C@@H]1CC[C@@]2(O)C[C@H]1CC[C@@H]2OC
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,9,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC(C)=O)[C@@H]3C1C[C@H](O)[C@]21C[C@H](OC)[C@@]2(O)C[C@@H]3[C@H]1[C@H]2OC
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,10,CCN1C[C@]23CC[C@H](OC)[C@@](OC(=O)c4ccccc4NC=C=O)(C2C[C@H]1[C@@]1(O)C[C@H](OC)[C@@]2(O)C[C@H](OC)[C@@]21O)[C@H]3C
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,11,CCN1C[C@]2(OC(=O)c3ccccc3NC#COOC)CC[C@H](OC)[C@]23CC[C@H]2[C@@]4(O)CC[C@H](OC)[C@]2(O)[C@H](O)[C@H]1C[C@H]43
