true_smiles,name,candidate_rank,candidate_smiles
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,1,CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C1C3(O)C(CC1C3(CO3)CC(OC)C14O)C2COC
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,2,CCN1C[C@]2(OC(=O)c3ccccc3NC(=O)C(C)=O)CC[C@H](OC)[C@@]34[C@@H](C[C@H]13)C[C@@]1(O)C[C@@H](OC)[C@@]4(O)[C@@H]2C[C@@H]1OC
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,3,CCN1C[C@@]2([C@@H]3C[C@H](OC(=O)c4ccccc4NC(C)=O)[C@@]4(O)[C@H](OC)[C@@H]3C[C@H]4OC(C)=O)CC[C@H](OC)[C@]3(O)C1C[C@@H]23
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,4,CCN1C[C@]23CC[C@H](OC)[C@]4(OC(=O)c5ccccc5NC(C)=O)O[C@H]1C[C@H]2[C@]1(O)[C@H]2[C@H]4C[C@H](OC)[C@@]2(O)[C@@H](OC)C[C@H]31
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,5,CCN1C[C@]2(COC(=O)c3ccccc3NC(=O)OC(C)=O)CC[C@H](OC)[C@]34C1C[C@H](C[C@@H]23)[C@@H]1C[C@]4(O)[C@@H](OC)[C@@H]1OC
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,6,C#CONc1ccccc1C(=O)OC12CCC(OC)CC1(C1(O)C3CC(OC)C3(O)CC(OC)C3CCC31O)N(CC)C2
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,7,CCN1CC2(COC(=O)c3ccccc3N=CC(C)=O)CCC(OC)C3(O)C1CCC2(O)C1(O)CC(OC)C2CC2C31O
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,8,CCN1CC23CCC(OC)C4(O)C(CCC5(O)C(OC(=O)c6ccccc6NC#CO)CC(OC)C54O)CC2C1C3OC
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,9,CCN1C[C@]23CC[C@H](OC)C1CC2[C@]1(O)C[C@H](OC)[C@]2(OC(=O)c4ccccc4NOCC(C)=O)[C@@]4(C[C@H]4[C@@]32O)[C@H]1OC
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,10,CCN1CC2(O)C(OC)CCC3C4CCC(O)C(OC)C5(O)CC6CC4(OC(=O)c4ccccc4NOC=O)C15CCC632
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,11,CCN1C[C@@H]2CC[C@H](OC(=O)OCOc3ccccc3NC(C)=O)[C@]34C1CC[C@@]1(O)[C@H]5C[C@@H](CC213)[C@@H](O)C[C@@H](OC)[C@@]54O
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,12,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C5[C@H](C[C@H](OC)[C@]6(O)C[C@H](OC)[C@H]6[C@@]5(O)C[C@H]23)[C@@H]14
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,13,CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C1C(CC23)C1C2(O)CC(OC)C(OC)C12C4(O)O
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,14,CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C(OC)CC(OC)C5(O)CC(OC)C5(O)C(CCC23)C14
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,15,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@@]34C[C@@H]2C(O)(C13)[C@@]1(O)C[C@H](OC)[C@@]2(O)C[C@H]4[C@@H]1C[C@H]2OC
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,16,CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C5CC3(O)C3C(OC)CC(OC)C3C(O)(C(OC)C52)C14
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,17,CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C5CC6(O)C(OC)CC6(C5OC)C3CC2C14
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,18,CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C(C5(O)CC(O)C6CC6C5OC)CC3C2(O)C14
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,19,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@@]3(O)[C@H](C[C@@H]23)[C@H]2C[C@H]1[C@@]1(O)CC[C@H](OC)[C@]1(O)[C@H]2O
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,20,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]3(O)[C@H]1[C@@]3(O)[C@H](OC)C[C@@]1(O)[C@H]3CC[C@H]([C@@H]3OC)[C@@H]21
CN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)O)OC)OC)O)COC,MassSpecGymID0347534,1,COCC12CN(C)C34C(C(OC)C13)C1CC(O)(C(O)C2OC(=O)c2ccccc2)C2C(OC)C(OC)C1(O)C(OC)C24
CN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)O)OC)OC)O)COC,MassSpecGymID0347534,2,COCC12CN(C)C3C(OC)C45C(OC(=O)c6ccccc6)C4C(O)C3(O)C(O)C3CC5(CC1O)C(OC)C2C3OC
