true_smiles,name,candidate_rank,candidate_smiles
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,1,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@@]3(O)C(=O)[C@H](OC)[C@]4(O)CC[C@@]5([C@@H]2C[C@H]13)[C@H](OC)C[C@@H]45
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,2,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OOC)[C@@]34C2CC13[C@]1(O)CC[C@H](OC)[C@]42C1[C@H](OC)C[C@H]2O
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,3,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1C1(OC[C@]23O)[C@@H](OC)C[C@@]2(O)C[C@H]4[C@H](OC)C[C@@H]12
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,4,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)C34C1C2[C@H]3[C@@]4(O)C(O)(OC)C1C[C@@H](OC)C2CC[C@@]21O
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,5,CCN1C[C@@]2(OC(=O)OC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C(OC)[C@@]5(C)C(OC)CC2[C@@]5(O)C13C[C@H]4C
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,6,CCN1CC2(OC(=O)c3ccccc3NCOOC(C)=O)CCC(OC)C34C(OC)CC5C(OC)C=CC5(O)C3CC2C14
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,7,CCN1CC2(C(=O)c3ccccc3NC(C)=O)CCC(OC)C34C(O)CC5C6(O)C(CC5(O)C13CCC4C2(O)O)C6OC
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,8,CCN1C[C@]2(OC(=O)c3ccccc3NC#COC(C)=O)CC[C@H](OC)[C@H]3C1CC[C@]1(O)[C@H](OC)CC[C@]2(O)[C@H]1C[C@@H]3O
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,9,CCN1CC2(OC(=O)c3ccccc3NC([O])=C[CH+]OC)CCC(OC)C34C(C(OC)CC3C24O)C1CC1C(O)C1OC
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,10,CCN1C[C@]2(OC(C)=O)CC[C@H](OC(=O)c3ccccc3CNOC=CC(C)=O)[C@]3(OC)C2C[C@]2(CC[C@H]3OC)OC[C@@H]12
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,11,CCN1C[C@@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@H]3[C@](O)([C@@]1(O)C[C@H](OC)[C@@H]3C[C@H]1[C@H]3OC)[C@@H]24
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,12,CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C5C(OC)CC(O)(C5CO)C(O)(CC13)CC24
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,13,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@@]1(O)[C@H]5C[C@@H]3[C@H](C[C@H]4OC)[C@]5(O)[C@@H](OC)C[C@@H]21
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,14,CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C1C(CC23)C1(O)CC(OC)C2(O)CC4C21OC
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,15,CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C5CC6C(OC)C5C(O)(C6OC)C(O)(CC13)C24
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,16,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@H](C[C@H]23)C[C@@H]4[C@@]1(O)CC[C@H](OC)C(O)C1(O)O
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,17,CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)C3(O)C1CC3(O)C1(O)CC(OC)C2CCC1COC
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,18,CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@@]3(O)C2C[C@H]1[C@H]3C[C@@H]1[C@H](OC)[C@]2(O)[C@@H](OC)C[C@]12O
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,19,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@@]34C2C1[C@H](OC)CC3[C@@]1(O)C[C@H](OC)[C@H]2C[C@H]4C1[C@H]2O
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,MassSpecGymID0341761,20,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@@H]3[C@]4(C1CC24)[C@H]1C[C@@H](OC)[C@@]3(O)C2(O)[C@@H](OC)CC[C@]12O
CN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)O)OC)OC)O)COC,MassSpecGymID0347534,1,COCC12CN(C)C3C1C(OC)C(OC(=O)c1ccccc1)C2C31C(O)C2CC1C(OC)C(O)C1CC(O)C2(O)C1O
CN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)O)OC)OC)O)COC,MassSpecGymID0347534,2,COC[C@]12CN(C)C3C1C2[C@H](OC)[C@@H](O)[C@]12[C@@H]4[C@@H](O)[C@H]1[C@@H](O)C[C@H](OC)[C@]3([C@H](OC)[C@@H]4OC(=O)c1ccccc1)[C@@H]2O
CN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)O)OC)OC)O)COC,MassSpecGymID0347534,3,COC[C@@]12CN(C)[C@@H]3[C@H]4[C@H]5C[C@]6(O)[C@@H](OC)C[C@@H]([C@H]([C@@H]5OC)[C@]6(O)[C@H]1O)[C@]3(O)[C@@H](OC(=O)c1ccccc1)[C@@H](OC)[C@@H]42
CN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)O)OC)OC)O)COC,MassSpecGymID0347534,4,COCC12CN(C)C3C4C(OC)C(C1O)C4(O)C(OC(=O)c1ccccc1)C1(O)C3C2CC2(O)C(OC)CC(OC)C21
CN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)O)OC)OC)O)COC,MassSpecGymID0347534,5,COCC12CN(C)C3C4C(OC)CC56C(O)CC(OC)C5(C(O)C6O)C1C3(O)C(OC)C2C4OC(=O)c1ccccc1
CN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)O)OC)OC)O)COC,MassSpecGymID0347534,6,COC[C@]12CN(C)[C@@H]3C(OC)[C@H](OC)[C@]34C1[C@H]1[C@@H](OC(=O)c3ccccc3)[C@]3(O)C[C@@H]4[C@@H](O)[C@@H]([C@@H]3OC)[C@]2(O)[C@H]1OC
