attempt,spec_name,reported_exact_top10,reported_tanimoto_top10,oracle_best_candidate_tanimoto_morgan2048,oracle_rerank_gain,unique_candidates,total_generated
a15_r10_t1_seed42,MassSpecGymID0058062,1.0,1.0,1.0,0.0,20,200
a15_r10_t1_seed42,MassSpecGymID0081883,1.0,1.0,1.0,0.0,20,176
a15_r10_t1_seed42,MassSpecGymID0105109,0.0,0.6702127456665039,0.6813186813186813,0.011105935652177434,20,200
a15_r10_t1_seed42,MassSpecGymID0152325,0.0,0.9166666865348816,0.9146341463414634,-0.002032540193418142,20,200
a15_r10_t1_seed42,MassSpecGymID0162714,0.0,0.45098039507865906,0.45098039215686275,-2.9217963048999707e-09,20,108
a15_r10_t1_seed42,MassSpecGymID0185133,0.0,0.8846153616905212,0.8831168831168831,-0.0014984785736381623,20,200
a15_r10_t1_seed42,MassSpecGymID0341761,0.0,0.6263736486434937,0.625,-0.0013736486434936523,20,200
a15_r10_t1_seed42,MassSpecGymID0347534,0.0,0.5714285969734192,0.5730337078651685,0.0016051108917493062,20,200
a15_r10_t1_seed42,MassSpecGymID0372970,0.0,0.5421686768531799,0.5421686746987951,-2.1543847816829498e-09,20,200
a15_r10_t1_seed42,MassSpecGymID0380322,0.0,0.891566276550293,0.891566265060241,-1.1490052020945996e-08,20,200
a15_r10_t1_seed42,MassSpecGymID0380514,1.0,1.0,1.0,0.0,20,200
a17_r2_t1_seed42,MassSpecGymID0105109,0.0,0.6630434989929199,0.6666666666666666,0.003623167673746708,20,200
a17_r2_t1_seed42,MassSpecGymID0152325,1.0,1.0,1.0,0.0,20,200
a17_r2_t1_seed42,MassSpecGymID0185133,0.0,0.8395061492919922,0.8375,-0.0020061492919921653,20,200
a17_r2_t1_seed42,MassSpecGymID0341761,0.0,0.6451612710952759,0.6444444444444445,-0.0007168266508313925,20,200
a17_r2_t1_seed42,MassSpecGymID0347534,0.0,0.5764706134796143,0.5662650602409639,-0.010205553238650356,20,115
a17_r2_t1_seed42,MassSpecGymID0380322,0.0,0.6421052813529968,0.6421052631578947,-1.819510209166708e-08,20,200
a18_r4_t1_seed42,MassSpecGymID0105109,0.0,0.7142857313156128,0.7191011235955056,0.004815392279892805,20,200
a18_r4_t1_seed42,MassSpecGymID0152325,1.0,1.0,1.0,0.0,20,200
a18_r4_t1_seed42,MassSpecGymID0185133,0.0,0.8374999761581421,0.8354430379746836,-0.0020569381834585343,20,200
a18_r4_t1_seed42,MassSpecGymID0341761,0.0,0.602150559425354,0.5978260869565217,-0.004324472468832274,20,200
a18_r4_t1_seed42,MassSpecGymID0347534,0.0,0.5730336904525757,0.5930232558139535,0.01998956536137786,20,200
a18_r4_t1_seed42,MassSpecGymID0380322,0.0,0.7666666507720947,0.7666666666666667,1.5894571991914574e-08,20,200
a19_r6_t1_seed42,MassSpecGymID0105109,0.0,0.6666666865348816,0.6704545454545454,0.0037878589196638224,20,200
a19_r6_t1_seed42,MassSpecGymID0152325,0.0,0.9166666865348816,0.9146341463414634,-0.002032540193418142,20,200
a19_r6_t1_seed42,MassSpecGymID0185133,0.0,0.8354430198669434,0.8333333333333334,-0.002109686533609989,20,200
a19_r6_t1_seed42,MassSpecGymID0341761,0.0,0.5894736647605896,0.5806451612903226,-0.00882850347026698,20,200
a19_r6_t1_seed42,MassSpecGymID0347534,0.0,0.5604395866394043,0.5568181818181818,-0.003621404821222529,20,200
a19_r6_t1_seed42,MassSpecGymID0380322,0.0,0.6288659572601318,0.6288659793814433,2.2121311449296854e-08,20,200
a20_r4_t08_seed42,MassSpecGymID0105109,0.0,0.6666666865348816,0.6666666666666666,-1.9868214962137642e-08,20,200
a20_r4_t08_seed42,MassSpecGymID0152325,0.0,0.929411768913269,0.927710843373494,-0.0017009255397750778,20,200
a20_r4_t08_seed42,MassSpecGymID0185133,0.0,0.8846153616905212,0.8831168831168831,-0.0014984785736381623,20,200
a20_r4_t08_seed42,MassSpecGymID0341761,0.0,0.6304348111152649,0.6222222222222222,-0.00821258889304266,20,200
a20_r4_t08_seed42,MassSpecGymID0347534,0.0,0.5454545617103577,0.5411764705882353,-0.004278091122122407,20,161
a20_r4_t08_seed42,MassSpecGymID0380322,0.0,0.7640449404716492,0.7640449438202247,3.3485755279727414e-09,20,200
a22_r4_t1_seed123,MassSpecGymID0105109,0.0,0.7045454382896423,0.7176470588235294,0.013101620533887082,20,200
a22_r4_t1_seed123,MassSpecGymID0152325,0.0,0.8620689511299133,0.8588235294117647,-0.0032454217181486777,20,200
a22_r4_t1_seed123,MassSpecGymID0185133,0.0,0.8607594966888428,0.8589743589743589,-0.0017851377144838532,20,200
a22_r4_t1_seed123,MassSpecGymID0341761,0.0,0.6105263233184814,0.6043956043956044,-0.0061307189228770875,20,200
a22_r4_t1_seed123,MassSpecGymID0347534,0.0,0.6022727489471436,0.6046511627906976,0.0023784138435540836,20,200
a22_r4_t1_seed123,MassSpecGymID0380322,0.0,0.70652174949646,0.7065217391304348,-1.0366025149366465e-08,20,200
