true_smiles,name,candidate_rank,candidate_smiles
CC1=CC2=C(C(=C1)O)C(=C3C(=O)[C@H]4C(C5[C@]3(C2=O)[C@@H]6C(C5[C@@]47C(=C(C8=C(C7=O)C=C(C=C8O)C)O)C6=O)O)O)O,MassSpecGymID0001903,1,O=C1c2c(O)cc(C3Oc4cc(O)cc(O)c4C(=O)C3c3ccc(O)cc3)cc2OC(c2ccc(O)cc2)C1O
CC1=CC2=C(C(=C1)O)C(=C3C(=O)[C@H]4C(C5[C@]3(C2=O)[C@@H]6C(C5[C@@]47C(=C(C8=C(C7=O)C=C(C=C8O)C)O)C6=O)O)O)O,MassSpecGymID0001903,2,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@@H]1[C@@H]1c2cc(O)cc(O)c2C(=O)[C@@H]1c1cc(O)cc(O)c1
CC1=CC2=C(C(=C1)O)C(=C3C(=O)[C@H]4C(C5[C@]3(C2=O)[C@@H]6C(C5[C@@]47C(=C(C8=C(C7=O)C=C(C=C8O)C)O)C6=O)O)O)O,MassSpecGymID0001903,3,O=C1c2c(O)cc(O)cc2OC2Cc3c(O)cc(O)c(c31)C(=O)C(c1ccc(O)cc1)C(c1ccc(O)cc1)O2
CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)O,MassSpecGymID0018837,1,CC(C)(c1ccc(-c2cc(=O)[n-]c(=O)[n-]2)cc1)c1nc2cc(C(=O)O)ccc2o1
CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)O,MassSpecGymID0018837,2,O=C(O)c1ccc(-c2cccc(-c3nc4cc(C(=O)O)ccc4o3)n2)cc1
CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)O,MassSpecGymID0018837,3,O=C(O)c1ccc2oc(-c3cc(-c4nc5ccccc5o4)ccc3O)nc2c1
CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)O,MassSpecGymID0018840,1,CCC(C1C(C#N)=C(N)Oc2c1oc1c3ccoc4ccccc4c=3c21)[N+](=O)[O-]
CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)O,MassSpecGymID0018840,2,CC12C(C#N)=C(N)OC3=C1C=C3C(C[N+](=O)[O-])c1c2c(=O)oc2ccccc12
CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)O,MassSpecGymID0018840,3,CC1([O-])C(c2c(N)c3ccccc3oc2=O)=C(C#N)c2ccccc21
CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,MassSpecGymID0027378,1,CCCCc1nc2nc(C)c(CCC)c(=O)cc2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,MassSpecGymID0027378,2,CCCCc1nc(C)c(C)n1Cc1ccn(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)c(=O)c1
CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,MassSpecGymID0027378,3,CCCCc1nc(C)c(Cc2[nH]c(=O)ccc2C)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC,MassSpecGymID0027960,1,Cc1c([OH2+])c2ccccc2n2c3c(c4c(cc42)oc1=O)C(C)C(=O)N(CC#N)C3=[OH+]
CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC,MassSpecGymID0027960,2,CC1(C)C=CC(C[O-])=C2C(=Cc3c2c(=O)oc2ccccc32)OC(N)=C(C#N)C1=O
CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC,MassSpecGymID0027960,3,CC1(C)C(=O)N([NH-])c2ccccc21
