target_smiles,target_inchi_key,num_predictions,exact_match_top1,exact_match_top10,tanimoto_top1,tanimoto_top10,tanimoto_mean,mist_tanimoto,spec_name,proposal_smiles,proposal_source,conditioning_fingerprint_source,formula_matches_collected,total_generated,total_valid,total_formula_matched,generation_time,top_prediction_smiles
CC1=CC2=C(C(=C1)O)C(=C3C(=O)[C@H]4C(C5[C@]3(C2=O)[C@@H]6C(C5[C@@]47C(=C(C8=C(C7=O)C=C(C=C8O)C)O)C6=O)O)O)O,QFDPVUTXKUGISP,3,0.0,0.0,0.20338982343673706,0.20338982343673706,0.19029946128527322,0.22807016968727112,MassSpecGymID0001903,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1C1C(=O)c2c(O)cc(O)cc2OC1c1ccc(O)cc1,formula,mist,3,28,23,3,13.235028266906738,"['O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1C1C(=O)c2c(O)cc(O)cc2OC1c1ccc(O)cc1', 'O=C1c2c(O)cc(O)cc2O[C@@H](c2ccc([C@H]3C(=O)c4c(O)cc(O)cc4O[C@@H]3c3ccc(O)cc3)cc2)[C@@H]1O', 'O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@@H]2O[C@H](c3ccc(O)cc3)Cc3c1c(O)cc(O)c3C2=O']"
CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)O,IKCXDZCEWZARFL,3,0.0,0.0,0.13414634764194489,0.15294118225574493,0.13987255096435547,0.171875,MassSpecGymID0018837,NNc1ccc(-c2nc3cc(C(=O)O)ccc3o2)c(-c2ccc(C(=O)O)cc2)c1,formula,mist,3,16,12,3,2.2656142711639404,"['NNc1ccc(-c2nc3cc(C(=O)O)ccc3o2)c(-c2ccc(C(=O)O)cc2)c1', 'Nc1nc(-c2cc(C(=O)O)cc(-n3cccc3)c2)oc1-c1cccc(C(=O)O)c1', 'O=C(O)c1ccc2cc1c1ccc(oc3cccc(c3)[nH][nH][nH]c3ccc2o3)o1']"
CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)O,IKCXDZCEWZARFL,3,0.0,0.0,0.1318681389093399,0.1428571492433548,0.11721612264712651,0.14772726595401764,MassSpecGymID0018840,C[C@]1(c2cc3ccccc3oc2=O)C(C#N)=C(N)CN([N+](=O)[O-])c2ccccc21,formula,mist,3,30,30,1,4.7086827754974365,"['C[C@]1(c2cc3ccccc3oc2=O)C(C#N)=C(N)CN([N+](=O)[O-])c2ccccc21', 'CC1(C)C(=O)N([N+](=O)[O-])c2ccccc2C12[C](N)c1c2c(=O)oc2ccccc12', 'CC1(N=C(O)c2c([NH2+][O-])c(=O)oc3ccccc23)C(=O)C(C#N)c2ccccc21']"
CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,KTUFNOKKBVMGRW,3,0.0,0.0,0.1568627506494522,0.1568627506494522,0.14752568304538727,0.1734693944454193,MassSpecGymID0027378,CCCCc1nc(=O)n(CCC)n1Cc1ccc(-c2ccccc2-c2ccccc2-c2nn[nH]n2)cc1,formula,mist,3,29,25,3,5.715292453765869,"['CCCCc1nc(=O)n(CCC)n1Cc1ccc(-c2ccccc2-c2ccccc2-c2nn[nH]n2)cc1', 'CCCCc1nc(CCCC2=NC(=O)C=C2)c(C)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1', 'CCCCc1ccc(CCCc2ncc[nH]2)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1']"
CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC,WFDXOXNFNRHQEC,3,0.0,0.0,0.14130434393882751,0.14130434393882751,0.13453575472036997,0.15730337798595428,MassSpecGymID0027960,CC1(C)C(=O)N(O[C@H]2C(C#N)=C(N)Oc3c2c(=O)oc2ccccc32)c2ccccc21,formula,mist,3,30,30,0,5.474826335906982,"['CC1(C)C(=O)N(O[C@H]2C(C#N)=C(N)Oc3c2c(=O)oc2ccccc32)c2ccccc21', 'CC1(C)C(=O)[NH+](C2C(C#N)=C(N)Oc3c2c(=O)oc2ccccc32)Oc2ccccc21', 'CC1(C)C(C2C(=O)C(=[NH2+])OC(N)=C2C#N)=C[CH]Oc2c1c(=O)oc1ccccc21']"
CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,NWXMGUDVXFXRIG,3,0.0,0.0,0.10999999940395355,0.12087912112474442,0.11617539326349895,0.17142857611179352,MassSpecGymID0058040,CC1(C)OC(O)C(C)(C)C2C=CC(COC(=O)c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)=CC1=C2,formula,mist,3,28,27,3,5.354084014892578,"['CC1(C)OC(O)C(C)(C)C2C=CC(COC(=O)c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)=CC1=C2', 'CC1=C(c2cc(C)cc([N+](=O)[O-])c2)C(O)C(C)(OOc2cc(C)cc([N+](=O)[O-])c2)C1(C)O', 'CCc1c(C)cc([N+](=O)[O-])cc1C(=O)C(=O)OC(=O)CCC(=O)C1(N)C(C)=CC(C)=C1O']"
CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,ZKWQQXZUCOBISE,3,0.0,0.0,0.11594203114509583,0.11594203114509583,0.1084671641389529,0.1458333283662796,MassSpecGymID0058077,CCC[C@H](N[C@H]1CCc2cc(OC)c(OC)c(OC)c2C1=O)C(=O)O,formula,mist,3,30,30,0,16.497750759124756,"['CCC[C@H](N[C@H]1CCc2cc(OC)c(OC)c(OC)c2C1=O)C(=O)O', 'C=C(C)N[C@@H]1CCc2cc(OC)c(OC)c(OC)c2-c2cc(C(CC)CC(=C)OC)c(OC)c(OC)c21', 'CC[C@H](C(=O)O)C(C)(C)c1c(CCC(C)(C)O[C@@H]2CCc3cc(OC)c(OC)c(OC)c32)cc(OC)c(OC)c1OC']"
CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,ZKWQQXZUCOBISE,3,0.0,0.0,0.17006802558898926,0.17006802558898926,0.14971641699473062,0.19708029925823212,MassSpecGymID0058081,CC(NC(=O)C(=O)OC1OC(C)C(O)C1OC(=O)OC1OCC(O)C(O)C1O)C1=CCC2C(C)(C)CCCC12C,formula,mist,3,30,30,0,18.4916729927063,"['CC(NC(=O)C(=O)OC1OC(C)C(O)C1OC(=O)OC1OCC(O)C(O)C1O)C1=CCC2C(C)(C)CCCC12C', 'CC(C)C1=CCC2C3=CCC4C3(C)CCC3C(C)(C)CCC(C12C)C34C(=O)OC1C(O)CC(OC(=O)C(C)(O)C2=CCC3C(O)C(O)CCC23C)OCC1OC1OCC(O)C(O)C1O', 'CC(C)C1=CCC=C2C(C)(C)[C@@H](O[C@@H]3OC[C@H](O)[C@H](O)[C@@H]3OC(=O)[C@]34CC[C@@H](C(O)=N3)C(C)(C)C3CC=C5C[C@@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O)CC[C@]5(C)[C@@H]3C4)CC[C@@]12C']"
CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,GUGOEEXESWIERI,3,0.0,0.0,0.08139535039663315,0.1304347813129425,0.11324570327997208,0.1756756752729416,MassSpecGymID0059173,CC1(C)CCc2cc3[nH]c4cc5c(cc4c3cc21)C(C)(C)[C@@H]1CCCCC[C@H](O)[C@@](C)(O)[C@@]51C,formula,mist,3,30,30,1,5.867166757583618,"['CC1(C)CCc2cc3[nH]c4cc5c(cc4c3cc21)C(C)(C)[C@@H]1CCCCC[C@H](O)[C@@](C)(O)[C@@]51C', 'CC(C)(O)C1CCc2cc3cc4c5c(c3cc2C1)C1(C)CCC2(C)C(C5)C1(C)CCC2(O)CC4', 'Cc1cc2cc3cc4c(c5ccc4cc(cc2[nH]1)CC(C)(C)C(C)C5)C[C@H](C)C3(C)[C@](C)(O)CO']"
CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,SGKRLCUYIXIAHR,3,0.0,0.0,0.0941176488995552,0.12222222238779068,0.11179583022991817,0.15789473056793213,MassSpecGymID0061350,CC1=C([N+](=O)[O-])C=C1OC1OC(O)C(O)C(O)C1O,formula,mist,3,30,30,0,5.422267198562622,"['CC1=C([N+](=O)[O-])C=C1OC1OC(O)C(O)C(O)C1O', 'Cc1cc(O)c(OC2OC([N+](=O)[O-])C(O)C2O)cc1C', 'CC1=C([N+](=O)[O-])c2cc(O[C@@H]3O[C@H](N)[C@H](O)[C@H]3O)c(O)cc21']"
