threshold,bin,n,exact_top10,tanimoto_top10,mist_tanimoto,formula_success,avg_total_formula_matched,avg_total_generated
0.187,good_mist,50,0.08,0.5947036108374596,0.6735561442375183,0.84,2.34,25.62
0.187,high_mist,50,0.3,0.7514297163486481,0.9043777656555175,0.82,2.76,25.7
0.187,low_mist,50,0.0,0.14005780071020127,0.16429962024092673,0.74,1.7,26.82
0.187,mid_mist,50,0.0,0.23993790790438652,0.32267037123441694,0.9,2.18,26.2
0.25,good_mist,50,0.12,0.5936398288607597,0.6869280278682709,0.84,2.38,25.58
0.25,high_mist,50,0.24,0.7435601234436036,0.9204313433170319,0.8,2.64,26.72
0.25,low_mist,50,0.0,0.1384006194770336,0.16397635415196418,0.78,1.72,26.76
0.25,mid_mist,50,0.0,0.24214094787836074,0.31595586001873016,0.82,1.8,28.42
0.30,good_mist,50,0.06,0.5437074398994446,0.6885081577301025,0.74,2.24,25.5
0.30,high_mist,50,0.28,0.7399508380889892,0.9176652634143829,0.76,2.54,27.88
0.30,low_mist,50,0.0,0.1367536534368992,0.16530049711465836,0.68,1.56,28.7
0.30,mid_mist,50,0.0,0.2309260082244873,0.30378924489021303,0.72,1.48,27.98
