target_smiles,target_inchi_key,num_predictions,exact_match_top1,exact_match_top10,tanimoto_top1,tanimoto_top10,tanimoto_mean,mist_tanimoto,spec_name,proposal_smiles,total_unique_generated
C(C(=O)O)NC(=O)CN1C2C(NC(=O)N2)NC1=O,CXCKOTGRTPLISC,38,0.0,0.0,0.1034482792019844,0.145454540848732,0.08498264584494264,0.17307692766189575,MassSpecGymID0374577,NC(=O)c1nc(C(N)=O)c(N(CO)CO)nc1O,38
CC1C(NC(=O)C(NC(=O)C(C(NC(=O)C(NC(=O)C(NC(=O)C(=C)N(C(=O)CCC(NC1=O)C(=O)O)C)C)CC(C)C)C(=O)O)C)CC2=CC=CC=C2)/C=C/C(=C/C(C)C(CC3=CC=CC=C3)OC)/C,FEVBMCJUKWWWBT,52,0.0,0.0,0.37857142090797424,0.37857142090797424,0.23063653990483055,0.8584905862808228,MassSpecGymID0075191,C=C1C(=O)N[C@H]([C@H](C=O)OC)[C@@H](C)C(=O)N[C@@H](C[C@@H](Cc2ccccc2)OC)CCC(=O)N(C)[C@@H](Cc2ccc(O)cc2)N[C@H](C(=O)O)[C@@H](CC(C)C)C(=O)NC2OC[C@@H](Cc3ccc(O)cc3)[C@H](C)N12,52
CCCCCCCC(=O)C(C)C(=O)N(C)[C@H](CC1=CC=C(C=C1)OC)C(=O)N(C)[C@@H](C(C)C)C(=O)N,KKNYIFDIQAVMQG,63,0.0,0.0,0.18269230425357819,0.18888889253139496,0.16612339350912306,0.2469135820865631,MassSpecGymID0395776,CCCCCC[C@@H](C)N(CCC(=O)NCCC[C@H]1CC2=C(O1)C(C)=C(C)[C@H](O)NC(=O)C=C2)C(C)=O,63
CCOC(=O)COC1=C(C=C(C(=C1)C2=NN(C(=C2Cl)OC(F)F)C)F)Cl,APTZNLHMIGJTEW,28,1.0,1.0,1.0,1.0,0.4270313013611095,1.0,MassSpecGymID0088989,CCOC(=O)COc1cc(-c2nn(C)c(OC(F)F)c2Cl)c(F)cc1Cl,28
CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)OC(=O)C)COC,RIPYIJVYDYCPKW,43,0.0,0.0,0.17266187071800232,0.18518517911434174,0.14802916703182598,0.1984127014875412,MassSpecGymID0134704,CC[C@H](C)C(=O)O[C@H]1[C@@H](OC(C)=O)[C@H](C)CC2C3C(=O)C(O)[C@@H]4C5=CC6OC7CCC6NC(O)C[C@@H]([C@H]7C4[C@H]5O)[C@@]3(C)OC(=O)[C@]21O,43
CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)O)C,RWXIFXNRCLMQCD,58,0.0,0.0,0.7848101258277893,0.7848101258277893,0.3874311510088115,0.7142857313156128,MassSpecGymID0262882,CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)[C@H]1CC[C@]2(C)[C@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)C(C)(C)[C@@H]3CC[C@]12C,58
CC1C(CC2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O)OC(=O)C4=COC(C(C4CCO)C=C)OC5C(C(C(C(O5)CO)O)O)O,VSNATUGVSVGFFN,56,0.0,0.0,0.5666666626930237,0.6794871687889099,0.4468653292528221,0.9142857193946838,MassSpecGymID0310002,C=C[C@H]1[C@H](O[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@@H]1[C@@H]1CC[C@H](O[C@@H]2OC=C(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)OC2C)[C@H]1C,56
CC1=C(C(=O)OC(C1)C(C)(C2CCC3C2(CCC4C3CC=C5C4(C(CC(C5)OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)O)O)O)O)O)O)O)C)C)O)C,MKCYAASFWFGIJK,50,0.0,0.0,0.6600000262260437,0.6600000262260437,0.38132284991443155,0.5945945978164673,MassSpecGymID0193644,CC1=C(CO)C(=O)O[C@@H]([C@@H](C)[C@H]2CC[C@@H]3[C@@H]4CC=C5C[C@H](O[C@@H]6O[C@H](CO[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@@H](O)[C@H](O)[C@@H]6O)C[C@@H](O)[C@]5(C)[C@H]4CC[C@@]23C)C1,50
COC1=C(C=C(C=C1)C2=NCCN2)C3=CN(N=N3)C4=CC=CC(=C4)C5=NCCN5,YYPYGOBZSTWBLU,42,0.0,0.0,0.23749999701976776,0.2702702581882477,0.15892017765768937,0.3125,MassSpecGymID0179811,Cn1cc(-c2ccc3cc(-c4cn(C)nn4)c(C4CC(=O)CCN4)cc3c2)nn1,42
C1=CC=C(C(=C1)CC(=O)NC2=CC=C(C=C2)C3=C(C=C(C=C3)C(C(F)(F)F)(C(F)(F)F)O)F)[N+](=O)[O-],MNVXADPCMINSEC,56,0.0,0.0,0.5735294222831726,0.6290322542190552,0.37056378714208094,0.6610169410705566,MassSpecGymID0236112,O=[O+][N-]c1ccc(NC(=O)Cc2ccc(-c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3F)cc2)cc1,56
