spec_name,target_active_bits,mean_target_bit_probability,median_target_bit_probability,recall_at_top_16,recall_at_top_32,recall_at_top_48,recall_at_top_64,recall_at_top_80,recall_at_top_96,recall_at_top_128,recall_at_top_160,recall_at_top_256,recall_at_top_384,recall_at_top_512,recall_at_top_768,recall_at_top_1024,threshold_0_05_precision,threshold_0_05_recall,threshold_0_05_f1,threshold_0_05_pred_bits,threshold_0_1_precision,threshold_0_1_recall,threshold_0_1_f1,threshold_0_1_pred_bits,threshold_0_15_precision,threshold_0_15_recall,threshold_0_15_f1,threshold_0_15_pred_bits,threshold_0_187_precision,threshold_0_187_recall,threshold_0_187_f1,threshold_0_187_pred_bits,threshold_0_2_precision,threshold_0_2_recall,threshold_0_2_f1,threshold_0_2_pred_bits,threshold_0_25_precision,threshold_0_25_recall,threshold_0_25_f1,threshold_0_25_pred_bits,threshold_0_3_precision,threshold_0_3_recall,threshold_0_3_f1,threshold_0_3_pred_bits,threshold_0_4_precision,threshold_0_4_recall,threshold_0_4_f1,threshold_0_4_pred_bits,threshold_0_5_precision,threshold_0_5_recall,threshold_0_5_f1,threshold_0_5_pred_bits
MassSpecGymID0001903,38,0.3011941611766815,0.07202993333339691,0.23684210526315788,0.34210526315789475,0.34210526315789475,0.42105263157894735,0.5,0.5263157894736842,0.5526315789473685,0.5526315789473685,0.6052631578947368,0.7105263157894737,0.7894736842105263,0.868421052631579,0.8947368421052632,0.2,0.5526315789473685,0.2937062937062937,105,0.23943661971830985,0.4473684210526316,0.3119266055045872,71,0.25,0.34210526315789475,0.2888888888888889,52,0.2765957446808511,0.34210526315789475,0.3058823529411765,47,0.2826086956521739,0.34210526315789475,0.30952380952380953,46,0.325,0.34210526315789475,0.33333333333333337,40,0.40625,0.34210526315789475,0.3714285714285715,32,0.41379310344827586,0.3157894736842105,0.3582089552238805,29,0.41379310344827586,0.3157894736842105,0.3582089552238805,29
MassSpecGymID0018837,48,0.23162110149860382,0.04881228506565094,0.22916666666666666,0.22916666666666666,0.25,0.2916666666666667,0.3333333333333333,0.3541666666666667,0.3958333333333333,0.5,0.5625,0.625,0.6458333333333334,0.6666666666666666,0.7083333333333334,0.14814814814814814,0.5,0.22857142857142856,162,0.18823529411764706,0.3333333333333333,0.24060150375939854,85,0.22807017543859648,0.2708333333333333,0.2476190476190476,57,0.25,0.25,0.25,48,0.2608695652173913,0.25,0.2553191489361702,46,0.32432432432432434,0.25,0.2823529411764706,37,0.4074074074074074,0.22916666666666666,0.2933333333333333,27,0.4782608695652174,0.22916666666666666,0.3098591549295775,23,0.5789473684210527,0.22916666666666666,0.3283582089552239,19
MassSpecGymID0018840,48,0.2460787445306778,0.033587485551834106,0.22916666666666666,0.22916666666666666,0.2708333333333333,0.2916666666666667,0.3125,0.4166666666666667,0.4583333333333333,0.4791666666666667,0.5416666666666666,0.6041666666666666,0.6458333333333334,0.7083333333333334,0.8333333333333334,0.1774193548387097,0.4583333333333333,0.2558139534883721,124,0.1875,0.3125,0.234375,80,0.22058823529411764,0.3125,0.25862068965517243,68,0.20634920634920634,0.2708333333333333,0.23423423423423423,63,0.20634920634920634,0.2708333333333333,0.23423423423423423,63,0.22033898305084745,0.2708333333333333,0.24299065420560745,59,0.24528301886792453,0.2708333333333333,0.25742574257425743,53,0.2765957446808511,0.2708333333333333,0.2736842105263158,47,0.3,0.25,0.2727272727272727,40
MassSpecGymID0027378,65,0.2529481053352356,0.057110123336315155,0.12307692307692308,0.2,0.26153846153846155,0.3230769230769231,0.35384615384615387,0.4153846153846154,0.5076923076923077,0.5692307692307692,0.6461538461538462,0.7846153846153846,0.8307692307692308,0.9076923076923077,0.9230769230769231,0.2537313432835821,0.5230769230769231,0.3417085427135679,134,0.2857142857142857,0.4,0.3333333333333333,91,0.2948717948717949,0.35384615384615387,0.32167832167832167,78,0.3333333333333333,0.3230769230769231,0.328125,63,0.32786885245901637,0.3076923076923077,0.3174603174603175,61,0.3392857142857143,0.2923076923076923,0.31404958677685957,56,0.34,0.26153846153846155,0.2956521739130435,50,0.3404255319148936,0.24615384615384617,0.2857142857142857,47,0.3333333333333333,0.23076923076923078,0.27272727272727276,45
MassSpecGymID0027960,48,0.268290251493454,0.03301909565925598,0.22916666666666666,0.2708333333333333,0.2916666666666667,0.3333333333333333,0.3333333333333333,0.3958333333333333,0.4166666666666667,0.4583333333333333,0.5416666666666666,0.5625,0.625,0.7083333333333334,0.7916666666666666,0.1476510067114094,0.4583333333333333,0.2233502538071066,149,0.19148936170212766,0.375,0.25352112676056343,94,0.21621621621621623,0.3333333333333333,0.26229508196721313,74,0.2318840579710145,0.3333333333333333,0.27350427350427353,69,0.23880597014925373,0.3333333333333333,0.2782608695652174,67,0.2459016393442623,0.3125,0.2752293577981651,61,0.2545454545454545,0.2916666666666667,0.27184466019417475,55,0.3111111111111111,0.2916666666666667,0.30107526881720426,45,0.325,0.2708333333333333,0.2954545454545454,40
MassSpecGymID0058040,57,0.19478189945220947,0.04730721563100815,0.17543859649122806,0.22807017543859648,0.2807017543859649,0.2807017543859649,0.2807017543859649,0.3684210526315789,0.45614035087719296,0.5614035087719298,0.6842105263157895,0.7894736842105263,0.8245614035087719,0.8421052631578947,0.9298245614035088,0.19148936170212766,0.47368421052631576,0.2727272727272727,141,0.20512820512820512,0.2807017543859649,0.23703703703703702,78,0.32,0.2807017543859649,0.29906542056074764,50,0.375,0.2631578947368421,0.30927835051546393,40,0.4,0.24561403508771928,0.30434782608695654,35,0.41379310344827586,0.21052631578947367,0.27906976744186046,29,0.48,0.21052631578947367,0.2926829268292683,25,0.55,0.19298245614035087,0.2857142857142857,20,0.625,0.17543859649122806,0.273972602739726,16
MassSpecGymID0058077,105,0.1742352694272995,0.011972245760262012,0.11428571428571428,0.1619047619047619,0.18095238095238095,0.2,0.20952380952380953,0.21904761904761905,0.2571428571428571,0.26666666666666666,0.29523809523809524,0.4,0.4380952380952381,0.5142857142857142,0.6,0.13777777777777778,0.29523809523809524,0.1878787878787879,225,0.21138211382113822,0.24761904761904763,0.22807017543859648,123,0.23655913978494625,0.20952380952380953,0.2222222222222222,93,0.2716049382716049,0.20952380952380953,0.23655913978494622,81,0.29333333333333333,0.20952380952380953,0.24444444444444444,75,0.3181818181818182,0.2,0.2456140350877193,66,0.35,0.2,0.2545454545454545,60,0.38461538461538464,0.19047619047619047,0.2547770700636943,52,0.41304347826086957,0.18095238095238095,0.25165562913907286,46
MassSpecGymID0058081,105,0.22341156005859375,0.05840618163347244,0.11428571428571428,0.18095238095238095,0.23809523809523808,0.26666666666666666,0.29523809523809524,0.3142857142857143,0.3523809523809524,0.4,0.5047619047619047,0.6,0.6761904761904762,0.7904761904761904,0.8476190476190476,0.19424460431654678,0.5142857142857142,0.2819843342036554,278,0.2608695652173913,0.4,0.31578947368421056,161,0.3103448275862069,0.34285714285714286,0.32579185520361986,116,0.3595505617977528,0.3047619047619048,0.32989690721649484,89,0.3764705882352941,0.3047619047619048,0.3368421052631579,85,0.4393939393939394,0.2761904761904762,0.33918128654970764,66,0.4576271186440678,0.2571428571428571,0.3292682926829268,59,0.5217391304347826,0.22857142857142856,0.31788079470198677,46,0.6,0.2,0.3,35
MassSpecGymID0059173,44,0.23718777298927307,0.04655488580465317,0.1590909090909091,0.25,0.29545454545454547,0.29545454545454547,0.3181818181818182,0.36363636363636365,0.4318181818181818,0.45454545454545453,0.6363636363636364,0.7045454545454546,0.7272727272727273,0.8409090909090909,0.8636363636363636,0.12883435582822086,0.4772727272727273,0.2028985507246377,163,0.16346153846153846,0.38636363636363635,0.22972972972972971,104,0.18421052631578946,0.3181818181818182,0.23333333333333334,76,0.20967741935483872,0.29545454545454547,0.24528301886792456,62,0.22807017543859648,0.29545454545454547,0.25742574257425743,57,0.2708333333333333,0.29545454545454547,0.2826086956521739,48,0.3023255813953488,0.29545454545454547,0.29885057471264365,43,0.34285714285714286,0.2727272727272727,0.30379746835443033,35,0.3548387096774194,0.25,0.29333333333333333,31
MassSpecGymID0061350,57,0.21590541303157806,0.05914165452122688,0.19298245614035087,0.21052631578947367,0.2631578947368421,0.2982456140350877,0.3157894736842105,0.3508771929824561,0.47368421052631576,0.543859649122807,0.6491228070175439,0.7192982456140351,0.7543859649122807,0.8596491228070176,0.8947368421052632,0.2,0.5263157894736842,0.28985507246376807,150,0.2261904761904762,0.3333333333333333,0.2695035460992908,84,0.25862068965517243,0.2631578947368421,0.2608695652173913,58,0.32608695652173914,0.2631578947368421,0.2912621359223301,46,0.3409090909090909,0.2631578947368421,0.297029702970297,44,0.3684210526315789,0.24561403508771928,0.2947368421052632,38,0.3870967741935484,0.21052631578947367,0.2727272727272727,31,0.5,0.21052631578947367,0.2962962962962963,24,0.5,0.19298245614035087,0.27848101265822783,22
MassSpecGymID0070209,58,0.22101189196109772,0.050821755081415176,0.1724137931034483,0.22413793103448276,0.3103448275862069,0.39655172413793105,0.41379310344827586,0.43103448275862066,0.4827586206896552,0.5344827586206896,0.5689655172413793,0.6206896551724138,0.6724137931034483,0.7413793103448276,0.7931034482758621,0.20270270270270271,0.5172413793103449,0.2912621359223301,148,0.323943661971831,0.39655172413793105,0.35658914728682173,71,0.3673469387755102,0.3103448275862069,0.3364485981308411,49,0.37777777777777777,0.29310344827586204,0.33009708737864074,45,0.37209302325581395,0.27586206896551724,0.31683168316831684,43,0.375,0.25862068965517243,0.3061224489795919,40,0.40540540540540543,0.25862068965517243,0.3157894736842105,37,0.4117647058823529,0.2413793103448276,0.3043478260869565,34,0.4482758620689655,0.22413793103448276,0.2988505747126437,29
MassSpecGymID0076472,57,0.1754176765680313,0.03917183354496956,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.2807017543859649,0.3333333333333333,0.3684210526315789,0.40350877192982454,0.47368421052631576,0.5614035087719298,0.6491228070175439,0.7192982456140351,0.8245614035087719,0.8421052631578947,0.18,0.47368421052631576,0.2608695652173913,150,0.2465753424657534,0.3157894736842105,0.27692307692307694,73,0.26785714285714285,0.2631578947368421,0.2654867256637168,56,0.22727272727272727,0.17543859649122806,0.198019801980198,44,0.25,0.17543859649122806,0.20618556701030927,40,0.2647058823529412,0.15789473684210525,0.1978021978021978,34,0.2903225806451613,0.15789473684210525,0.20454545454545456,31,0.5,0.15789473684210525,0.23999999999999996,18,0.6428571428571429,0.15789473684210525,0.25352112676056343,14
MassSpecGymID0076664,48,0.1571141928434372,0.006191311404109001,0.125,0.1875,0.25,0.2708333333333333,0.2916666666666667,0.2916666666666667,0.3333333333333333,0.3541666666666667,0.375,0.4791666666666667,0.5,0.5416666666666666,0.5625,0.12727272727272726,0.2916666666666667,0.1772151898734177,110,0.2,0.25,0.22222222222222224,60,0.23404255319148937,0.22916666666666666,0.23157894736842108,47,0.25,0.22916666666666666,0.2391304347826087,44,0.23809523809523808,0.20833333333333334,0.22222222222222224,42,0.2647058823529412,0.1875,0.21951219512195125,34,0.3,0.1875,0.23076923076923075,30,0.3333333333333333,0.16666666666666666,0.2222222222222222,24,0.3333333333333333,0.14583333333333334,0.2028985507246377,21
