top_n,count,mean,median,min,max
16,200,0.25339029797348944,0.22996794871794873,0.06493506493506493,0.9375
32,200,0.4393641883777496,0.4117948717948718,0.12658227848101267,1.0
48,200,0.5693468626960508,0.5549318364073776,0.18095238095238095,1.0
64,200,0.6458038541129287,0.6734161988773055,0.2,1.0
80,200,0.6859670669067855,0.7413793103448276,0.20952380952380953,1.0
96,200,0.7134325436532141,0.79,0.21904761904761905,1.0
128,200,0.7452217832943377,0.8315602836879432,0.2571428571428571,1.0
160,200,0.7690752421367207,0.851457840819543,0.26666666666666666,1.0
256,200,0.8123507759632665,0.8960863697705803,0.29523809523809524,1.0
384,200,0.8476848377267326,0.9284802043422733,0.4,1.0
512,200,0.8709157564466228,0.93875,0.4380952380952381,1.0
768,200,0.8997377519998214,0.9528824833702882,0.5142857142857142,1.0
1024,200,0.9184775593990538,0.9653524492234169,0.5625,1.0
