bit,threshold
0,0.5
1,0.15000000596046448
2,0.11999999731779099
3,0.07999999821186066
4,0.18700000643730164
5,0.30000001192092896
6,0.10000000149011612
7,0.11999999731779099
8,0.6000000238418579
9,0.10000000149011612
10,0.25
11,0.07999999821186066
12,0.07999999821186066
13,0.3499999940395355
14,0.6000000238418579
15,0.6000000238418579
16,0.11999999731779099
17,0.18700000643730164
18,0.6000000238418579
19,0.019999999552965164
20,0.30000001192092896
21,0.10000000149011612
22,0.25
23,0.5
24,0.18700000643730164
25,0.6000000238418579
26,0.6000000238418579
27,0.25
28,0.11999999731779099
29,0.18700000643730164
30,0.10000000149011612
31,0.6000000238418579
32,0.25
33,0.07999999821186066
34,0.15000000596046448
35,0.4000000059604645
36,0.10000000149011612
37,0.18700000643730164
38,0.6000000238418579
39,0.25
40,0.18700000643730164
41,0.15000000596046448
42,0.4000000059604645
43,0.10000000149011612
44,0.05000000074505806
45,0.25
46,0.07999999821186066
47,0.30000001192092896
48,0.10000000149011612
49,0.25
50,0.18700000643730164
51,0.07999999821186066
52,0.5
53,0.15000000596046448
54,0.18700000643730164
55,0.15000000596046448
56,0.15000000596046448
57,0.30000001192092896
58,0.25
59,0.25
60,0.25
61,0.15000000596046448
62,0.4000000059604645
63,0.15000000596046448
64,0.30000001192092896
65,0.11999999731779099
66,0.4000000059604645
67,0.4000000059604645
68,0.11999999731779099
69,0.18700000643730164
70,0.3499999940395355
71,0.30000001192092896
72,0.25
73,0.15000000596046448
74,0.07999999821186066
75,0.6000000238418579
76,0.6000000238418579
77,0.30000001192092896
78,0.25
79,0.18700000643730164
80,0.4000000059604645
81,0.18700000643730164
82,0.10000000149011612
83,0.6000000238418579
84,0.18700000643730164
85,0.15000000596046448
86,0.4000000059604645
87,0.18700000643730164
88,0.20000000298023224
89,0.10000000149011612
90,0.11999999731779099
91,0.25
92,0.10000000149011612
93,0.5
94,0.3499999940395355
95,0.3499999940395355
96,0.11999999731779099
97,0.20000000298023224
98,0.07999999821186066
99,0.11999999731779099
100,0.18700000643730164
101,0.3499999940395355
102,0.3499999940395355
103,0.07999999821186066
104,0.18700000643730164
105,0.6000000238418579
106,0.18700000643730164
107,0.5
108,0.11999999731779099
109,0.25
110,0.11999999731779099
111,0.05000000074505806
112,0.10000000149011612
113,0.25
114,0.15000000596046448
115,0.25
116,0.20000000298023224
117,0.25
118,0.15000000596046448
119,0.18700000643730164
120,0.11999999731779099
121,0.10000000149011612
122,0.07999999821186066
123,0.18700000643730164
124,0.05000000074505806
125,0.18700000643730164
126,0.20000000298023224
127,0.05000000074505806
128,0.3499999940395355
129,0.07999999821186066
130,0.15000000596046448
131,0.4000000059604645
132,0.019999999552965164
133,0.25
134,0.019999999552965164
135,0.10000000149011612
136,0.15000000596046448
137,0.30000001192092896
138,0.05000000074505806
139,0.11999999731779099
140,0.30000001192092896
141,0.07999999821186066
142,0.18700000643730164
143,0.15000000596046448
144,0.18700000643730164
145,0.25
146,0.30000001192092896
147,0.25
148,0.019999999552965164
149,0.4000000059604645
150,0.15000000596046448
151,0.07999999821186066
152,0.18700000643730164
153,0.18700000643730164
154,0.18700000643730164
155,0.4000000059604645
156,0.5
157,0.20000000298023224
158,0.15000000596046448
159,0.07999999821186066
160,0.07999999821186066
161,0.07999999821186066
162,0.5
163,0.07999999821186066
164,0.10000000149011612
165,0.25
166,0.6000000238418579
167,0.11999999731779099
168,0.15000000596046448
169,0.15000000596046448
170,0.5
171,0.25
172,0.25
173,0.15000000596046448
174,0.4000000059604645
175,0.25
176,0.6000000238418579
177,0.4000000059604645
178,0.25
179,0.25
180,0.18700000643730164
181,0.019999999552965164
182,0.15000000596046448
183,0.18700000643730164
184,0.07999999821186066
185,0.15000000596046448
186,0.18700000643730164
187,0.5
188,0.25
189,0.15000000596046448
190,0.05000000074505806
191,0.20000000298023224
192,0.07999999821186066
193,0.20000000298023224
194,0.25
195,0.11999999731779099
196,0.019999999552965164
197,0.15000000596046448
198,0.30000001192092896
199,0.25
200,0.11999999731779099
201,0.3499999940395355
202,0.4000000059604645
203,0.25
204,0.20000000298023224
205,0.30000001192092896
206,0.10000000149011612
207,0.11999999731779099
208,0.30000001192092896
209,0.019999999552965164
210,0.3499999940395355
211,0.18700000643730164
212,0.10000000149011612
213,0.3499999940395355
214,0.25
215,0.18700000643730164
216,0.30000001192092896
217,0.15000000596046448
218,0.20000000298023224
219,0.30000001192092896
220,0.15000000596046448
221,0.11999999731779099
222,0.20000000298023224
223,0.25
224,0.15000000596046448
225,0.30000001192092896
226,0.07999999821186066
227,0.07999999821186066
228,0.30000001192092896
229,0.25
230,0.11999999731779099
231,0.30000001192092896
232,0.07999999821186066
233,0.019999999552965164
234,0.05000000074505806
235,0.10000000149011612
236,0.019999999552965164
237,0.10000000149011612
