strategy,spec_name,tanimoto,predicted_active_bits,target_active_bits
global_threshold_0.187,MassSpecGymID0001903,0.1805555522441864,47,38
global_threshold_0.187,MassSpecGymID0018837,0.1428571492433548,48,48
global_threshold_0.187,MassSpecGymID0018840,0.13265305757522583,63,48
global_threshold_0.187,MassSpecGymID0027378,0.1962616890668869,63,65
global_threshold_0.187,MassSpecGymID0027960,0.15841583907604218,69,48
global_threshold_0.187,MassSpecGymID0058040,0.18292683362960815,40,57
global_threshold_0.187,MassSpecGymID0058077,0.13414634764194489,81,105
global_threshold_0.187,MassSpecGymID0058081,0.1975308656692505,89,105
global_threshold_0.187,MassSpecGymID0059173,0.13978494703769684,62,44
global_threshold_0.187,MassSpecGymID0061350,0.17045454680919647,46,57
global_threshold_0.187,MassSpecGymID0070209,0.19767442345619202,45,58
global_threshold_0.187,MassSpecGymID0076472,0.10989011079072952,44,57
global_threshold_0.187,MassSpecGymID0076664,0.1358024626970291,44,48
global_threshold_0.187,MassSpecGymID0076673,0.1358024626970291,44,48
global_threshold_0.187,MassSpecGymID0105096,0.1418439745903015,83,78
global_threshold_0.187,MassSpecGymID0134807,0.1860465109348297,74,79
global_threshold_0.187,MassSpecGymID0135253,0.12080536782741547,99,68
global_threshold_0.187,MassSpecGymID0135257,0.131386861205101,87,68
global_threshold_0.187,MassSpecGymID0136309,0.17266187071800232,86,77
global_threshold_0.187,MassSpecGymID0136365,0.1854838728904724,70,77
global_threshold_0.187,MassSpecGymID0146901,0.16339869797229767,91,87
global_threshold_0.187,MassSpecGymID0154352,0.1411764770746231,39,58
global_threshold_0.187,MassSpecGymID0154792,0.15238095819950104,60,61
global_threshold_0.187,MassSpecGymID0162178,0.1428571492433548,39,33
global_threshold_0.187,MassSpecGymID0162215,0.13513512909412384,51,33
global_threshold_0.187,MassSpecGymID0162310,0.1927710771560669,44,55
global_threshold_0.187,MassSpecGymID0162742,0.15217390656471252,54,52
global_threshold_0.187,MassSpecGymID0179016,0.14851485192775726,47,69
global_threshold_0.187,MassSpecGymID0182450,0.1944444477558136,73,56
global_threshold_0.187,MassSpecGymID0185118,0.13970588147640228,88,67
global_threshold_0.187,MassSpecGymID0186133,0.17204301059246063,56,53
global_threshold_0.187,MassSpecGymID0192057,0.15463916957378387,50,62
global_threshold_0.187,MassSpecGymID0196090,0.16393442451953888,37,34
global_threshold_0.187,MassSpecGymID0198021,0.15217390656471252,82,77
global_threshold_0.187,MassSpecGymID0203443,0.1899999976158142,62,57
global_threshold_0.187,MassSpecGymID0203612,0.18666666746139526,40,49
global_threshold_0.187,MassSpecGymID0204199,0.1875,47,48
global_threshold_0.187,MassSpecGymID0206523,0.1780821979045868,40,46
global_threshold_0.187,MassSpecGymID0206904,0.17391304671764374,50,58
global_threshold_0.187,MassSpecGymID0208829,0.1428571492433548,44,52
global_threshold_0.187,MassSpecGymID0209913,0.19672131538391113,34,39
global_threshold_0.187,MassSpecGymID0210193,0.1944444477558136,35,51
global_threshold_0.187,MassSpecGymID0211536,0.17142857611179352,68,55
global_threshold_0.187,MassSpecGymID0212722,0.15942029654979706,31,49
global_threshold_0.187,MassSpecGymID0213408,0.19718310236930847,35,50
global_threshold_0.187,MassSpecGymID0213789,0.1818181872367859,32,46
global_threshold_0.187,MassSpecGymID0214938,0.1846153885126114,30,47
global_threshold_0.187,MassSpecGymID0215323,0.190476194024086,30,45
global_threshold_0.187,MassSpecGymID0224184,0.1340206116437912,54,56
global_threshold_0.187,MassSpecGymID0224933,0.1875,66,67
global_threshold_0.187,MassSpecGymID0032389,0.20000000298023224,39,39
global_threshold_0.187,MassSpecGymID0035475,0.4383561611175537,47,58
global_threshold_0.187,MassSpecGymID0051208,0.4266666769981384,50,57
global_threshold_0.187,MassSpecGymID0051457,0.22077922523021698,37,57
global_threshold_0.187,MassSpecGymID0054352,0.22058823704719543,37,46
global_threshold_0.187,MassSpecGymID0055282,0.2063492089509964,38,38
global_threshold_0.187,MassSpecGymID0070653,0.3478260934352875,41,52
global_threshold_0.187,MassSpecGymID0076053,0.31111112236976624,30,29
global_threshold_0.187,MassSpecGymID0086672,0.2142857164144516,47,38
global_threshold_0.187,MassSpecGymID0126630,0.4653465449810028,78,70
global_threshold_0.187,MassSpecGymID0142449,0.2054794579744339,40,48
global_threshold_0.187,MassSpecGymID0154356,0.4588235318660736,66,58
global_threshold_0.187,MassSpecGymID0157809,0.4285714328289032,52,58
global_threshold_0.187,MassSpecGymID0168902,0.38749998807907104,45,66
global_threshold_0.187,MassSpecGymID0179539,0.4571428596973419,44,58
global_threshold_0.187,MassSpecGymID0180533,0.47826087474823,45,57
global_threshold_0.187,MassSpecGymID0182775,0.2602739632129669,39,53
global_threshold_0.187,MassSpecGymID0185614,0.34328359365463257,48,42
global_threshold_0.187,MassSpecGymID0194710,0.30075186491012573,90,83
global_threshold_0.187,MassSpecGymID0197823,0.2631579041481018,89,79
global_threshold_0.187,MassSpecGymID0197998,0.4390243887901306,57,61
global_threshold_0.187,MassSpecGymID0199840,0.25581395626068115,56,52
global_threshold_0.187,MassSpecGymID0202711,0.4691357910633087,53,66
global_threshold_0.187,MassSpecGymID0202787,0.23664122819900513,74,88
global_threshold_0.187,MassSpecGymID0205123,0.27397260069847107,40,53
global_threshold_0.187,MassSpecGymID0205275,0.3611111044883728,48,50
global_threshold_0.187,MassSpecGymID0207476,0.34285715222358704,45,49
global_threshold_0.187,MassSpecGymID0207974,0.32894736528396606,43,58
global_threshold_0.187,MassSpecGymID0208689,0.2933333218097687,48,49
global_threshold_0.187,MassSpecGymID0209540,0.2933333218097687,48,49
global_threshold_0.187,MassSpecGymID0209809,0.23880596458911896,34,49
global_threshold_0.187,MassSpecGymID0210092,0.26760563254356384,36,54
global_threshold_0.187,MassSpecGymID0210306,0.24242424964904785,31,51
global_threshold_0.187,MassSpecGymID0210496,0.21739129722118378,33,51
global_threshold_0.187,MassSpecGymID0210529,0.2716049253940582,47,56
global_threshold_0.187,MassSpecGymID0210816,0.3181818127632141,35,52
global_threshold_0.187,MassSpecGymID0211212,0.3709677457809448,38,47
global_threshold_0.187,MassSpecGymID0211596,0.23529411852359772,35,49
global_threshold_0.187,MassSpecGymID0212010,0.25925925374031067,43,59
global_threshold_0.187,MassSpecGymID0212443,0.3199999928474426,51,48
global_threshold_0.187,MassSpecGymID0212530,0.4303797483444214,54,59
global_threshold_0.187,MassSpecGymID0213416,0.4126984179019928,42,47
global_threshold_0.187,MassSpecGymID0214882,0.3103448152542114,53,61
global_threshold_0.187,MassSpecGymID0216198,0.48275861144065857,36,50
global_threshold_0.187,MassSpecGymID0219119,0.26829269528388977,54,50
global_threshold_0.187,MassSpecGymID0219478,0.31182795763015747,52,70
global_threshold_0.187,MassSpecGymID0221613,0.2083333283662796,23,35
global_threshold_0.187,MassSpecGymID0222136,0.25925925374031067,49,53
global_threshold_0.187,MassSpecGymID0222364,0.3913043439388275,45,51
global_threshold_0.187,MassSpecGymID0224157,0.38805970549583435,50,43
global_threshold_0.187,MassSpecGymID0014731,0.7636363506317139,50,47
global_threshold_0.187,MassSpecGymID0027372,0.6235294342041016,73,65
global_threshold_0.187,MassSpecGymID0028445,0.7763158082962036,75,60
global_threshold_0.187,MassSpecGymID0030204,0.760869562625885,37,44
global_threshold_0.187,MassSpecGymID0037597,0.6617646813392639,57,56
global_threshold_0.187,MassSpecGymID0040046,0.5054945349693298,62,75
global_threshold_0.187,MassSpecGymID0051503,0.7894737124443054,54,48
global_threshold_0.187,MassSpecGymID0052603,0.738095223903656,68,78
global_threshold_0.187,MassSpecGymID0053008,0.7580645084381104,57,52
global_threshold_0.187,MassSpecGymID0059647,0.7283950448036194,64,76
global_threshold_0.187,MassSpecGymID0064677,0.7543859481811523,57,43
global_threshold_0.187,MassSpecGymID0064693,0.7818182110786438,55,43
global_threshold_0.187,MassSpecGymID0064730,0.7962962985038757,54,43
global_threshold_0.187,MassSpecGymID0076538,0.5316455960273743,64,57
global_threshold_0.187,MassSpecGymID0077268,0.6198347210884094,114,82
global_threshold_0.187,MassSpecGymID0078748,0.7424242496490479,57,58
global_threshold_0.187,MassSpecGymID0078749,0.6911764740943909,57,58
global_threshold_0.187,MassSpecGymID0081356,0.7142857313156128,37,35
global_threshold_0.187,MassSpecGymID0089011,0.7368420958518982,70,62
global_threshold_0.187,MassSpecGymID0089970,0.6842105388641357,50,46
global_threshold_0.187,MassSpecGymID0110700,0.7227723002433777,98,76
global_threshold_0.187,MassSpecGymID0110709,0.6074766516685486,96,76
global_threshold_0.187,MassSpecGymID0114461,0.7333333492279053,78,78
global_threshold_0.187,MassSpecGymID0114470,0.7441860437393188,72,78
global_threshold_0.187,MassSpecGymID0147565,0.6329113841056824,74,55
global_threshold_0.187,MassSpecGymID0148224,0.5151515007019043,104,96
global_threshold_0.187,MassSpecGymID0154000,0.5839999914169312,116,82
global_threshold_0.187,MassSpecGymID0179793,0.6315789222717285,32,30
global_threshold_0.187,MassSpecGymID0186407,0.5760869383811951,68,77
global_threshold_0.187,MassSpecGymID0189671,0.6666666865348816,93,77
global_threshold_0.187,MassSpecGymID0190452,0.6666666865348816,72,73
global_threshold_0.187,MassSpecGymID0190470,0.7032967209815979,79,76
global_threshold_0.187,MassSpecGymID0194051,0.7469879388809204,74,71
global_threshold_0.187,MassSpecGymID0197193,0.5344827771186829,49,40
global_threshold_0.187,MassSpecGymID0204274,0.5081967115402222,45,47
global_threshold_0.187,MassSpecGymID0204467,0.6600000262260437,39,44
global_threshold_0.187,MassSpecGymID0207523,0.6571428775787354,67,49
global_threshold_0.187,MassSpecGymID0208031,0.6774193644523621,25,27
global_threshold_0.187,MassSpecGymID0209122,0.6521739363670349,59,55
global_threshold_0.187,MassSpecGymID0211629,0.6984127163887024,54,53
global_threshold_0.187,MassSpecGymID0212150,0.5901639461517334,48,49
global_threshold_0.187,MassSpecGymID0214730,0.6666666865348816,45,45
global_threshold_0.187,MassSpecGymID0215032,0.7647058963775635,41,49
global_threshold_0.187,MassSpecGymID0215416,0.5714285969734192,41,47
global_threshold_0.187,MassSpecGymID0219479,0.6190476417541504,66,70
global_threshold_0.187,MassSpecGymID0219485,0.6190476417541504,66,70
global_threshold_0.187,MassSpecGymID0220707,0.7755101919174194,44,43
global_threshold_0.187,MassSpecGymID0224158,0.6842105388641357,53,43
global_threshold_0.187,MassSpecGymID0225652,0.6984127163887024,56,51
global_threshold_0.187,MassSpecGymID0225795,0.6111111044883728,56,60
global_threshold_0.187,MassSpecGymID0000204,0.875,40,35
global_threshold_0.187,MassSpecGymID0000215,0.8974359035491943,39,35
global_threshold_0.187,MassSpecGymID0001462,0.9431818127632141,88,83
global_threshold_0.187,MassSpecGymID0005667,1.0,36,36
global_threshold_0.187,MassSpecGymID0012743,0.8488371968269348,83,76
global_threshold_0.187,MassSpecGymID0012984,0.891566276550293,83,74
global_threshold_0.187,MassSpecGymID0014705,0.8392857313156128,56,47
global_threshold_0.187,MassSpecGymID0014786,0.8392857313156128,56,47
global_threshold_0.187,MassSpecGymID0018540,0.9534883499145508,43,41
global_threshold_0.187,MassSpecGymID0030219,0.8222222328186035,38,44
global_threshold_0.187,MassSpecGymID0034827,0.800000011920929,49,50
global_threshold_0.187,MassSpecGymID0034829,0.8363636136054993,51,50
global_threshold_0.187,MassSpecGymID0034856,0.8679245114326477,49,50
global_threshold_0.187,MassSpecGymID0039319,0.9677419066429138,93,90
global_threshold_0.187,MassSpecGymID0039780,0.9080459475517273,85,81
global_threshold_0.187,MassSpecGymID0040626,0.8235294222831726,32,30
global_threshold_0.187,MassSpecGymID0041215,0.9358974099159241,77,74
global_threshold_0.187,MassSpecGymID0050419,0.8965517282485962,29,26
global_threshold_0.187,MassSpecGymID0057096,0.9672130942344666,59,61
global_threshold_0.187,MassSpecGymID0071923,0.8387096524238586,54,60
global_threshold_0.187,MassSpecGymID0071936,0.9607843160629272,50,50
global_threshold_0.187,MassSpecGymID0073160,0.9722222089767456,36,35
global_threshold_0.187,MassSpecGymID0076442,0.9821428656578064,55,56
global_threshold_0.187,MassSpecGymID0079206,0.8947368264198303,54,54
global_threshold_0.187,MassSpecGymID0082615,0.9622641801834106,51,53
global_threshold_0.187,MassSpecGymID0083096,0.875,14,16
global_threshold_0.187,MassSpecGymID0089007,0.8235294222831726,62,62
