strategy,count,mean_tanimoto,median_tanimoto,min_tanimoto,max_tanimoto,mean_predicted_active_bits,median_predicted_active_bits,mean_target_active_bits
raw_threshold_0.187,200,0.5162259753420949,0.4941265732049942,0.10989011079072952,1.0,56.15,53.0,56.675
raw_threshold_0.2,200,0.5198029266670346,0.5003670156002045,0.1149425283074379,1.0,54.275,50.5,56.675
raw_threshold_0.25,200,0.5218228963389993,0.4985930621623993,0.10975609719753265,1.0,49.19,46.5,56.675
raw_threshold_0.3,200,0.5188157907873392,0.49985477328300476,0.1139240488409996,1.0,45.73,44.0,56.675
ridge_alpha_1_threshold_0.187,200,0.19828441683202983,0.17939381301403046,0.07518796622753143,0.6966292262077332,139.025,120.5,56.675
ridge_alpha_1_threshold_0.2,200,0.20778165854513644,0.18968572467565536,0.07751937955617905,0.7209302186965942,127.685,111.0,56.675
ridge_alpha_1_threshold_0.25,200,0.23899464190006256,0.21785058081150055,0.07894736528396606,0.738095223903656,95.125,87.5,56.675
ridge_alpha_1_threshold_0.3,200,0.2637462763115764,0.24230769276618958,0.08490566164255142,0.738095223903656,73.845,67.0,56.675
ridge_alpha_10_threshold_0.187,200,0.19496121753007173,0.18407266587018967,0.07657657563686371,0.5072463750839233,144.495,137.0,56.675
ridge_alpha_10_threshold_0.2,200,0.2090817281976342,0.19877418130636215,0.07619047909975052,0.5384615659713745,130.41,122.0,56.675
ridge_alpha_10_threshold_0.25,200,0.25050154462456703,0.2398347109556198,0.1034482792019844,0.5847457647323608,94.595,87.5,56.675
ridge_alpha_10_threshold_0.3,200,0.2804854319244623,0.2715640515089035,0.10256410390138626,0.582608699798584,73.795,67.0,56.675
ridge_alpha_100_threshold_0.187,200,0.22084685865789652,0.21498599648475647,0.095238097012043,0.5230769515037537,105.505,98.0,56.675
ridge_alpha_100_threshold_0.2,200,0.23332729805260896,0.22689075767993927,0.10071942210197449,0.5483871102333069,94.97,88.0,56.675
ridge_alpha_100_threshold_0.25,200,0.26605530772358177,0.255513533949852,0.10588235408067703,0.6090909242630005,69.38,63.0,56.675
ridge_alpha_100_threshold_0.3,200,0.283008476421237,0.2714758813381195,0.12179487198591232,0.6513761281967163,54.835,50.0,56.675
