spec_name,shard,shard_index,target_inchi_key,target_smiles,exact_match_top1,exact_match_top10,tanimoto_top1,tanimoto_top10,mist_tanimoto,formula_success,total_formula_matched,total_generated,generation_time,outcome_bucket
MassSpecGymID0372970,shard_031,31,UTGUKTQOTCXQJK,CC(C)CC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)OC(=O)OC(C)(C)C)NC(=O)CN,0.0,0.0,0.0617283955216407,0.1199999973177909,0.0816326513886451,False,0,100,24.080617666244507,no_exact_low_tanimoto
MassSpecGymID0388215,shard_034,34,DAXZWJMEKUNRCD,CC1=CC=C(C=C1)OCC2=NN=C(N2C3CCCC3)SC4C(C(C(C(O4)COC(=O)C)OC(=O)C)OC(=O)C)NC(=O)C,0.0,0.0,0.1040000021457672,0.1138211414217948,0.1774193495512008,True,2,100,31.13609766960144,no_exact_low_tanimoto
MassSpecGymID0341761,shard_029,29,XTSVKUJYTUPYRJ,CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,0.0,0.0,0.1120000034570694,0.1209677383303642,0.1544715464115142,True,5,100,31.59606432914734,no_exact_low_tanimoto
MassSpecGymID0347534,shard_029,29,PULWZCUZNRVAHT,CN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)O)OC)OC)O)COC,0.0,0.0,0.1317829489707946,0.1615384668111801,0.1578947305679321,True,2,100,29.661206245422363,no_exact_low_tanimoto
MassSpecGymID0380322,shard_032,32,YIIKPFWLWYKDPH,CC(C(=O)N1CCC2=C(C1)NC3=CC=CC=C23)NC4=CC=C5C(=CC4=O)C(CCC6=CC(=C(C(=C65)OC)OC)OC)NC(=O)C,0.0,0.0,0.2540983557701111,0.264462798833847,0.2727272808551788,True,3,100,29.901846885681152,no_exact_low_tanimoto
MassSpecGymID0208832,shard_014,14,NLJPIBKRLGVNLY,CCOC(=O)C1CCN(CC1)S(=O)(=O)C2=CC3=C(C=C2)OCC4=C3ON=C4,0.0,0.0,0.2325581461191177,0.2325581461191177,0.2359550595283508,True,9,100,15.150022268295288,no_exact_low_tanimoto
MassSpecGymID0383008,shard_033,33,DHCSEHRBYOAURX,CC1=C(C(=O)OC2=C1C=CC(=C2CN3CC4CC(C3)C5=CC=CC(=O)N5C4)O)CC6=CC=CC=C6,0.0,0.0,0.1428571492433548,0.1720430105924606,0.2469135820865631,True,6,100,20.04533100128174,no_exact_low_tanimoto
MassSpecGymID0380040,shard_032,32,CDDYZYIBFIQEGM,CC1=C(SC(=N1)C2=CC=CC=C2)C(=O)NCC3CCCN4C3CCCC4,0.0,0.0,0.1927710771560669,0.1927710771560669,0.2535211145877838,True,7,100,11.330300569534302,no_exact_low_tanimoto
MassSpecGymID0379306,shard_032,32,SJHHSDDZARIHAT,CCOC(=O)N1CCN(CC1)C(=O)CCCNC2=CC=C3C(=CC2=O)C(CCC4=CC(=C(C(=C43)OC)OC)OC)NC(=O)C,0.0,0.0,0.2096774131059646,0.2782608568668365,0.5436893105506897,True,2,100,33.895673751831055,no_exact_low_tanimoto
MassSpecGymID0346101,shard_029,29,FNIRVWPHRMMRQI,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(CO6)O)O)O)C)O)C)O)C,0.0,0.0,0.5784313678741455,0.5784313678741455,0.5566037893295288,True,10,100,36.661258935928345,no_exact_medium_tanimoto
MassSpecGymID0203740,shard_012,12,USEFEKIFGMLTIB,C1=CC(=C(C=C1F)CS(=O)(=O)NC2=CC3=CC=NN3C=C2)F,1.0,1.0,1.0,1.0,0.4677419364452362,True,14,61,6.086519956588745,exact_top1
MassSpecGymID0380514,shard_032,32,ULRPKNXAJVTGHF,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)NC(CCSC)C(=O)N4CCCC4C5=C(C=C(C=C5)OC)OC)OC)OC)OC,0.0,0.0,0.3934426307678222,0.3934426307678222,0.5688073635101318,False,0,100,32.163634300231934,no_exact_low_tanimoto
MassSpecGymID0105109,shard_006,6,XFSBVAOIAHNAPC,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,0.0,0.0,0.3220339119434356,0.3220339119434356,0.6489361524581909,True,1,100,36.23621439933777,no_exact_low_tanimoto
MassSpecGymID0081883,shard_006,6,WXAKEEQOWUHGCI,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,0.0,0.0,0.5632184147834778,0.7837837934494019,0.7283950448036194,True,12,77,18.547449588775635,no_exact_medium_tanimoto
