spec_name,shard,shard_index,target_inchi_key,target_smiles,exact_match_top1,exact_match_top10,tanimoto_top1,tanimoto_top10,mist_tanimoto,formula_success,total_formula_matched,total_generated,generation_time,outcome_bucket
MassSpecGymID0209494,shard_014,14,BLMPITSOBCOFNW,CC1=CC=C(C=C1)S(=O)(=O)N/N=C\2/CC(CC3=C2SC=C3)C(=O)OC,0.0,0.0,0.1647058874368667,0.1647058874368667,0.1818181872367859,True,9,100,12.897132873535156,no_exact_low_tanimoto
MassSpecGymID0272605,shard_026,26,OZJXTWMDBPQRGI,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)OC(=O)CCOC(=O)CC)(C)O)C)C)O)(C)O,0.0,0.0,0.1199999973177909,0.1756756752729416,0.1410256475210189,True,3,100,44.93054795265198,no_exact_low_tanimoto
MassSpecGymID0333346,shard_027,27,FEZDDYPHEHMXLF,CCCCCCCCCCCC(=O)OC12CC(C34C=C(C(C3(C(C(=CC(C1C2(C)C)C4=O)CO)O)O)O)C)C,0.0,0.0,0.1150442510843277,0.1403508782386779,0.1546391695737838,True,10,94,20.600318908691406,no_exact_low_tanimoto
MassSpecGymID0341761,shard_029,29,XTSVKUJYTUPYRJ,CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,0.0,0.0,0.1120000034570694,0.1209677383303642,0.1544715464115142,True,5,100,31.59606432914734,no_exact_low_tanimoto
MassSpecGymID0347487,shard_029,29,PULWZCUZNRVAHT,CN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)O)OC)OC)O)COC,0.0,0.0,0.1461538523435592,0.1692307740449905,0.1678832173347473,True,9,100,30.160314321517944,no_exact_low_tanimoto
MassSpecGymID0347534,shard_029,29,PULWZCUZNRVAHT,CN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)O)OC)OC)O)COC,0.0,0.0,0.1317829489707946,0.1615384668111801,0.1578947305679321,True,2,100,29.661206245422363,no_exact_low_tanimoto
MassSpecGymID0369956,shard_030,30,LBQUZEGPLOWJBH,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC(=O)CCC(=O)NCCC5=CC(=C(C=C5)O)O)C,0.0,0.0,0.1623931676149368,0.2017543911933899,0.1932773143053054,True,6,100,22.02521562576294,no_exact_low_tanimoto
MassSpecGymID0372970,shard_031,31,UTGUKTQOTCXQJK,CC(C)CC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)OC(=O)OC(C)(C)C)NC(=O)CN,0.0,0.0,0.0617283955216407,0.1199999973177909,0.0816326513886451,False,0,100,24.080617666244507,no_exact_low_tanimoto
MassSpecGymID0380263,shard_032,32,ZYBXFVWSQYBVRU,CC(C)(C)OC(=O)NC(CC1=CC=CC=C1)C(=O)NCC2CCC(CC2)C(=O)NC(CC3=CC=CC=C3)C(=O)O,0.0,0.0,0.1415094286203384,0.1851851791143417,0.1452991515398025,True,5,100,28.48854947090149,no_exact_low_tanimoto
MassSpecGymID0388215,shard_034,34,DAXZWJMEKUNRCD,CC1=CC=C(C=C1)OCC2=NN=C(N2C3CCCC3)SC4C(C(C(C(O4)COC(=O)C)OC(=O)C)OC(=O)C)NC(=O)C,0.0,0.0,0.1040000021457672,0.1138211414217948,0.1774193495512008,True,2,100,31.13609766960144,no_exact_low_tanimoto
