target_smiles,target_inchi_key,num_predictions,exact_match_top1,exact_match_top10,tanimoto_top1,tanimoto_top10,tanimoto_mean,spec_name,fingerprint_source,mist_tanimoto,oracle_conditioning_tanimoto,baseline_mist_tanimoto,baseline_exact_match_top1,baseline_exact_match_top10,baseline_tanimoto_top1,baseline_tanimoto_top10,baseline_outcome_bucket,baseline_shard,proposal_smiles,proposal_source,formula_matches_collected,total_generated,total_valid,total_formula_matched,generation_time,wall_time,oracle_top_prediction_smiles
CC(C)CC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)OC(=O)OC(C)(C)C)NC(=O)CN,UTGUKTQOTCXQJK,10,0.0,0.0,0.5421686768531799,0.5421686768531799,0.4084792137145996,MassSpecGymID0372970,oracle_ground_truth,1.0,1.0,0.0816326513886451,0.0,0.0,0.0617283955216407,0.1199999973177909,no_exact_low_tanimoto,shard_031,CC(C)CC(NC(=N)N)C(=O)N1CCCC1C(=O)OONC(CS)C(=O)N1CCCC1C(=O)OC(=O)OC(C)(C)C,oracle_formula,10,127,127,10,68.93226981163025,69.11749696731567,"['CC(C)CC(NC(=N)N)C(=O)N1CCCC1C(=O)OONC(CS)C(=O)N1CCCC1C(=O)OC(=O)OC(C)(C)C', 'CC(C)CC(NC(=N)N)C(=O)N1CCC[C@H]1C(O)=N[C@@H](CS)C(=O)OC(=O)[C@H](C)C(=O)NCOC(=O)OC(C)(C)C', 'CC(C)C[C@H](NC(=N)N)C(=O)N1CCC[C@H]1C(O)=NC[C@@H](CC(=O)OC(=O)OC(C)(C)C)C(=O)OCOC(=N)CS', 'CC(C)C[C@H](NC(=N)N)C(=O)N1CCC[C@@H]1C(=O)OCCCOOC(=O)OC(=O)C(CS)[C@@H]1CCCN1C(=O)CN', 'CC(C)CC(NC(=COCN=O)CC(=O)OC(C)(C)C)C(=O)OC(=O)C(CS)C(=O)N1CCCC1NNC(=O)CN']"
CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,XTSVKUJYTUPYRJ,10,0.0,0.0,0.49514561891555786,0.49514561891555786,0.39131627380847933,MassSpecGymID0341761,oracle_ground_truth,1.0,1.0,0.1544715464115142,0.0,0.0,0.1120000034570694,0.1209677383303642,no_exact_low_tanimoto,shard_029,CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CCC(OC(C)=O)C3C1C(C1(O)CC(OC)C4(OC)C(OC)C14)CC32,oracle_formula,10,271,264,10,181.4526665210724,181.74492073059082,"['CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CCC(OC(C)=O)C3C1C(C1(O)CC(OC)C4(OC)C(OC)C14)CC32', 'CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)C34C5C(OC)CC6C32[C@@]6(O)[C@@H](OC)CC1(O)C(OC)C54', 'CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@@]34[C@@H]5C[C@](O)([C@@H]6C5(O)[C@H](OC)C[C@H]3[C@@]6(O)CCOC)C124', 'CCN1CC23CCC(OC)C4C1C2C1(O)CC2C(O)(C(OC)CC(OC(=O)c5ccccc5NC(C)=O)C2(O)C3OC)C41', 'CCO[C@H]1CC[C@@]2(OC(=O)Oc3ccccc3NC(C)=O)CN(CC)C3C4[C@H](OC)[C@@H]5CC6[C@@]41[C@@H](C[C@H]3OC)[C@]5(O)[C@]62O']"
CN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)O)OC)OC)O)COC,PULWZCUZNRVAHT,10,0.0,0.0,0.5280898809432983,0.5280898809432983,0.4650352209806442,MassSpecGymID0347534,oracle_ground_truth,1.0,1.0,0.1578947305679321,0.0,0.0,0.1317829489707946,0.1615384668111801,no_exact_low_tanimoto,shard_029,COCC12CN(C)C(OC)CC(OC)C34C1C3C1(O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC)C1(O)C4C2OC,oracle_formula,10,171,168,10,124.80387353897095,125.03107357025146,"['COCC12CN(C)C(OC)CC(OC)C34C1C3C1(O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC)C1(O)C4C2OC', 'COC[C@@]12CN(C)[C@H]3[C@H]4[C@H]([C@H](OC)[C@@]3([C@H](O)C[C@@H]1O)[C@@H]2O)[C@]1(O)[C@H]2[C@@H](OC)[C@@]4(C[C@H]2OC)[C@H]1OC(=O)c1ccccc1', 'COC[C@@]12CN(C)[C@@H]3[C@@H]4[C@H](OC)[C@H]5[C@H]6C[C@H](O)[C@H]([C@@H]1OC(=O)c1ccccc1)[C@]4(CO6)[C@@H]([C@H](OC)[C@H]2O)[C@@]3(O)[C@H]5OC', 'COCC12CN(C)C(OC)C34C1C(O)C(O)C(OC(=O)c1ccccc1)C3(OC)C1CC2C(OC)C4C2(O)C(OC)C12', 'COC[C@@]12CN(C)[C@@H](OC)C3[C@@H](OC)[C@]4(O)C(OC(=O)c5ccccc5)[C@]35[C@H]3[C@H](OC)[C@H]([C@@H]15)[C@@](COC)([C@H](O)[C@H]4O)[C@@H]32']"
CC(C(=O)N1CCC2=C(C1)NC3=CC=CC=C23)NC4=CC=C5C(=CC4=O)C(CCC6=CC(=C(C(=C65)OC)OC)OC)NC(=O)C,YIIKPFWLWYKDPH,10,0.0,0.0,0.7444444298744202,0.7444444298744202,0.481129914522171,MassSpecGymID0380322,oracle_ground_truth,1.0,1.0,0.2727272808551788,0.0,0.0,0.2540983557701111,0.264462798833847,no_exact_low_tanimoto,shard_032,COc1cc(-c2ccc3c(cc2=O)[C@@H](NC(C)=O)CC3)c(N[C@@H](C)C(=O)N2CCc3c([nH]c4ccccc34)C2)c(OC)c1OC,oracle_formula,10,306,297,10,186.16164326667786,186.432133436203,"['COc1cc(-c2ccc3c(cc2=O)[C@@H](NC(C)=O)CC3)c(N[C@@H](C)C(=O)N2CCc3c([nH]c4ccccc34)C2)c(OC)c1OC', 'COc1cc2c(c(OC)c1OC)C(NC(C)=O)CCc1cc(N[C@@H](C)C(=O)N3CCc4c([nH]c5cc(=O)cccc45)C3)ccc1-2', 'COc1cc2c(c(=O)c(OC)c1)-c1c(N[C@H](C)C(=O)N3CCc4c([nH]c5ccccc45)C3)cc(OC)c(OC)c1C1N[C@@H]1CC2', 'C=CONC1CCc2cc(OC)c(OC)c(OC)c2CN(C(=O)C(C)Nc2ccc3c(cc2=O)-c2[nH]c4ccccc4c2-3)CC1', 'COc1cc2c(c(OC)c1OC)CN(C(=O)C(C)Nc1ccc3c(cc1=O)[N+](C(C)=O)C3CCc1cc3ccccc3[nH]1)CC2']"
CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)NC(CCSC)C(=O)N4CCCC4C5=C(C=C(C=C5)OC)OC)OC)OC)OC,ULRPKNXAJVTGHF,10,1.0,1.0,1.0,1.0,0.726859200000763,MassSpecGymID0380514,oracle_ground_truth,1.0,1.0,0.5688073635101318,0.0,0.0,0.3934426307678222,0.3934426307678222,no_exact_low_tanimoto,shard_032,COc1ccc([C@@H]2CCCN2C(=O)[C@H](CCSC)Nc2ccc3c(cc2=O)[C@H](NC(C)=O)CCc2cc(OC)c(OC)c(OC)c2-3)c(OC)c1,oracle_formula,10,127,121,10,77.45668148994446,77.64345097541809,"['COc1ccc([C@@H]2CCCN2C(=O)[C@H](CCSC)Nc2ccc3c(cc2=O)[C@H](NC(C)=O)CCc2cc(OC)c(OC)c(OC)c2-3)c(OC)c1', 'COc1ccc([C@H]2CCCN2C(=O)[C@H](CCSC)Nc2ccc3c(cc2=O)[C@H](NC(C)=O)CCc2c(OC)c(OC)cc(OC)c2-3)c(OC)c1', 'COc1ccc(C2CCCN2C(=O)C(CCSC)Nc2cccc(=O)c3c2C(NC(C)=O)CCc2cc(OC)c(OC)c(OC)c2-3)c(OC)c1', 'COc1ccc(C2CCCN2C(=O)C(CCSC)Nc2ccc3c(cc2=O)N[C@H](C(C)=O)CCc2cc(OC)c(OC)c(OC)c2-3)c(OC)c1', 'COc1ccc([C@@H]2CCCN2C(=O)[C@H](CCSC)Nc2ccc3c(cc2=O)[C@@H](C(C)=O)NCCc2c-3cc(OC)c(OC)c2OC)c(OC)c1']"
CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,XFSBVAOIAHNAPC,10,0.0,0.0,0.550000011920929,0.550000011920929,0.4621985375881195,MassSpecGymID0105109,oracle_ground_truth,1.0,1.0,0.6489361524581909,0.0,0.0,0.3220339119434356,0.3220339119434356,no_exact_low_tanimoto,shard_006,CCN1C[C@]2(COC)[C@H](O)C[C@H](OC(C)=O)[C@@]34C1C[C@H]([C@H]([C@@]1(OC)[C@H](O)[C@H]5[C@@H](O)[C@@H]5[C@H]1OC(=O)c1ccccc1)[C@H](OC)[C@H]23)[C@H]4O,oracle_formula,10,383,374,10,353.64786100387573,353.98788833618164,"['CCN1C[C@]2(COC)[C@H](O)C[C@H](OC(C)=O)[C@@]34C1C[C@H]([C@H]([C@@]1(OC)[C@H](O)[C@H]5[C@@H](O)[C@@H]5[C@H]1OC(=O)c1ccccc1)[C@H](OC)[C@H]23)[C@H]4O', 'CCN1C[C@@]2(COC)[C@H]3[C@@H](OC)[C@@H](C)[C@]4(OC(C)=O)C[C@@H]3[C@]3([C@@H]1[C@H](OC(=O)c1ccccc1)[C@H]3[C@@]4(O)CC(=O)OC)[C@@H](OC)[C@H]2O', 'CCN1C[C@]2(COC)[C@H](O)[C@H](OC)[C@@]34[C@H]([C@@H](OC)[C@@H]1O)[C@H](O)[C@@]1(OC(C)=O)C[C@@H]([C@@H](O)[C@H](OC(=O)c5ccccc5)[C@H]23)[C@H]2[C@H]4C[C@@H]21', 'CCN1C[C@]2(COC)[C@H](O)CC3[C@@H]4[C@H]([C@@H]12)[C@H](OC)[C@@]1(OC)C(O)[C@@H]2C[C@H](OC(C)=O)[C@H](OC(=O)c5ccccc5)[C@@H]1[C@@]4(C2O)[C@H]3O', 'CCN1CC2(COC)C(O)CC(OC(C)=O)C34C(CC13O)C1(OC)CC(OC)C(OC(=O)c3ccccc3)C3C(OC)C34C(O)C21']"
CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,WXAKEEQOWUHGCI,10,1.0,1.0,1.0,1.0,0.7241989254951477,MassSpecGymID0081883,oracle_ground_truth,1.0,1.0,0.7283950448036194,0.0,0.0,0.5632184147834778,0.7837837934494019,no_exact_medium_tanimoto,shard_006,CCN1CCC2(CC1)COc1cc3c(cc12)N(C(=O)c1ccc(-c2ccc(-c4nnc(C)o4)cc2C)cc1)CC3,oracle_formula,10,60,55,14,33.689292192459106,33.83576321601868,"['CCN1CCC2(CC1)COc1cc3c(cc12)N(C(=O)c1ccc(-c2ccc(-c4nnc(C)o4)cc2C)cc1)CC3', 'CCN1CCC2(CC1)COc1cc3c(cc12)N(C(=O)c1ccc(-c2ccc(-c4nnc(C)o4)c(C)c2)cc1)CC3', 'CCN1CCC2(CC1)COc1cc(C)c(-c3ccc4c(c3)N(C(=O)c3ccc(-c5nnc(C)o5)cc3)CC4)cc12', 'CCN1CCC2(CC1)COc1cc(C)c(-c3ccc4c(c3)CCN4C(=O)c3ccc(-c4nnc(C)o4)cc3)cc12', 'CCN1CCC2(CC1)COc1cc(-c3ccc4c(c3)CCN4C(=O)c3ccc(-c4nnc(C)o4)cc3)c(C)cc12']"
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,JMBINOWGIHWPJI,10,0.0,0.0,0.9058823585510254,0.9058823585510254,0.6922524988651275,MassSpecGymID0152325,oracle_ground_truth,1.0,1.0,0.761904776096344,0.0,0.0,0.7142857313156128,0.8202247023582458,no_exact_high_tanimoto,shard_008,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3OC[C@](O)(CO)[C@H]3O)[C@H](O)[C@@H](OCCc3ccc(O)c(O)c3)[C@@H]2OC(=O)C=Cc2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,oracle_formula,10,305,301,10,315.87393283843994,316.209853887558,"['C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3OC[C@](O)(CO)[C@H]3O)[C@H](O)[C@@H](OCCc3ccc(O)c(O)c3)[C@@H]2OC(=O)C=Cc2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O', 'C[C@@H]1O[C@@H](OC[C@H]2O[C@H](OC(=O)C=Cc3ccc(O)c(O)c3)[C@@H](OCCc3ccc(O)c(O)c3)[C@@H](O[C@@H]3OC[C@](O)(CO)[C@H]3O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O', 'C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OCCc3ccc(O)c(O)c3)[C@@H](O)[C@@H](O[C@H]3OC[C@](CO)(OC(=O)C=Cc4ccc(O)c(O)c4)[C@@H]3O)[C@H]2O)[C@H](O)[C@H](O)[C@@H]1O', 'CC1O[C@@H](O[C@@H]2C(O)[C@H]([C@@H]3OC[C@@](O)(CO)[C@@H](OC(=O)C=Cc4ccc(O)c(O)c4)[C@H]3O)OC(OCCc3ccc(O)c(O)c3)[C@H]2O)[C@@H](O)C(O)[C@@H]1O', 'CC1OC(OC2C(O)C(OC3OCC(O)(CO)C3O)CC(OC(=O)C=Cc3ccc(O)c(O)c3)C2OOCCc2ccc(O)c(O)c2)C(O)C(O)C1O']"
C[C@H]1CC=C[C@H]2[C@H]3[C@](O3)([C@H]([C@@H]4[C@@]2(C(=O)C=CC(=O)[C@@H](C(=C1)C)O)C(=O)N[C@H]4CC5=CNC6=CC=CC=C65)C)C,OUMWCYMRLMEZJH,10,0.0,0.0,0.46464645862579346,0.46464645862579346,0.36346363723278047,MassSpecGymID0162714,oracle_ground_truth,1.0,1.0,0.8352941274642944,0.0,0.0,0.3888888955116272,0.3888888955116272,no_exact_low_tanimoto,shard_008,C/C1=C\[C@@H](C)C/C=C/[C@H](C2C3O[C@@]32N)[C@H](O)C(=O)/C=C/C=C\[C@H](Cc2c[nH]c3ccccc23)C(=O)C=C[C@@H]1O,oracle_formula,10,91,85,10,53.22357416152954,53.38422393798828,"['C/C1=C\\[C@@H](C)C/C=C/[C@H](C2C3O[C@@]32N)[C@H](O)C(=O)/C=C/C=C\\[C@H](Cc2c[nH]c3ccccc23)C(=O)C=C[C@@H]1O', 'C[C@H]1CC=CC(=O)C(O)[C@@H]2C(=CC1)N[C@@H](Cc1c[nH]c3ccccc13)[C@H](C)C13O[C@H]1C1OC1(C)C1(CC1=O)[C@H]23', 'CC1=CC[C@H](C)[C@@H]2C(=O)N3C(=O)C=CC(=O)/C=C/[C@@H](Cc4c[nH]c5ccccc45)O[C@@]3(C)[C@@H](O)/C=C/C[C@H]2C1', 'CC1=CC2C(C)CC(C)C23COC(Cc2c[nH]c4ccccc24)C24C(=O)C=CC2C3NC42C(O)C2C(=O)C1O', 'CC1=C[C@H](Cc2c[nH]c3ccccc23)[C@H]2[C@@H]3C(=O)C=C/C=C(\\C)[C@@H](O)C[C@@]34C(=O)[C@H](C)[C@@H]4NC(=O)[C@]2(C)[C@@H]1O']"
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]3C=CO[C@H]([C@@H]3[C@@]4([C@H]2O4)CO)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)OC(=O)/C=C/C6=CC=CC=C6)OC(=O)/C=C/C7=CC=CC=C7)O,OQXBCMJIIDQITC,10,0.0,0.0,0.6373626589775085,0.6373626589775085,0.5350452631711959,MassSpecGymID0185133,oracle_ground_truth,1.0,1.0,0.8089887499809265,0.0,0.0,0.5199999809265137,0.5288461446762085,no_exact_medium_tanimoto,shard_009,CC1OC(OC2C3C=COC(OC(=O)C=Cc4ccccc4)C3CC3(OC(=O)C=Cc4ccccc4)OC23)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,oracle_formula,10,344,342,10,365.72336292266846,366.1022355556488,"['CC1OC(OC2C3C=COC(OC(=O)C=Cc4ccccc4)C3CC3(OC(=O)C=Cc4ccccc4)OC23)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O', 'C[C@@H]1O[C@@H](O[C@@H]2[C@@H]3OC=C[C@@H]3[C@@H]3[C@H]2O[C@H](OC(=O)C=Cc2ccccc2)[C@H](O[C@@H]2O[C@@H](CO)[C@H](O)[C@@H]2O)[C@@H]3OC(=O)C=Cc2ccccc2)[C@@H](O)[C@H](O)[C@@H]1O', 'CC1O[C@@H](O[C@H]2C(O)CO[C@@H](OC3C4C=COC(CO)C(O)C4O[C@]4(C(=O)C=Cc5ccccc5)O[C@H]34)[C@@H]2OC(=O)C=Cc2ccccc2)C(O)C(O)[C@@H]1O', 'C[C@@H]1O[C@@H](O[C@@H]2[C@@H]3C=C[C@@H]4[C@H](OC(=O)C=Cc5ccccc5)[C@@H]3O[C@@]2(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@@H]4OC(=O)C=Cc2ccccc2)[C@H](O)[C@H](O)[C@H]1O', 'C[C@@H]1O[C@@H](O[C@H]2[C@H]3[C@@H](OC=C[C@H]3OC(=O)C=Cc3ccccc3)[C@@]3(O)[C@H](O)C(=Cc4ccccc4)[C@H]4O[C@]423)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O']"
