spec_name,shard,shard_index,target_inchi_key,target_smiles,exact_match_top1,exact_match_top10,tanimoto_top1,tanimoto_top10,mist_tanimoto,formula_success,total_formula_matched,total_generated,generation_time,outcome_bucket
MassSpecGymID0372970,shard_031,31,UTGUKTQOTCXQJK,CC(C)CC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)OC(=O)OC(C)(C)C)NC(=O)CN,0.0,0.0,0.0617283955216407,0.1199999973177909,0.0816326513886451,False,0,100,24.080617666244507,no_exact_low_tanimoto
MassSpecGymID0341761,shard_029,29,XTSVKUJYTUPYRJ,CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,0.0,0.0,0.1120000034570694,0.1209677383303642,0.1544715464115142,True,5,100,31.59606432914734,no_exact_low_tanimoto
MassSpecGymID0347534,shard_029,29,PULWZCUZNRVAHT,CN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)O)OC)OC)O)COC,0.0,0.0,0.1317829489707946,0.1615384668111801,0.1578947305679321,True,2,100,29.661206245422363,no_exact_low_tanimoto
MassSpecGymID0380322,shard_032,32,YIIKPFWLWYKDPH,CC(C(=O)N1CCC2=C(C1)NC3=CC=CC=C23)NC4=CC=C5C(=CC4=O)C(CCC6=CC(=C(C(=C65)OC)OC)OC)NC(=O)C,0.0,0.0,0.2540983557701111,0.264462798833847,0.2727272808551788,True,3,100,29.901846885681152,no_exact_low_tanimoto
MassSpecGymID0380514,shard_032,32,ULRPKNXAJVTGHF,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)NC(CCSC)C(=O)N4CCCC4C5=C(C=C(C=C5)OC)OC)OC)OC)OC,0.0,0.0,0.3934426307678222,0.3934426307678222,0.5688073635101318,False,0,100,32.163634300231934,no_exact_low_tanimoto
MassSpecGymID0105109,shard_006,6,XFSBVAOIAHNAPC,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,0.0,0.0,0.3220339119434356,0.3220339119434356,0.6489361524581909,True,1,100,36.23621439933777,no_exact_low_tanimoto
MassSpecGymID0081883,shard_006,6,WXAKEEQOWUHGCI,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,0.0,0.0,0.5632184147834778,0.7837837934494019,0.7283950448036194,True,12,77,18.547449588775635,no_exact_medium_tanimoto
MassSpecGymID0152325,shard_008,8,JMBINOWGIHWPJI,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,0.0,0.0,0.7142857313156128,0.8202247023582458,0.761904776096344,True,6,100,48.02721285820007,no_exact_high_tanimoto
MassSpecGymID0162714,shard_008,8,OUMWCYMRLMEZJH,C[C@H]1CC=C[C@H]2[C@H]3[C@](O3)([C@H]([C@@H]4[C@@]2(C(=O)C=CC(=O)[C@@H](C(=C1)C)O)C(=O)N[C@H]4CC5=CNC6=CC=CC=C65)C)C,0.0,0.0,0.3888888955116272,0.3888888955116272,0.8352941274642944,True,10,60,16.602412939071655,no_exact_low_tanimoto
MassSpecGymID0185133,shard_009,9,OQXBCMJIIDQITC,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]3C=CO[C@H]([C@@H]3[C@@]4([C@H]2O4)CO)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)OC(=O)/C=C/C6=CC=CC=C6)OC(=O)/C=C/C7=CC=CC=C7)O,0.0,0.0,0.5199999809265137,0.5288461446762085,0.8089887499809265,False,0,100,56.707433223724365,no_exact_medium_tanimoto
MassSpecGymID0058062,shard_003,3,ZKWQQXZUCOBISE,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,0.0,0.0,0.8899082541465759,0.900900900363922,0.8166666626930237,True,1,100,63.39370822906494,no_exact_high_tanimoto
