spec_name,baseline_shard,baseline_outcome_bucket,baseline_mist_tanimoto,baseline_exact_match_top1,baseline_exact_match_top10,baseline_tanimoto_top1,baseline_tanimoto_top10,oracle_exact_match_top1,oracle_exact_match_top10,oracle_tanimoto_top1,oracle_tanimoto_top10,formula_matches_collected,total_generated,total_formula_matched,generation_time,target_smiles,proposal_smiles,delta_exact_top1,delta_exact_top10,delta_tanimoto_top10
MassSpecGymID0372970,shard_031,no_exact_low_tanimoto,0.0816326513886451,0.0,0.0,0.0617283955216407,0.1199999973177909,0.0,0.0,0.5421686768531799,0.5421686768531799,10,100,10,52.76318573951721,CC(C)CC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)OC(=O)OC(C)(C)C)NC(=O)CN,CC(C)CC(NC(=N)N)C(=O)N1CCCC1C(=O)OONC(CS)C(=O)N1CCCC1C(=O)OC(=O)OC(C)(C)C,0.0,0.0,0.42216867953538906
MassSpecGymID0388215,shard_034,no_exact_low_tanimoto,0.1774193495512008,0.0,0.0,0.1040000021457672,0.1138211414217948,1.0,1.0,1.0,1.0,10,100,8,32.24813151359558,CC1=CC=C(C=C1)OCC2=NN=C(N2C3CCCC3)SC4C(C(C(C(O4)COC(=O)C)OC(=O)C)OC(=O)C)NC(=O)C,CC(=O)N[C@H]1C(Sc2nnc(COc3ccc(C)cc3)n2C2CCCC2)O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,1.0,1.0,0.8861788585782052
MassSpecGymID0341761,shard_029,no_exact_low_tanimoto,0.1544715464115142,0.0,0.0,0.1120000034570694,0.1209677383303642,0.0,0.0,0.6304348111152649,0.6304348111152649,10,100,2,33.367658376693726,CCN1CC2(CCC(C34C2CC(C31)(C5(CC(C6CC4C5(C6OC)O)OC)O)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34[C@@H]1[C@H](C[C@@H]23)[C@@H]1[C@@H]4C[C@H](OC)[C@@]2(O)[C@H](OC)C[C@@]12O,0.0,0.0,0.5094670727849007
MassSpecGymID0347534,shard_029,no_exact_low_tanimoto,0.1578947305679321,0.0,0.0,0.1317829489707946,0.1615384668111801,0.0,0.0,0.5862069129943848,0.5862069129943848,10,100,8,33.312934160232544,CN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)O)OC)OC)O)COC,COC[C@]12CN(C)C3C([C@H]1[C@H](OC)[C@H](OC)[C@H]2O)[C@@]1(O)C2[C@H](OC)C24C(OC)CC34C(OC(=O)c2ccccc2)[C@H]1O,0.0,0.0,0.42466844618320465
MassSpecGymID0380322,shard_032,no_exact_low_tanimoto,0.2727272808551788,0.0,0.0,0.2540983557701111,0.264462798833847,0.0,0.0,0.8045976758003235,0.8045976758003235,10,100,1,30.083088397979736,CC(C(=O)N1CCC2=C(C1)NC3=CC=CC=C23)NC4=CC=C5C(=CC4=O)C(CCC6=CC(=C(C(=C65)OC)OC)OC)NC(=O)C,COc1cc2c(c(OC)c1OC)-c1ccc(N[C@@H](C)C(=O)N3CCc4[nH]c5ccccc5c4C3)c(=O)cc1[C@@H](NC(C)=O)C2,0.0,0.0,0.5401348769664764
MassSpecGymID0208832,shard_014,no_exact_low_tanimoto,0.2359550595283508,0.0,0.0,0.2325581461191177,0.2325581461191177,1.0,1.0,1.0,1.0,10,100,39,14.476750373840332,CCOC(=O)C1CCN(CC1)S(=O)(=O)C2=CC3=C(C=C2)OCC4=C3ON=C4,CCOC(=O)C1CCN(S(=O)(=O)c2ccc3c(c2)-c2oncc2CO3)CC1,1.0,1.0,0.7674418538808823
MassSpecGymID0383008,shard_033,no_exact_low_tanimoto,0.2469135820865631,0.0,0.0,0.1428571492433548,0.1720430105924606,1.0,1.0,1.0,1.0,10,100,14,18.342485666275024,CC1=C(C(=O)OC2=C1C=CC(=C2CN3CC4CC(C3)C5=CC=CC(=O)N5C4)O)CC6=CC=CC=C6,Cc1c(Cc2ccccc2)c(=O)oc2c(CN3C[C@H]4C[C@@H](C3)c3cccc(=O)n3C4)c(O)ccc12,1.0,1.0,0.8279569894075394
MassSpecGymID0380040,shard_032,no_exact_low_tanimoto,0.2535211145877838,0.0,0.0,0.1927710771560669,0.1927710771560669,1.0,1.0,1.0,1.0,10,100,28,11.582956075668335,CC1=C(SC(=N1)C2=CC=CC=C2)C(=O)NCC3CCCN4C3CCCC4,Cc1nc(-c2ccccc2)sc1C(=O)NC[C@@H]1CCCN2CCCC[C@H]12,1.0,1.0,0.8072289228439331
MassSpecGymID0379306,shard_032,no_exact_low_tanimoto,0.5436893105506897,0.0,0.0,0.2096774131059646,0.2782608568668365,1.0,1.0,1.0,1.0,10,100,7,30.767275094985962,CCOC(=O)N1CCN(CC1)C(=O)CCCNC2=CC=C3C(=CC2=O)C(CCC4=CC(=C(C(=C43)OC)OC)OC)NC(=O)C,CCOC(=O)N1CCN(C(=O)CCCNc2ccc3c(cc2=O)[C@H](NC(C)=O)CCc2cc(OC)c(OC)c(OC)c2-3)CC1,1.0,1.0,0.7217391431331635
MassSpecGymID0346101,shard_029,no_exact_medium_tanimoto,0.5566037893295288,0.0,0.0,0.5784313678741455,0.5784313678741455,1.0,1.0,1.0,1.0,10,96,12,34.238956928253174,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(CO6)O)O)O)C)O)C)O)C,CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@H]1[C@@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O[C@@H]3OC[C@H](O)[C@H](O)[C@H]3O)C[C@]12C,1.0,1.0,0.4215686321258545
