area,artifact_id,local_path,package_link,remote_path,key_files,status,result,notes
Full benchmark,E28_msg_base_full_ngboost_aggregate,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_experiments_20260618/E28_msg_base_full_ngboost_aggregate,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_project_report_20260622/artifacts/E28_msg_base_full_ngboost_aggregate,,aggregate_statistics.json,available,"17082 observed spectra; Exact Top-1 10.97%; Exact Top-10 12.39%; Tanimoto Top-10 0.4842; MIST Tanimoto 0.5407","Below paper target and later QA found missing manifest rows."
Reproduction QA,QA_sources_and_interactive_report,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_spectrum_base_final_20260621,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_project_report_20260622/artifacts/spectrum_base_final_20260621,,reproduction_qa_sources/qa_summary.json; eda_chemical_full/frigid_chemical_eda_report.html,available,"Manifest expects 17556; aggregate has 17082; 474 missing; 252 broken symlinks; pred_smiles_1 matches proposal_smiles in 57.40%","The run should not be treated as final clean paper reproduction yet."
ICEBERG,E37_iceberg_scaling_msg_50_r2_cpuiceberg_cefix,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_experiments_20260618/E37_iceberg_scaling_msg_50_r2_cpuiceberg_cefix,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_project_report_20260622/artifacts/E37_iceberg_scaling_msg_50_r2_cpuiceberg_cefix,/home/nikolenko/work/Projects/FRIGID/repro_runs/20260622T_iceberg_scaling_msg_50_r2_cpuiceberg_cefix,results/aggregate_statistics.json; run logs,available,"CE-key warnings dropped from 200 to 0; Exact Top-1/Top-10 stayed 16%; Tanimoto Top-10 0.4866","The bug fix was real but did not improve exact quality on the bounded 50-spectrum run."
ICEBERG,E38_a37_ranking_refinement_analysis,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_experiments_20260618/E38_a37_ranking_refinement_analysis,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_project_report_20260622/artifacts/E38_a37_ranking_refinement_analysis,/home/nikolenko/work/Projects/FRIGID/repro_runs/20260622T_a37_ranking_refinement_analysis,summary.json; per_case.csv,available,"A37 oracle-best Tanimoto improved only 0.4819 to 0.4977; new exact target added in 1/50 cases","Round 2 changes candidate lists but mostly adds modest-quality candidates."
MIST,E39_mist_rank_balanced_200,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_experiments_20260618/E39_mist_rank_balanced_200,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_project_report_20260622/artifacts/E39_mist_rank_balanced_200,/home/nikolenko/work/Projects/FRIGID/repro_runs/20260622T_a39b_mist_rank_balanced_200,rank_diagnostics.json; topn_recall.csv; threshold_precision_recall.csv,available,"Top-64 recall 0.6458; top-256 0.8124; top-768 0.8997; thresholds 0.187/0.20/0.25 nearly tied","Current MIST is not tight enough for small top-N conditioning."
MIST,E40_mist_per_bit_calibration_balanced_200,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_experiments_20260618/E40_mist_per_bit_calibration_balanced_200,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_project_report_20260622/artifacts/E40_mist_per_bit_calibration_balanced_200,/home/nikolenko/work/Projects/FRIGID/repro_runs/20260622T_a40_mist_per_bit_calibration_balanced_200,calibration_summary.json; strategy_summary.csv; per_bit_thresholds.csv,available,"Global threshold 0.25 mean Tanimoto 0.5218; per-bit F1 thresholds 0.4992","Independent hard per-bit thresholds are worse than simple global thresholds."
MIST,E41_mist_ridge_adapter_balanced_200,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_experiments_20260618/E41_mist_ridge_adapter_balanced_200,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_project_report_20260622/artifacts/E41_mist_ridge_adapter_balanced_200,/home/nikolenko/work/Projects/FRIGID/repro_runs/20260622T_a41_mist_ridge_adapter_balanced_200,ridge_adapter_summary.json; strategy_summary.csv; adapted_probs_alpha_*.npy,available,"Raw threshold 0.25 mean Tanimoto 0.5218; best ridge alpha100 threshold0.30 0.2830","Naive full 4096-to-4096 squared-error ridge adapter severely degrades fingerprint quality."
Oracle fingerprint,oracle_run_20,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_oracle_fingerprint_ablation_20260622/oracle_run_20,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_project_report_20260622/artifacts/oracle_fingerprint_ablation_20260622/oracle_run_20,/home/nikolenko/work/Projects/FRIGID/repro_runs/oracle_fingerprint_ablation_20260622/oracle_run_20,oracle_aggregate_statistics.json; comparison_vs_baseline.csv,available,"Baseline Exact Top-10 15%; oracle fingerprint Exact Top-10 45%; Tanimoto Top-10 0.8471","Strong evidence that MIST/spectrum-to-fingerprint conditioning is a major bottleneck."
Oracle fingerprint,oracle_miss11_max500,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_oracle_fingerprint_ablation_20260622/oracle_miss11_max500,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_project_report_20260622/artifacts/oracle_fingerprint_ablation_20260622/oracle_miss11_max500,/home/nikolenko/work/Projects/FRIGID/repro_runs/oracle_fingerprint_ablation_20260622/oracle_miss11_max500,oracle_aggregate_statistics.json; oracle_predictions.csv,available,"3/11 hard oracle-miss cases recovered exact with max_attempts 500; Exact Top-10 27.27%","Sampling/coverage is a secondary bottleneck for some cases."
Oracle fingerprint,oracle_miss8_f100_a1000,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_oracle_fingerprint_ablation_20260622/oracle_miss8_f100_a1000,/Users/nikolenko/.codex/worktrees/2838/FRIGID/docs/FRIGID_project/FRIGID_project_report_20260622/artifacts/oracle_fingerprint_ablation_20260622/oracle_miss8_f100_a1000,/home/nikolenko/work/Projects/FRIGID/repro_runs/oracle_fingerprint_ablation_20260622/oracle_miss8_f100_a1000,oracle_aggregate_statistics.json; oracle_predictions.csv,available,"0/8 exact even in Top-100; Tanimoto Top-100 mean 0.7123","For the hardest subset the target connectivity is not produced even with oracle fingerprint and deeper candidate lists."
