shard,spectra,unique_targets,exact_top1,exact_top10,tanimoto_top10,mist_tanimoto,formula_success,bad_low_tanimoto_share,near_miss_high_tanimoto_share,mol_wt_median,heavy_atoms_median,ring_count_median,max_ring_size_median,amide_count_median,ester_count_median,chiral_centers_median,rotatable_bonds_median,shard_index
shard_000,500,22,0.13,0.146,0.6233426642715931,0.7852813463211059,0.854,0.296,0.154,733.9370000000002,51.0,3.0,6.0,0.0,0.0,6.0,7.0,0
shard_001,500,15,0.278,0.29,0.5990409024059773,0.6064585865736007,0.992,0.392,0.04,440.46300000000014,33.0,3.0,6.0,0.0,0.0,0.0,7.0,1
shard_002,436,11,0.22706422018348624,0.2706422018348624,0.7205604965191915,0.7639015458455873,0.8577981651376146,0.15825688073394495,0.1559633027522936,428.5400000000001,32.0,3.0,6.0,0.0,0.0,1.0,7.0,2
shard_003,500,25,0.174,0.226,0.6231895250976086,0.620771469026804,0.944,0.354,0.17,460.43900000000014,32.0,3.0,6.0,0.0,0.0,1.0,8.0,3
shard_004,500,32,0.218,0.224,0.6124672178179026,0.654939402461052,0.966,0.382,0.084,458.37500000000017,33.0,3.0,6.0,0.0,0.0,1.0,7.0,4
shard_005,471,38,0.19745222929936307,0.21443736730360935,0.5065131361127659,0.5546709042034584,0.9384288747346072,0.5690021231422505,0.010615711252653927,428.43400000000025,30.0,3.0,6.0,1.0,0.0,2.0,6.0,5
shard_006,500,47,0.216,0.234,0.5652743960171938,0.6604584341943264,0.966,0.438,0.032,432.5420000000002,30.0,3.0,6.0,0.0,0.0,1.0,7.0,6
shard_007,500,39,0.022,0.028,0.4831765892356634,0.5929428201019764,0.806,0.492,0.012,615.7200000000001,44.0,6.0,6.0,0.0,1.0,14.0,8.0,7
shard_008,500,67,0.046,0.048,0.4071942414343357,0.48097437566518786,0.878,0.636,0.04,518.5620000000004,38.0,4.0,6.0,0.0,1.0,7.0,9.0,8
shard_009,490,146,0.07346938775510205,0.09591836734693877,0.4482150495736575,0.4862402945680886,0.9428571428571428,0.6265306122448979,0.03877551020408163,460.43900000000014,33.0,4.0,6.0,0.0,0.0,5.0,5.0,9
shard_010,500,139,0.018,0.02,0.38366851764917376,0.4660364894270897,0.83,0.756,0.022,590.7980000000005,42.0,4.0,6.0,0.0,1.0,8.0,8.0,10
shard_011,500,147,0.13,0.15,0.5015961148738861,0.5419001128226518,0.928,0.558,0.098,520.5965000000003,37.0,4.0,6.0,0.0,1.0,5.0,7.0,11
shard_012,491,169,0.06517311608961303,0.07942973523421588,0.37514532630591674,0.3982988062434187,0.9938900203665988,0.7841140529531568,0.010183299389002037,387.4610000000001,27.0,4.0,6.0,1.0,0.0,0.0,5.0,12
shard_013,476,164,0.06512605042016807,0.08823529411764706,0.3720200422900815,0.39930965352271286,0.9978991596638656,0.7563025210084033,0.01050420168067227,371.48450000000014,26.0,4.0,6.0,1.0,0.0,0.0,5.0,13
shard_014,483,165,0.049689440993788817,0.062111801242236024,0.3583445250679494,0.39573140684553804,0.9917184265010351,0.7908902691511387,0.016563146997929608,381.4790000000002,27.0,4.0,6.0,1.0,0.0,0.0,5.0,14
shard_015,478,164,0.056485355648535567,0.07740585774058577,0.34965781847241034,0.38146309931782,0.9874476987447699,0.7907949790794979,0.006276150627615063,379.5040000000002,27.0,3.0,6.0,1.0,0.0,0.0,5.0,15
shard_016,445,152,0.056179775280898875,0.060674157303370786,0.3489147160495265,0.39342850111843497,0.9977528089887641,0.7955056179775281,0.011235955056179775,363.44300000000004,26.0,3.0,6.0,1.0,0.0,0.0,5.0,16
