example_type,shard,spec_name,chem_class,cluster,exact_match_top10,tanimoto_top10,mist_tanimoto,formula_success,mol_wt,heavy_atoms,ring_count,max_ring_size,amide_count,ester_count,chiral_centers,target_smiles,proposal_smiles,top_prediction_smiles
worst_shard_low_tanimoto,shard_034,MassSpecGymID0397891,polycyclic_aliphatic_like,1,0.0,0.0561797767877578,0.0454545468091964,True,415.6660000000002,30,4,6,0,0,8,C[C@]12CC[C@H]3[C@]([C@@H]1CC[C@@]4([C@@H]2CCC(=C)[C@H]4CN=C(N)N)C)([C@H](CCC3(C)C)O)C,CCCCCC=CCC=CCCCCCCCCCCC(=O)NCCc1ncc[nH]1,"['CCCCCC=CCC=CCCCCCCCCCCC(=O)NCCc1ncc[nH]1', 'CCCCCCCCC=CCC=CCCCCCCCC(=O)NCCc1ncc[nH]1', 'CCCCCCC=CCC=CCCCCCCCCCC(=O)NCCc1ncc[nH]1', 'CCCCCCCCC=CCC=CCCCCCCC(=O)NCCc1ncc[nH]1', 'CCCCCC=CCC=CCCCCCCCCCC(=O)NCCc1ncc[nH]1']"
worst_shard_low_tanimoto,shard_034,MassSpecGymID0397361,small_heteroaromatic,2,0.0,0.0641025677323341,0.0704225376248359,True,342.33500000000004,21,1,5,0,0,0,C#CCCCCCC1=NC(=CS1)CC/C(=C\Cl)/C/C=C/Cl,Cc1sc2cc(Cl)cc(Cl)c2c1C1(C)CCCC(N)CC1,"['Cc1sc2cc(Cl)cc(Cl)c2c1C1(C)CCCC(N)CC1', 'CC(C=N)C12CCC(c3ccc(Cl)cc3Cl)(CCS1)CC2', 'CCC1=C(C(C)C)N2SC(C)(c3ccc(Cl)cc3Cl)C12C', 'CC1=CCC(Cl)(C(C)C2(C)CCc3cc(Cl)ccc3S2)N1', 'CC(c1cc2cc(Cl)c(Cl)cc2s1)C1CCC(C)(N)CC1']"
worst_shard_low_tanimoto,shard_032,MassSpecGymID0379823,other_midsize,3,0.0,0.0729166641831398,0.1279069781303405,True,925.22,68,6,6,0,0,0,CC1=CC2=C(C(=CNC3=CC(=C(C(=C3)C(C)(C)C)O)C(C)(C)C)C(=O)C(=C2C(C)C)O)C(=C1C4=C(C5=C(C=C4C)C(=C(C(=O)C5=CNC6=CC(=C(C(=C6)C(C)(C)C)O)C(C)(C)C)O)C(C)C)O)O,CCCCCCCCOc1ccc(C(=O)Oc2ccc(C(=O)O)cc2)cc1,"['CCCCCCCCOc1ccc(C(=O)Oc2ccc(C(=O)O)cc2)cc1', 'CCCCCCCCCCOc1ccc(C(=O)Oc2ccc(C(=O)O)cc2)cc1', 'CCCCCCCCCCCOc1ccc(C(=O)Oc2ccc(C(=O)O)cc2)cc1', 'CCCCCCCCCOc1ccc(C(=O)Oc2ccc(C(=O)O)cc2)cc1', 'CCCCCCCCCCCCOc1ccc(C(=O)Oc2ccc(C(=O)O)cc2)cc1']"
worst_shard_low_tanimoto,shard_032,MassSpecGymID0379825,other_midsize,3,0.0,0.0775862038135528,0.1204819306731224,True,925.22,68,6,6,0,0,0,CC1=CC2=C(C(=CNC3=CC(=C(C(=C3)C(C)(C)C)O)C(C)(C)C)C(=O)C(=C2C(C)C)O)C(=C1C4=C(C5=C(C=C4C)C(=C(C(=O)C5=CNC6=CC(=C(C(=C6)C(C)(C)C)O)C(C)(C)C)O)C(C)C)O)O,CCCCCCCCOc1ccc(OCCCCCC)cc1OCc1ccccc1,"['CCCCCCCCOc1ccc(OCCCCCC)cc1OCc1ccccc1', 'CCCCCCCOc1ccc(OCc2ccccc2)cc1', 'CCCCCCCCOc1ccc(OCc2ccccc2)cc1', 'CCCCCCCCCCOc1ccc(OCc2ccccc2)cc1OCCCCCCCCCC', 'CCCCCCCCCCOc1cc(O)c(OC/C=N/CCOc2ccccc2)cc1OCc1ccccc1']"
worst_shard_low_tanimoto,shard_033,MassSpecGymID0385301,other_midsize,8,0.0,0.0916030555963516,0.1044776141643524,True,825.0699999999997,58,8,6,0,0,4,COC1=C(C=C(C=C1)C(C2=C(N(C(=S)NC2=O)CCC3=CCCCC3)O)C4=C(N(C(=S)NC4=O)CCC5=CCCCC5)[O-])C[NH+]6CC7CC(C6)C8=CC=CC(=O)N8C7,CCCCCCN(CC)CCN/C=C1/C(=O)c2ccc(-c3nc4ccccc4s3)cc2C1=O,"['CCCCCCN(CC)CCN/C=C1/C(=O)c2ccc(-c3nc4ccccc4s3)cc2C1=O', 'CCN(CC)CCCN1/C(=C\\NCCN(CC)CC)CCC(=O)c2ccc(-c3ccc4sc(-c5ccc6c(c5)C(=O)C(C/C=N/OS(C)(=O)=O)C6=O)nc4c3)cc21', 'CCCCCCNC=C1C(=O)C(=O)c2ccc(-c3nc4cc(-c5ccc6c(c5)C(=O)C(=NN(CCN(CC)CC)C(=O)OCN(CC)CC)S6)ccc4s3)cc2C1=O', 'CCN(CC)CCCc1cnc(-c2ccc3c(c2)C(=O)c2sc(C(=O)NOC(=O)N(CC)CC)cc2-3)s1', 'CCCCCCCN(CC)CCN=c1c(=O)c2ccc(-c3ccc4c(c3)C(=CS(C)(=O)=O)C4=O)cc2c1=O']"
worst_shard_low_tanimoto,shard_034,MassSpecGymID0396130,lipid_like_flexible,3,0.0,0.0930232554674148,0.1692307740449905,True,401.5910000000002,29,0,0,1,0,3,C[C@@H](CO)NC(=O)/C(=C/C=C/C=C\C=C\C(=C\[C@@H](C)[C@H](/C(=C/C(C)C)/C)O)\C)/C,CC1=CN(C(C)C)[C@@]2(CCC[C@@]3(C=O)CC[C@@H]3C)C(=O)[C@@H](C)CC[C@@]3(C)CO[C@]132,"['CC1=CN(C(C)C)[C@@]2(CCC[C@@]3(C=O)CC[C@@H]3C)C(=O)[C@@H](C)CC[C@@]3(C)CO[C@]132', 'CC(=C[C@]1(C)OC(=O)CC[C@@H]1C)N[C@@H]1C[C@@H]2CC[C@]3(CCCC(O)=C3C[C@H]2C)C1', 'CNCC1(C(C)=O)CCC23CCCC2(CCCCC2(C)CC(=CC(=O)O1)C2)CC3', 'CC(C)CNC(C[C@H](C)C=C1C[C@@H](C)C(=O)[C@H](C)C1=O)=C1CC[C@H](C)[C@@H](C)C1=O', 'C=C1CC(N(CC2(C)C(=O)CCCCC2C)C2(C)C=C(O)CC2=C)CCC(C)O1']"
worst_shard_low_tanimoto,shard_034,MassSpecGymID0398216,small_heteroaromatic,8,0.0,0.0941176488995552,0.2000000029802322,True,301.39400000000006,22,2,6,0,0,0,CCCCCN=C(N)NN=CC1=CNC2=C1C=C(C=C2)OC,CC(C)c1cccnc1N1CCN(Cc2cc(=O)[nH][nH]2)CC1,"['CC(C)c1cccnc1N1CCN(Cc2cc(=O)[nH][nH]2)CC1', 'CC(C)c1cnc(N2CCN(Cc3cc(=O)cc[nH]3)CC2)[nH]1', 'CC(C)c1ccc(N2CCN(Cc3n[nH]c(=O)[nH]3)CC2)cc1', 'CCc1ccc(N2CCN(Cc3nc(=O)cc(C)[nH]3)CC2)[nH]1', 'CC(C)N1C(=O)c2cc(N3CCN(CN4CC4)CC3)cnc21']"
worst_shard_low_tanimoto,shard_034,MassSpecGymID0396615,glycoside_or_sugar_rich,5,0.0,0.0948275849223136,0.0909090936183929,True,798.9320000000005,56,2,6,5,0,5,C1=CC=C(C=C1)CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)OC2C(C(C(OC2O)CO)O)O)O)O,CC(=O)NC1CCCCOC(=O)C2CCC(C)C2N(O)CCCC(N)C(=O)C(N)CCCC(N)C(=O)OCCC(C)=CC(=O)C=C1O,"['CC(=O)NC1CCCCOC(=O)C2CCC(C)C2N(O)CCCC(N)C(=O)C(N)CCCC(N)C(=O)OCCC(C)=CC(=O)C=C1O', 'CC(=O)N[C@@H]1CCC(N)C(=O)OCC/C(N)=C/C(=O)C/C(C)=C/C=C(C)CCN(O)CCOC1=O', 'CC(=O)N[C@H]1CCCN([NH3+])C(=O)C/C(C)=C/COC(=O)CCCN(O)C(=O)[C@@H](N)CCOC1=O', 'CC(=O)N[C@H]1CCCC(C)=CC(=O)N(O)C1=O', 'CC(=O)NC1CCC(N)C(=O)OCCOC(=O)CCC[C@@H]1NC(C)=O']"
worst_shard_low_tanimoto,shard_033,MassSpecGymID0383397,other_macrocycle,8,0.0,0.0957446843385696,0.107526883482933,True,899.0499999999997,62,7,18,0,0,2,CC1C2=CC(=C(C=C2CCN1S(=O)(=O)C3=CC4=C(C=C3)OCCOCCOC5=C(C=C(C=C5)S(=O)(=O)N6CCC7=CC(=C(C=C7C6C)OC)OC)OCCOCCO4)OC)OC,Cc1cc(O)c2c(C(C)C)c(/C=N/CCS(=O)(=O)O)c(O)c(C(C)C)c2c1,"['Cc1cc(O)c2c(C(C)C)c(/C=N/CCS(=O)(=O)O)c(O)c(C(C)C)c2c1', 'Cc1c(SO)c(O)c2c(O)c(/C=N/CCCS(=O)(=O)O)c(C(C)C)cc2c1C(C)C', 'Cc1cc(C)c(C(C)C)c2c(/C=N/CCCS(=O)(=O)O)c(O)c(C(C)C)c-2c1', 'Cc1cc2c(/C=N/O)c(O)c([OH2+])c(C(C)C)c2cc1-c1c(C)cc2c([OH2+])c(O)c(O)c(O)c(C=NCCCCS(=O)(=O)O)c1-2', 'Cc1cc2c(C(C)C)c(C=NCCS(=O)(=O)O)c(O)c(C(=O)O)c2c(O)c1N=Cc1c(C)c(C(C)C)c(O)c(-c2c(C(=O)O)c(C)cc3c(C(C)C)c(C)ccc23)c1O']"
worst_shard_low_tanimoto,shard_034,MassSpecGymID0387240,aromatic_rich_polycycle,9,0.0,0.0965517237782478,0.13934426009655,True,648.8070000000001,45,5,7,2,0,2,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)NC(CCSC)C(=O)NC4=NC5=CC=CC=C5S4)OC)OC)OC,O=Nc1c2ccccc2cc2cc(S(=O)(=O)N3CCCC3)ccc12,"['O=Nc1c2ccccc2cc2cc(S(=O)(=O)N3CCCC3)ccc12', 'CCC(=O)N1CCN(S(=O)(=O)c2ccc3cc(O)c(N)c(N=O)c3c2)CCCOC1', 'CCCc1ccc2c(N=O)c(N=O)c3cc(N4CCN(S(=O)(=O)c5ccc6ccccc6c5)CC4)sc3c2c1', 'O=S(=O)(c1ccc2cc(CCCO)ccc2c1)N1CCCC1', 'O=Nc1ccc2cc(S(=O)(=O)N3CCN(CCC[N-]CC4CO4)CC3)ccc2c1NC(=O)[OH+]Cc1cc2cccccc-2c1']"
