target_inchi_key,spectra,exact_top1,exact_top10,tanimoto_top10,mist_tanimoto,formula_success,bad_low_tanimoto_share,first_smiles,chem_class,cluster,tsne_x,tsne_y,pca_x,pca_y,mol_wt,exact_mol_wt,heavy_atoms,hetero_atoms,hetero_ratio,n_count,o_count,s_count,p_count,halogen_count,ring_count,aromatic_ring_count,aliphatic_ring_count,max_ring_size,macrocycle_count,rotatable_bonds,hba,hbd,tpsa,logp,fraction_csp3,chiral_centers,amide_count,ester_count,carboxyl_count,ether_count,hydroxyl_count,sulfonamide_count,phosphate_count,bertz_complexity,scaffold_heavy_atoms,scaffold_ring_count
AAEAWLCVAIUTBJ,3,0.0,0.0,0.24798867354790366,0.29792753358681995,1.0,1.0,CCC1=C(C(=C(N=C1C)SCCOC2=CC=CC=C2)C#N)C,small_heteroaromatic,11,-3.0092075,-21.47711,0.60911995,-0.32754016,312.438,312.12963426000005,22,4,0.18181818181818182,2,1,1,0,0,2,2,0,6,0,6,4,0,45.91,4.303620000000003,0.3333333333333333,0,0,0,0,1,0,0,0,677.7218909847894,16,2
AAHDJEGSJGYRGS,4,0.0,0.0,0.20867149531841275,0.25084151327610016,1.0,1.0,C1C=CNC[C@@H]([C@H]1C2(CC(=O)/C(=C(/C3=C(C=CC=C3O)C(=O)O)\O)/C(=C2)O)C(=O)O)NC(=O)C4=CC=C(C=C4)O,other_midsize,11,-23.267002,20.710548,-0.34583902,0.8088735,550.5200000000003,550.158745032,40,12,0.3,2,10,0,0,0,4,2,2,7,0,6,9,8,213.72,2.4726000000000004,0.21428571428571427,3,1,0,2,0,6,0,0,1474.4078389082308,30,4
AAHNBILIYONQLX,3,0.0,0.0,0.5144589593013128,0.6249748766422272,1.0,0.3333333333333333,CC1=CN(C=N1)C2=C(C=C(C=C2)C3=CN(N=N3)C4CCC5=C(C=CC=C5F)N(C4=O)CC(F)(F)F)OC,aromatic_rich_polycycle,8,15.194369,-35.60762,1.0543295,-0.7801151,514.4830000000002,514.1740368239999,37,12,0.32432432432432434,6,2,0,0,4,5,4,1,7,0,5,5,0,78.07000000000001,4.669720000000004,0.28,1,1,0,0,1,0,0,0,1461.6356464842816,28,5
ABSGSRABKMESPA,4,0.5,0.75,0.8984375,0.6655599996447563,1.0,0.0,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)NC3=NC4=CC=CC=C4S3,aromatic_rich_polycycle,0,1.433505,-1.7711002,1.1921659,0.63215405,370.39400000000006,370.08480930800005,26,10,0.38461538461538464,6,3,1,0,0,4,4,0,6,0,3,6,1,103.81,0.6820999999999995,0.1875,0,1,0,0,0,0,0,0,1245.851076763031,24,4
ABYOVIVWKRGMMX,3,0.0,0.0,0.6963853041330973,0.725547730922699,1.0,0.0,CC1=CC=CC=C1C2=NOC(=N2)C3=C(C=CS3)S(=O)(=O)N(C)C4=CC5=C(C=C4)OCCO5,aromatic_rich_polycycle,2,-7.9525065,40.215202,0.87338006,-0.024755474,469.5440000000003,469.07661270799997,32,10,0.3125,3,5,2,0,0,5,4,1,6,0,5,8,0,94.76,4.369820000000003,0.18181818181818182,0,0,0,0,2,0,1,0,1394.0794581205384,30,5
ACCFLVVUVBJNGT,3,0.3333333333333333,0.3333333333333333,0.4443344871203105,0.3862873464822769,1.0,0.6666666666666666,C[C@@H](CN1C2=C3C=C(C=CC3=NC=C2N(C1=O)C)C4=CC(=CN=C4)C(C)(C)O)OC,aromatic_rich_polycycle,0,47.5344,16.919287,0.7096524,-0.8769055,406.4860000000001,406.20049069199996,30,7,0.23333333333333334,4,3,0,0,0,4,4,0,6,0,5,5,1,82.17,3.212500000000002,0.34782608695652173,1,0,0,0,1,1,0,0,1297.77681525326,20,4
ACGPSJNQVVFEGB,2,0.0,0.0,0.3117647171020508,0.3165693283081054,1.0,1.0,CC1=C(C=C2C(=N1)OC(=N2)C3=CC=CC=C3)NC(=O)C4=COC=C4,aromatic_rich_polycycle,11,-4.2244406,26.221552,1.1946568,0.22672503,319.32000000000005,319.09569127599997,24,6,0.25,3,3,0,0,0,4,4,0,6,0,3,5,1,81.16000000000001,4.043520000000002,0.05555555555555555,0,1,0,0,0,0,0,0,1004.8645501077189,23,4
ACRHBAYQBXXRTO,7,0.0,0.0,0.4623193315097264,0.6224709280899593,1.0,0.5714285714285714,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)CC3CC4=CC(=C(C=C34)OC)OC,polycyclic_aliphatic_like,8,7.963705,-38.46173,-0.39275905,-0.7508326,468.59400000000034,468.26242225199996,34,7,0.20588235294117646,2,5,0,0,0,4,2,2,7,0,10,6,0,60.47000000000001,3.3100000000000014,0.5185185185185185,1,1,0,0,4,0,0,0,1038.1658926107255,25,4
ACTIUHUUMQJHFO,79,0.0,0.0,0.6150004954277715,0.9967431629760356,0.6075949367088608,0.0,CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C,other_midsize,3,-22.715776,-9.496672,-1.0327451,-0.5921125,863.3649999999994,862.68391136,63,4,0.06349206349206349,0,4,0,0,0,1,0,1,6,0,31,4,0,52.60000000000001,17.853899999999975,0.559322033898305,0,0,0,0,2,0,0,0,1844.232906471872,8,1
ACWMEHXOHYZXMR,3,0.0,0.0,0.2825011312961578,0.33570244908332825,1.0,1.0,CC(=O)NC1=NC(=CS1)CSC2=NC3=C(C=CC(=C3N2)OC)OC,aromatic_rich_polycycle,8,19.39911,-25.3723,0.4852525,-0.7131805,364.4520000000001,364.06638237199996,24,9,0.375,4,3,2,0,0,3,3,0,6,0,6,7,2,89.13000000000001,3.287300000000001,0.26666666666666666,0,1,0,0,2,0,0,0,833.8567075673399,16,3
