chem_class,spectra,unique_targets,exact_top1,exact_top10,tanimoto_top10,mist_tanimoto,formula_success,bad_low_tanimoto_share,near_miss_high_tanimoto_share,mol_wt_median,heavy_atoms_median,ring_count_median,max_ring_size_median,amide_count_median,ester_count_median,chiral_centers_median,rotatable_bonds_median
aromatic_rich_polycycle,4838,1120,0.1506821000413394,0.17031831335262504,0.47998388958598226,0.5131160798010969,0.9613476643241009,0.6035551880942538,0.04154609342703597,440.46300000000014,32.0,4.0,6.0,0.0,0.0,0.0,6.0
glycoside_or_sugar_rich,3490,280,0.04183381088825215,0.0504297994269341,0.5481064094267892,0.5838863470033878,0.8578796561604585,0.40716332378223496,0.10945558739255014,755.1750000000008,52.5,5.0,6.0,0.0,1.0,15.0,10.0
other_midsize,3255,494,0.12995391705069123,0.141321044546851,0.48465008731078807,0.5693883674416674,0.9210445468509985,0.5926267281105991,0.035637480798771125,503.51500000000027,36.0,4.0,6.0,1.0,0.0,1.0,9.0
polycyclic_aliphatic_like,2531,351,0.04859739233504544,0.05966021335440538,0.3909333475060682,0.4680521380508054,0.8901619913077835,0.7080205452390359,0.01738443303042276,519.5910000000002,37.0,5.0,6.0,1.0,1.0,6.0,6.0
small_heteroaromatic,1878,470,0.2103301384451544,0.23375931842385517,0.4896211447759558,0.515874075809448,0.9984025559105432,0.5926517571884984,0.013312034078807242,350.4855000000001,24.0,3.0,6.0,1.0,0.0,0.0,5.0
other_macrocycle,466,80,0.034334763948497854,0.05150214592274678,0.4613215674690167,0.6100984969588052,0.6566523605150214,0.7103004291845494,0.14377682403433475,770.8690000000003,55.0,6.0,15.0,0.0,2.0,9.0,8.0
large_peptide_like,254,45,0.011811023622047244,0.011811023622047244,0.5349923579652948,0.6283940295945472,0.8543307086614174,0.44881889763779526,0.18110236220472442,608.7200000000003,44.0,4.0,6.0,4.0,0.0,3.0,13.0
cyclic_peptide_like,165,38,0.0,0.0,0.4259233444929123,0.6674457030314388,0.793939393939394,0.7393939393939394,0.006060606060606061,843.979,61.0,4.0,19.0,7.0,0.0,7.0,12.0
lipid_like_flexible,105,16,0.3523809523809524,0.3619047619047619,0.7077041769311542,0.7783147393237977,0.8476190476190476,0.3333333333333333,0.18095238095238095,444.07999999999987,30.0,0.0,0.0,0.0,0.0,0.0,10.0
cyclic_depsipeptide_like,95,9,0.0,0.0,0.5474555214768961,0.737183917980445,0.968421052631579,0.35789473684210527,0.0,783.963,57.0,4.0,18.0,3.0,3.0,6.0,9.0
small_aliphatic_or_acyclic,5,2,0.4,0.4,0.5327438369393349,0.5770833373069764,1.0,0.6,0.0,250.30999999999997,18.0,0.0,0.0,0.0,0.0,0.0,7.0
