cluster,murcko_scaffold,spectra,unique_targets,exact_top10,chem_class,example_smiles
0,c1ccc(Oc2cnc3ccccc3n2)cc1,53,2,0.33962264150943394,aromatic_rich_polycycle,CC(C(=O)OCCON=C(C)C)OC1=CC=C(C=C1)OC2=CN=C3C=C(C=CC3=N2)Cl
0,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(CN2CCNCC2)cc1,52,2,0.17307692307692307,aromatic_rich_polycycle,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
0,c1cnc2ccnn2c1,49,1,0.04081632653061224,small_heteroaromatic,CCOC(=O)C1=CN2C(=CC(=N2)OP(=S)(OCC)OCC)N=C1C
0,O=C(Nc1ncccn1)NS(=O)(=O)c1ccccc1,29,1,0.41379310344827586,other_midsize,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC(=C2)CNS(=O)(=O)C)C(=O)OC)OC
0,O=C(Nc1ncccn1)NS(=O)(=O)c1ccccn1,29,1,0.034482758620689655,small_heteroaromatic,CCS(=O)(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
0,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@H]([n+]2ccccc2)O1,24,1,0.75,glycoside_or_sugar_rich,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
0,O=c1[nH]cccc1Cc1ccc(-c2ccccc2)o1,22,1,0.0,aromatic_rich_polycycle,CC1=CC(=C(C(=O)N1)C(CC(=O)OC)C2=CC=C(O2)C3=CC=C(C=C3)C(=O)O)O
0,O=C(NCc1ccccc1)c1cccnc1Oc1ccc2c(c1)OCO2,18,1,0.3888888888888889,aromatic_rich_polycycle,CC(C(=O)O)OC1=CC(=C(C=C1)CNC(=O)C2=C(N=CC=C2)OC3=CC4=C(C=C3)OCO4)F
1,O=C1C=CC2C(=O)C3=Cc4ccccc4CC3CC2C1,303,4,0.0858085808580858,polycyclic_aliphatic_like,CN(C)C1C2CC3C(C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O
1,O=C1CCCCOC(=O)C[C@@H](O[C@H]2CCCCO2)C[C@@H](O[C@H]2CCCCO2)CCC1,230,5,0.25217391304347825,glycoside_or_sugar_rich,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
1,O=C(O[C@@H]1Cc2ccccc2O[C@@H]1c1ccccc1)c1ccccc1,148,2,0.5067567567567568,aromatic_rich_polycycle,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
1,N=C1CCCCOC(=O)C[C@@H](O[C@H]2CCCCO2)C[C@@H](O[C@H]2CCCCO2)CCC1,142,2,0.007042253521126761,glycoside_or_sugar_rich,CC[C@@H]1[C@@]([C@@H]([C@H](C(=NOCOCCOC)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
1,O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(C=CCCO1)C2,62,1,0.11290322580645161,other_macrocycle,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C
