descriptor,all_median,top10_hit_median,bad_low_tanimoto_median,bad_minus_top10_hit_cohen_d,worst8_median,best8_median,worst8_minus_best8_cohen_d,spearman_with_exact_top10,spearman_with_tanimoto_top10,spearman_with_mist_tanimoto
halogen_count,0.0,0.0,0.0,-0.8057681719734375,0.0,0.0,-0.7487540341742651,0.23725738172198155,0.17335222872079256,0.16943466746212257
hetero_ratio,0.26666666666666666,0.2903225806451613,0.2608695652173913,-0.4781501938377579,0.25,0.2702702702702703,-0.23460494218100136,0.11476883794396137,0.12040203333090126,0.10299701281859103
aliphatic_ring_count,2.0,1.0,1.0,0.4589887377221296,3.0,1.0,1.1626400735608518,-0.17757594681627506,0.0025376874365204308,0.016099065072982872
o_count,6.0,4.0,6.0,0.43073754626402194,10.0,3.0,1.4015941016561613,-0.1862674780561006,0.08743792046027139,0.10488466208122987
heavy_atoms,35.0,32.0,34.0,0.4282093562996431,47.0,32.0,1.4763858544313337,-0.18474729871266066,0.14590368974208945,0.19701587423205294
ether_count,2.0,1.0,1.0,0.41617531111340716,4.0,1.0,1.1019226134437428,-0.17066201219284813,0.045693786136343686,0.07702385480345242
scaffold_ring_count,4.0,4.0,4.0,0.38907186185123205,5.0,4.0,0.9212237874605202,-0.13138197568440055,-0.014671478228520577,-0.008566197121718319
ring_count,4.0,4.0,4.0,0.38907186185123205,5.0,4.0,0.9212237874605202,-0.13138197568440055,-0.014671478228520577,-0.008566197121718319
exact_mol_wt,497.19620291800004,442.161660572,480.2511888719999,0.3764376572510191,654.305349684,444.227374136,1.4476795226421206,-0.16895980179170605,0.169757928021473,0.22246627164084767
mol_wt,497.6470000000003,442.4410000000001,480.6370000000001,0.3760163016145494,654.7640000000002,444.6230000000004,1.4471466998060047,-0.16884903069748503,0.16964587519063193,0.22246737454853016
chiral_centers,2.0,0.0,2.0,0.3753725145127946,8.0,0.0,1.0969340167902866,-0.2000856229856426,0.04469321427448591,0.057628607572292066
hba,8.0,6.0,7.0,0.37044976101520516,11.0,6.0,1.1571466318761785,-0.1695228303646073,0.11474143775824326,0.12060286154214789
ester_count,0.0,0.0,0.0,0.36702263446194633,0.0,0.0,0.4504515544042351,-0.11809600051392484,-0.08824122836094633,-0.04692224570155883
bertz_complexity,1219.2332932895238,1110.912069532479,1183.1395717996124,0.36100722891338505,1404.8506835694538,1128.5899038874586,0.978507877745376,-0.13546730103016116,0.08690707055116763,0.14932883193432817
p_count,0.0,0.0,0.0,-0.3541223047529525,0.0,0.0,-0.19237423253109798,0.08917574153738479,0.13647330099144858,0.1623058286483818
tpsa,121.11000000000001,91.75999999999999,116.4,0.3380010319599666,148.82,96.52499999999999,1.1318495511736835,-0.1655882475047904,0.10423708226295345,0.10710179572438858
fraction_csp3,0.43333333333333335,0.35714285714285715,0.42105263157894735,0.3114542055489136,0.5428571428571428,0.35714285714285715,0.9558990550997819,-0.1488638053682412,0.05562852835940203,0.07713973384663235
rotatable_bonds,7.0,6.0,7.0,0.3109098709884191,10.0,7.0,0.820126618873256,-0.14796901969149823,0.10367403941720164,0.14788049474542336
phosphate_count,0.0,0.0,0.0,-0.30413552883846917,0.0,0.0,-0.06398593683281337,0.08745608118917997,0.12280239374357602,0.1485114023060358
n_count,3.0,3.0,3.0,-0.234101233046379,1.0,3.0,-0.9406536476039222,0.09356717349627797,-0.028814105396958615,0.005228528433279093
amide_count,0.0,0.0,0.0,0.23189510562122728,0.0,0.0,0.061657011220446804,-0.027992809315833887,-0.06865604719405906,-0.017888845226804756
hbd,2.0,2.0,2.0,0.22541535070321683,3.0,2.0,0.9872923849081557,-0.13240459927596693,0.11498237930939674,0.08885383666213428
scaffold_heavy_atoms,27.0,24.0,26.0,0.22033904872110396,30.0,26.0,0.6103333270668663,-0.11122029235769447,0.1423222282834376,0.16165966138574756
aromatic_ring_count,2.0,3.0,2.0,-0.18477933871825558,2.0,3.0,-0.5543494868577599,0.09435910572775288,-0.03712909107721916,-0.03664986603868596
hydroxyl_count,1.0,0.0,0.0,0.15113340821117813,2.0,0.0,0.8988255200231449,-0.11554803891181901,0.11786548191062987,0.07226003441096296
sulfonamide_count,0.0,0.0,0.0,-0.13935281115908082,0.0,0.0,-0.27862782832913907,0.050908730482414406,0.03314406801078684,0.02126639461794501
max_ring_size,6.0,6.0,6.0,0.1376432543307572,6.0,6.0,-0.009124527093412122,-0.09516169201548597,-0.007285154562782304,0.07564994526501521
s_count,0.0,0.0,0.0,-0.1255314313165052,0.0,0.0,-0.07592862854810757,0.06601003182436697,-0.01401171338342364,-0.005602864285138946
logp,2.983900000000001,3.466380000000002,3.1410500000000012,-0.12425606221484899,2.3924000000000003,3.641700000000002,-0.3441271496264347,0.0693129218049861,-0.010239243460782775,0.03725291386302641
carboxyl_count,0.0,0.0,0.0,0.08550861129885653,0.0,0.0,-0.14333566559197597,-0.00721847195072228,-0.056689378148065725,-0.036482045091829216
hetero_atoms,10.0,9.0,9.0,0.08454140261382408,12.0,9.0,0.8723673150246631,-0.07845454845282052,0.22143960344032082,0.24218802865109024
macrocycle_count,0.0,0.0,0.0,0.057874747975693606,0.0,0.0,-0.11874368498875741,-0.04242377518952833,0.10767844833272834,0.18349959729068713
