murcko_scaffold,spectra,unique_targets,exact_top10,tanimoto_top10,mist_tanimoto,chem_class,example_smiles
O=C(OC1C2CCC3C4CC5C6CCCC5(C(C2)C31)C4NC6)c1ccccc1,455,8,0.0,0.31154915063263294,0.41036672747724656,polycyclic_aliphatic_like,CCN1CC2(CCC(C34C2C(C(C31)C5(CC(C6(CC4C5C6OC(=O)C7=CC=C(C=C7)OC)O)OC)OC(=O)C)OC)OC)COC
C1CC[C@H](O[C@@H]2CCCO[C@H]2O[C@H]2CCC3C4CC[C@@H]5CCCC5C4CC[C@H]3C2)OC1,383,1,0.0,0.7333292361183515,0.7006115524326852,glycoside_or_sugar_rich,CC(=CCCC(C)([C@H]1CC[C@@]2([C@@H]1[C@@H](CC3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)O)C)O)C
C1CCC(OC2CCCOC2OC2CC3C4CCCC4CCC3C3CCCCC23)OC1,339,4,0.0,0.48013571454184595,0.5258394180409676,glycoside_or_sugar_rich,CCC(=CCCC(C)(C1CCC2(C1C(CC3C2CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)C)O)O)O)O)C)O)C
O=C1C=CC2C(=O)C3=Cc4ccccc4CC3CC2C1,303,4,0.0858085808580858,0.47863842072364915,0.4569005080477239,polycyclic_aliphatic_like,CN(C)C1C2CC3C(C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O
O=C1CCCCOC(=O)C[C@@H](O[C@H]2CCCCO2)C[C@@H](O[C@H]2CCCCO2)CCC1,230,5,0.25217391304347825,0.8258198353583398,0.8095974563580493,glycoside_or_sugar_rich,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
,185,31,0.21621621621621623,0.6028688791837241,0.6930578453113904,lipid_like_flexible,C(CCl)OP(=O)(OCCCl)OCC(COP(=O)(OCCCl)OCCCl)(CCl)CCl
O=C(O[C@H]1C2CCC3[C@H]4C[C@@H]5C6CCC[C@@]5(C4NC6)[C@H](C2)[C@@H]31)c1ccccc1,172,4,0.0,0.46416002867180245,0.6701015157755031,glycoside_or_sugar_rich,CCN1C[C@@]2([C@@H](C[C@@H]([C@@]34[C@@H]2[C@H]([C@@H](C31)[C@@]5([C@@H]6[C@H]4C[C@@]([C@@H]6OC(=O)C7=CC=CC=C7)([C@H]([C@@H]5O)OC)O)OC(=O)C)OC)OC)O)COC
c1ccc(Oc2cc(Oc3ccccc3)ncn2)cc1,149,2,0.040268456375838924,0.23570572499860848,0.24167030519687085,aromatic_rich_polycycle,CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)O
O=C(O[C@@H]1Cc2ccccc2O[C@@H]1c1ccccc1)c1ccccc1,148,2,0.5067567567567568,0.8373334862895914,0.7856405898928642,aromatic_rich_polycycle,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
N=C1CCCCOC(=O)C[C@@H](O[C@H]2CCCCO2)C[C@@H](O[C@H]2CCCCO2)CCC1,142,2,0.007042253521126761,0.7722216396474503,0.950218431336779,glycoside_or_sugar_rich,CC[C@@H]1[C@@]([C@@H]([C@H](C(=NOCOCCOC)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
c1ccc(CCCCNCCc2ccccc2)cc1,121,3,0.4049586776859504,0.8010836445595607,0.7848979232232433,other_midsize,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
O=C(C=Cc1ccccc1)OC1C(COC2CCCCO2)OC(OCCc2ccccc2)CC1OC1CCCCO1,110,5,0.0,0.7356006638570265,0.7710847255858508,glycoside_or_sugar_rich,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)OC)COC4C(C(C(CO4)O)O)O)OCCC5=CC(=C(C=C5)OC)O)O)O)O)O
c1ccccc1,110,16,0.08181818181818182,0.3158043162389235,0.38959175808863206,glycoside_or_sugar_rich,CCN(CC)C(=O)C(=CC1=CC(=C(C(=C1)O)O)[N+](=O)[O-])C#N
C1CC[C@H](OC[C@H]2CCC3C4C[C@H](O[C@H]5CCCCO5)C5CCCCC5C4CC[C@@H]32)OC1,109,1,0.03669724770642202,0.5865320695923009,0.46248955764901745,glycoside_or_sugar_rich,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](CC3[C@]2(C[C@@H](C4[C@@]3(CC[C@@H](C4(C)C)O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)O)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C
O=C1CCCC(=O)C1C(=O)c1ccccc1,106,3,0.8773584905660378,0.9015473965203987,0.8684513495778138,small_heteroaromatic,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-]
O=C(C=Cc1ccccc1)OC1CCCOC1c1cccc2c(=O)ccoc12,105,2,0.02857142857142857,0.3376620545273735,0.3864829371372859,other_midsize,CC1=CC(=C(C2=C1C(=O)C=C(O2)CC(C)O)C3C(C(C(C(O3)CO)O)O)OC(=O)C=CC4=CC=C(C=C4)O)OC
O=C1N(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)C=NC12CCCC2,101,1,0.07920792079207921,0.6038320437811389,0.6165490216842973,other_midsize,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5
O=C(CCCc1ccccc1)N1CCn2cnnc2C1,97,3,0.5567010309278351,0.7482537579597887,0.6848728937893799,small_heteroaromatic,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N
C1CC[C@H](OC[C@H]2CCC3C4CC[C@H]5C[C@@H](O[C@H]6CCCCO6)CCC5[C@H]4CC[C@@H]32)OC1,96,1,0.5104166666666666,0.8486179814984401,0.6856171327332655,glycoside_or_sugar_rich,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)O)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C
O=C(O[C@]12CCC[C@]34C(NC1)[C@H](C[C@H]23)C1CC[C@@H]2CC1[C@H]4C2)c1ccccc1,95,1,0.0,0.2203987160795613,0.2937119857261055,polycyclic_aliphatic_like,CCN1C[C@@]2(CC[C@@H]([C@@]34[C@@H]2C[C@@H](C31)[C@]5(C[C@@H]([C@H]6C[C@@H]4[C@@]5([C@H]6OC)O)OC)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C
O=C(CNc1ccc2c(cc1=O)CCCc1ccccc1-2)Nc1ccccc1,85,3,0.0,0.4276844806530896,0.6597774864996181,other_midsize,CCC(C)C(C(=O)NC1=CC=CC(=C1)NC(=O)C)NC2=CC=C3C(=CC2=O)C(CCC4=CC(=C(C(=C43)OC)OC)OC)NC(=O)C
O=C(OC1C2CCC3C4C[C@@H]5C6CCCC5([C@@H]4NC6)[C@H](C2)[C@@H]31)c1ccccc1,84,1,0.0,0.3325017855635711,0.5469925698070299,polycyclic_aliphatic_like,CCN1CC2([C@H]3C(C4[C@@H]1C3([C@@H]5C[C@@]6([C@H](C([C@]4([C@H]5C6OC(=O)C7=CC=CC=C7)OC(=O)C)O)OC)O)C(CC2OC(=O)C)OC)OC)COC
c1ccc(-c2nn[nH]n2)c(-c2ccc(Cn3cnc4ccccc43)cc2)c1,84,1,0.47619047619047616,0.7073194508751234,0.6645653535212789,aromatic_rich_polycycle,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
O=C1c2ccccc2C(C2c3ccccc3C(=O)c3c(OC4CCCCO4)cccc32)c2cccc(OC3CCCCO3)c21,81,2,0.0,0.475835661093394,0.5698303203155966,other_midsize,C1=CC2=C(C(=C1)OC3C(C(C(C(O3)CO)O)O)O)C(=O)C4=C(C2C5C6=C(C(=CC=C6)OC7C(C(C(C(O7)CO)O)O)O)C(=O)C8=C5C=C(C=C8O)C(=O)O)C=C(C=C4O)C(=O)O
O=C1C2C=CCC3CC=CC13CCC1CC12,80,4,0.0,0.17338638864457606,0.1737603732384741,glycoside_or_sugar_rich,CC1CC2C(C2(C)C)C3C=C(C(C4(C1(C3=O)C=C(C4O)C)O)O)CO
O=C1C=CC(=O)C=C1,79,1,0.0,0.6150004954277715,0.9967431629760356,other_midsize,CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C
O=C(OCC12CCCC34C5CC6CCC(C5C6)C(CC13)C4NC2)c1ccccc1N1C(=O)CCC1=O,71,1,0.0,0.5382294722006354,0.8228585984505398,polycyclic_aliphatic_like,CCN1CC2(CCC(C34C2C(C(C31)(C5(CC(C6CC4C5C6OC)OC)O)O)OC)OC)COC(=O)C7=CC=CC=C7N8C(=O)CC(C8=O)C
O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(C=CCCO1)C2,62,1,0.11290322580645161,0.7986162021275489,0.7335488055982897,other_macrocycle,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C
C1CCC(OC2CCCOC2OC2CCC3C(CCC4C5CCCC5CCC34)C2)OC1,60,1,0.0,0.5864458123842875,0.6327933076769113,glycoside_or_sugar_rich,CC(=CCCC(=C)C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)C
C1CCC2C(C1)CCC1C3CCCC3CCC21,60,1,0.03333333333333333,0.7486903915802637,0.760871097445488,glycoside_or_sugar_rich,CC(CCC(=O)NCCC[N+](C)(C)CC(CS(=O)(=O)[O-])O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
C1CCNC1,60,3,0.08333333333333333,0.3294352957357963,0.38878442707161104,large_peptide_like,CCCCC[C@H](CC(=O)NO)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1CO
O=C(OC1Cc2ccccc2OC1c1ccccc1)c1ccccc1,59,2,0.0,0.19513713871523483,0.1920591923644987,aromatic_rich_polycycle,COC1=CC(=CC(=C1O)O)C(=O)OC2CC3=C(C=C(C=C3OC2C4=CC(=C(C(=C4)O)O)O)O)O
O=C1CC(OC2CCCCO2)CC(OC2CCCCO2)CCCCNCCCCO1,59,1,0.0,0.7566621404583171,0.8748389967417313,glycoside_or_sugar_rich,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
O=C1C2=C(CCC13Oc1ccccc1C3=O)Nc1[nH]c(=O)[nH]c(=O)c1C2c1ccccc1,55,2,0.0,0.3126313973556865,0.611400696364316,other_midsize,CC1CC2=C(C(C3=C(N2)N(C(=O)N(C3=O)C)C)C4=CC(=C(C(=C4)OC)OC)OC)C(=O)C15C(=O)C6=C(O5)C(=C(C=C6OC)OC)Cl
