shard,spectra,exact_top1,exact_top10,tanimoto_top1,tanimoto_top10,mist_tanimoto,formula_success,avg_actual_formula_matches,avg_generated,avg_generation_time_s,median_target_smiles_len,shard_index
shard_001,500,0.278,0.29,0.579868980422616,0.5990409024059773,0.6064585865736007,0.992,10.912,88.002,16.419799340724946,60.0,1
shard_019,481,0.2598752598752599,0.2806652806652807,0.6154076134836352,0.6330732091982498,0.674799301783533,0.9916839916839917,10.501039501039502,87.11642411642411,18.178797716906065,64.0,19
shard_022,491,0.24643584521384929,0.26272912423625255,0.5586133330544484,0.5779221747260229,0.640973342533267,0.9389002036659878,9.989816700610998,87.83095723014257,19.366290018660475,67.0,22
shard_020,487,0.2464065708418891,0.26078028747433263,0.5766221792331956,0.5925820143377022,0.6345021392102114,0.9774127310061602,11.08624229979466,88.30800821355236,15.944059377823033,65.0,20
shard_021,475,0.24421052631578946,0.26105263157894737,0.5795005886178267,0.5986720346463354,0.6386648030343809,0.9705263157894737,10.018947368421053,88.29684210526315,16.685802970183524,65.0,21
shard_002,436,0.22706422018348624,0.2706422018348624,0.6936813040610847,0.7205604965191915,0.7639015458455873,0.8577981651376146,9.972477064220184,92.78669724770643,23.30063270155443,59.0,2
shard_023,488,0.22540983606557377,0.26844262295081966,0.5878477058464997,0.6124070157892392,0.6315163249363664,0.9795081967213115,10.176229508196721,88.86065573770492,16.893016044722227,66.0,23
shard_004,500,0.218,0.224,0.5929329563975334,0.6124672178179026,0.654939402461052,0.966,10.548,85.318,22.241838699817656,68.0,4
shard_006,500,0.216,0.234,0.5497322793863714,0.5652743960171938,0.6604584341943264,0.966,10.66,84.448,20.07149032688141,62.0,6
shard_005,471,0.19745222929936307,0.21443736730360935,0.48087525136784637,0.5065131361127659,0.5546709042034584,0.9384288747346072,10.902335456475583,81.41613588110404,18.225493286319093,64.0,5
shard_018,497,0.19517102615694165,0.22334004024144868,0.5769092595163485,0.5973293433786638,0.652424264256983,0.9859154929577465,10.253521126760564,88.52313883299799,17.934173071648274,67.0,18
shard_003,500,0.174,0.226,0.5953814918398858,0.6231895250976086,0.620771469026804,0.944,9.136,88.348,22.192825486183168,64.0,3
