target_inchi_key,spectra,exact_top1,exact_top10,tanimoto_top10,mist_tanimoto,median_target_smiles_len,example_smiles
RWXIFXNRCLMQCD,383,0.0,0.0,0.7333292361183515,0.7006115524326852,102.0,CC(=CCCC(C)([C@H]1CC[C@@]2([C@@H]1[C@@H](CC3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)O)C)O)C
QOVKKEKBURQILF,194,0.0,0.0,0.4604480863385594,0.4825670707625212,102.0,CCC(=CCCC(C)(C1CCC2(C1C(CC3C2CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)C)O)O)O)O)C)O)C
NWXMGUDVXFXRIG,159,0.006289308176100629,0.025157232704402517,0.39622025702546976,0.4028644627370175,68.0,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
RXZBMPWDPOLZGW,139,0.0,0.0,0.7686597705959416,0.9517479339520708,187.0,CC[C@@H]1[C@@]([C@@H]([C@H](C(=NOCOCCOC)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
ZVTVWDXRNMHGNY,126,0.0,0.0,0.49018809459512197,0.576461185775106,102.0,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C(=C)CCC=C(C)C)C)O)C6(C3C(C(CC6)O)(C)C)C)C)CO)O)O)O)O)O
ULGZDMOVFRHVEP,122,0.4098360655737705,0.47540983606557374,0.877762746432277,0.8401939549529162,180.0,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
SGTNSNPWRIOYBX,110,0.42727272727272725,0.42727272727272725,0.8234855922785672,0.8026700296185233,60.0,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
YURJSTAIMNSZAE,109,0.0,0.03669724770642202,0.5865320695923009,0.46248955764901745,105.0,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](CC3[C@]2(C[C@@H](C4[C@@]3(CC[C@@H](C4(C)C)O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)O)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C
YOSHYTLCDANDAN,101,0.009900990099009901,0.07920792079207921,0.6038320437811389,0.6165490216842973,58.0,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5
PHDZNMWTZQPAEW,101,0.0,0.0,0.4482836533005875,0.6191304277370472,84.0,CCN1CC2(C(CC(C34C2C(C(C31)C5(CC(C6(CC4C5C6OC(=O)C7=CC=CC=C7)O)OC)OC(=O)C)OC)OC)O)COC
PULWZCUZNRVAHT,98,0.0,0.0,0.19190021642312707,0.21861431071040577,80.0,CN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)O)OC)OC)O)COC
SWIROVJVGRGSPO,96,0.4270833333333333,0.5104166666666666,0.8486179814984401,0.6856171327332655,102.0,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)O)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C
WMBWREPUVVBILR,96,0.3645833333333333,0.3958333333333333,0.7963983273754517,0.7784051019698381,81.0,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
NWBWCXBPKTTZNQ,95,0.0,0.0,0.2203987160795613,0.2937119857261055,77.0,CCN1C[C@@]2(CC[C@@H]([C@@]34[C@@H]2C[C@@H](C31)[C@]5(C[C@@H]([C@H]6C[C@@H]4[C@@]5([C@H]6OC)O)OC)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C
WFDXOXNFNRHQEC,90,0.06666666666666667,0.06666666666666667,0.2762451368073622,0.27317117071814,57.0,CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC
HTQMVQVXFRQIKW,84,0.42857142857142855,0.47619047619047616,0.7073194508751234,0.6645653535212789,62.0,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
RIPYIJVYDYCPKW,84,0.0,0.0,0.3325017855635711,0.5469925698070299,93.0,CCN1CC2([C@H]3C(C4[C@@H]1C3([C@@H]5C[C@@]6([C@H](C([C@]4([C@H]5C6OC(=O)C7=CC=CC=C7)OC(=O)C)O)OC)O)C(CC2OC(=O)C)OC)OC)COC
ACTIUHUUMQJHFO,79,0.0,0.0,0.6150004954277715,0.9967431629760356,134.0,CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C
XFSBVAOIAHNAPC,75,0.0,0.0,0.5643031279246012,0.8132635982831319,150.0,CCN1C[C@@]2([C@@H](C[C@@H]([C@@]34[C@@H]2[C@H]([C@@H](C31)[C@@]5([C@@H]6[C@H]4C[C@@]([C@@H]6OC(=O)C7=CC=CC=C7)([C@H]([C@@H]5O)OC)O)OC(=O)C)OC)OC)O)COC
XLTANAWLDBYGFU,71,0.0,0.0,0.5382294722006354,0.8228585984505398,91.0,CCN1CC2(CCC(C34C2C(C(C31)(C5(CC(C6CC4C5C6OC)OC)O)O)OC)OC)COC(=O)C7=CC=CC=C7N8C(=O)CC(C8=O)C
AGOYDEPGAOXOCK,70,0.0,0.0,0.8336284654481071,0.8333983199937003,181.0,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O
OUGNWRCWQLUXHX,67,0.04477611940298507,0.04477611940298507,0.317777976616105,0.36846897651010485,80.0,CC1=CC(=C(C2=C1C(=O)C=C(O2)CC(C)O)C3C(C(C(C(O3)CO)O)O)OC(=O)C=CC4=CC=C(C=C4)O)OC
PHASMOUKYDUAOZ,66,0.0,0.0,0.21731259075529644,0.2737628545499209,84.0,CCN1CC2(CCC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)COC
MFFMDFFZMYYVKS,66,0.5757575757575758,0.7272727272727273,0.8672958368604834,0.7597270075118903,59.0,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N
OWFJMIVZYSDULZ,66,0.06060606060606061,0.18181818181818182,0.625655689248533,0.5385389066103733,71.0,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O
FEZDDYPHEHMXLF,65,0.0,0.0,0.17079313512031846,0.16766416854583296,69.0,CCCCCCCCCCCC(=O)OC12CC(C34C=C(C(C3(C(C(=CC(C1C2(C)C)C4=O)CO)O)O)O)C)C
GAZDXIGXYWVWQX,62,0.0,0.0,0.40167107240807626,0.5423276995218569,85.0,CCN1CC2(CCC(C34C2C(C(C31)C5(CC(C6(CC4C5C6OC(=O)C7=CC=C(C=C7)OC)O)OC)OC(=O)C)OC)OC)COC
ZKWQQXZUCOBISE,62,0.03225806451612903,0.11290322580645161,0.7986162021275489,0.7335488055982897,122.0,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C
LLEMSCWAKNQHHA,62,0.0,0.0,0.3089560773824492,0.4216305858665897,88.0,CCN1CC2(C(CC(C34C2C(C(C31)C5(CC(C6(CC4C5C6OC(=O)C7=CC=C(C=C7)OC)O)OC)OC(=O)C)OC)OC)O)COC
GUQQBLRVXOUDTN,60,0.0,0.03333333333333333,0.7486903915802637,0.760871097445488,84.0,CC(CCC(=O)NCCC[N+](C)(C)CC(CS(=O)(=O)[O-])O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
KWDWBAISZWOAHD,60,0.0,0.0,0.5864458123842875,0.6327933076769113,100.0,CC(=CCCC(=C)C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)C
IKCXDZCEWZARFL,59,0.0,0.0,0.17386594427339097,0.19361813745256196,56.0,CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)O
MQTOSJVFKKJCRP,59,0.0,0.0,0.7566621404583171,0.8748389967417313,176.0,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
SGKRLCUYIXIAHR,58,0.0,0.034482758620689655,0.470202693908379,0.4333613532884368,68.0,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
SVHJCTSSYQPWEV,56,0.0,0.0,0.18409470215971976,0.1798457742801734,121.0,CC(=O)OC1=CC2=C(CC(C(O2)C3=CC(=C(C(=C3)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C4=CC(=C(C(=C4)OC(=O)C)OC(=O)C)OC(=O)C)C(=C1)OC(=O)C
ZFWOUNNKSHIAFK,53,0.0,0.0,0.44849941218799017,0.5317807414059369,128.0,C1=CC2=C(C(=C1)OC3C(C(C(C(O3)CO)O)O)O)C(=O)C4=C(C2C5C6=C(C(=CC=C6)OC7C(C(C(C(O7)CO)O)O)O)C(=O)C8=C5C=C(C=C8O)C(=O)O)C=C(C=C4O)CO
UAPZTGRENZINFN,53,0.0,0.0,0.7533261809708938,0.8043980834619054,106.0,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)OC)COC4C(C(C(C(O4)CO)O)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O
LSHVYAFMTMFKBA,52,0.6346153846153846,0.7115384615384616,0.9129060873618493,0.7989984137507585,70.0,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
PQTBTIFWAXVEPB,51,1.0,1.0,1.0,0.9648396992215923,46.0,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)Cl
JOOMJVFZQRQWKR,49,0.04081632653061224,0.04081632653061224,0.6179150671375041,0.7262816745407727,44.0,CCOC(=O)C1=CN2C(=CC(=N2)OP(=S)(OCC)OCC)N=C1C
IREXLBYIZXPNNP,49,0.0,0.0,0.3205228352120944,0.4570705334142763,87.0,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)NCCCC(=O)N4CCC(CC4)NC(=O)OC(C)(C)C)OC)OC)OC
