feature,pearson_with_tanimoto_top10,spearman_with_tanimoto_top10,pearson_with_exact_top1,spearman_with_exact_top1,pearson_with_exact_top10,spearman_with_exact_top10
tanimoto_top1,0.9890084110742425,0.987864606619684,0.6496446216650145,0.5380584201962093,0.6647479514227236,0.5571517143464609
mist_tanimoto,0.8809995868443987,0.9119394621604503,0.44507395349423284,0.4459153445957446,0.46178317518582546,0.4617432006607628
formula_success,0.047143221066897605,0.02333280320285114,0.10775556684667274,0.1077555668466726,0.11545507903753789,0.11545507903753728
total_formula_matched,0.3858587915014755,0.23201833878713268,0.5524183030881917,0.43423173396750914,0.5703715937658492,0.45402313404812034
total_generated,-0.007595953481364078,0.0017130809726689812,-0.07072693946236475,-0.10072507067793052,-0.06495190140877342,-0.09642480243399655
generation_time,0.07624949647022648,0.1234738470829246,-0.17219800540540328,-0.17258382339990908,-0.1790040365885593,-0.1790751871537555
target_smiles_len,0.15257887463638226,0.16861232657274075,-0.12975098209801064,-0.15053092644963187,-0.1359561150648333,-0.15810826098594435
target_atom_token_count,0.12943743563765958,0.15911896253396668,-0.16963497681479425,-0.17073379924868248,-0.1778440413771295,-0.17996520093333068
target_chiral_markers,0.14649804478780973,0.14634780760673677,-0.0287864260731387,0.020194347265146417,-0.029110663124646333,0.02173423713877527
target_ring_digit_count,-0.054002154162077785,-0.013447543597895947,-0.12921152053670648,-0.1289051181184435,-0.13152682809224028,-0.1319051154553305
