example_type,shard,spec_name,target_inchi_key,exact_match_top1,exact_match_top10,tanimoto_top1,tanimoto_top10,mist_tanimoto,total_formula_matched,total_generated,generation_time,target_smiles,proposal_smiles,top_prediction_smiles
top1_exact_examples,shard_000,MassSpecGymID0012632,ULGZDMOVFRHVEP,1.0,1.0,1.0,1.0,0.9367088675498962,5,100,37.229761600494385,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@@H](C)O2)[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)C[C@H](N(C)C)[C@@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,"['CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@@H](C)O2)[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)C[C@H](N(C)C)[C@@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O', 'CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H](N(C)C)[C@H]2O)[C@@](C)(O)C[C@@H](C)C(=O)[C@H](O)[C@]1(C)O', 'CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@]1(C)O', 'CC[C@@H]1OC(=O)[C@H](C)[C@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@H](O[C@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@H](C)[C@H](C)[C@@H](O)[C@]1(C)O', 'CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@](C)(OC)[C@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@H](O)[C@@H](O)[C@]1(C)O']"
top1_exact_examples,shard_019,MassSpecGymID0225619,DKZYXHCYPUVGAF,1.0,1.0,1.0,1.0,0.9666666388511658,13,100,18.15889024734497,CC(=O)C1=CN=C2C=CC(=NC2=C1NC3CCC(CC3)CN(C)C)C4=CC(=C(C(=C4)Cl)O)Cl,CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@@H](CN(C)C)CC1,"['CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@@H](CN(C)C)CC1', 'CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1NC1CCC(CN(C)C)C1', 'CC(=O)c1cnc2ccc(-c3cc(Cl)c(NC4CCC(CN(C)C)CC4)c(Cl)c3)nc2c1O', 'CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)cc3Cl)nc2c1NC1CCC(CN(C)C)CC1', 'CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c([C@H]4CC[C@H](CN(C)C)CC4)c3)nc2c1NCl']"
top1_exact_examples,shard_019,MassSpecGymID0225617,DKZYXHCYPUVGAF,1.0,1.0,1.0,1.0,0.9508196711540222,19,100,17.828985929489136,CC(=O)C1=CN=C2C=CC(=NC2=C1NC3CCC(CC3)CN(C)C)C4=CC(=C(C(=C4)Cl)O)Cl,CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1NC1CCC(CN(C)C)CC1,"['CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1NC1CCC(CN(C)C)CC1', 'CC(=O)c1cnc2ccc(-c3cc(Cl)c(NC4CCC(CN(C)C)CC4)c(Cl)c3)nc2c1O', 'CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1NC1CCC(CN(C)N)CC1', 'CC(=O)c1cnc2ccc(-c3cc(Cl)cc(Cl)c3O)nc2c1NC1CCC(CN(C)C)CC1', 'CNCCC1CCC(Nc2c(Cl)cc(-c3ccc4ncc(C(C)=O)c(O)c4n3)cc2Cl)CC1']"
top1_exact_examples,shard_019,MassSpecGymID0225610,GOOYSJIWTIHOGW,1.0,1.0,1.0,1.0,0.9655172228813172,25,100,15.27561068534851,CC(C)OC(=O)N1CCN(CC1)C2=NC3=C(C=NN3C=C2)C4=C(N=CC=C4)OC,COc1ncccc1-c1cnn2ccc(N3CCN(C(=O)OC(C)C)CC3)nc12,"['COc1ncccc1-c1cnn2ccc(N3CCN(C(=O)OC(C)C)CC3)nc12', 'COc1ncccc1-c1cnn2ccc(N3CCN(C(=O)OC(C)C)C3)nc12', 'COc1ncccc1-c1cnn2ccc(N3CCN(C(=O)OC(C)O)CC3)nc12', '[CH2-]Oc1ncccc1-c1cnn2ccc(N3CCN(C(=O)OC(C)C)CC3)nc12', 'COc1ncccc1-c1cnn2ccc(N3CN(C(=O)OC(C)C)C3)nc12']"
top1_exact_examples,shard_019,MassSpecGymID0225530,QZFHIXARHDBPBY,1.0,1.0,1.0,1.0,0.890625,16,48,7.649094581604004,COC(=O)NC1=C(N=C(N=C1N)C2=NN(C3=C2C=C(C=N3)F)CC4=CC=CC=C4F)N,COC(=O)Nc1c(N)nc(-c2nn(Cc3ccccc3F)c3ncc(F)cc23)nc1N,"['COC(=O)Nc1c(N)nc(-c2nn(Cc3ccccc3F)c3ncc(F)cc23)nc1N', 'COC(=O)Nc1nc(-c2nn(Cc3ccccc3F)c3ncc(F)cc23)nc(N)c1N', 'COC(=O)Nc1cnc(-c2nn(Cc3ccccc3F)c3ncc(F)cc23)nc1NN', 'COC(=O)N(N)c1cnc(-c2nn(Cc3ccccc3F)c3ncc(F)cc23)nc1N', 'CON(C=O)Nc1cnc(-c2nn(Cc3ccccc3F)c3ncc(F)cc23)nc1N']"
top1_exact_examples,shard_019,MassSpecGymID0225499,JTGUGSWLWPKCGF,1.0,1.0,1.0,1.0,0.9491525292396544,23,100,20.16904354095459,CC(C)CC1(CCN(CC1)C(=O)C2=CC=C(C=C2)NS(=O)(=O)C3=CC=CC4=NC=CN=C43)O,CC(C)CC1(O)CCN(C(=O)c2ccc(NS(=O)(=O)c3cccc4nccnc34)cc2)CC1,"['CC(C)CC1(O)CCN(C(=O)c2ccc(NS(=O)(=O)c3cccc4nccnc34)cc2)CC1', 'CC(C)CC1(O)CCCN(C(=O)c2ccc(NS(=O)(=O)c3cccc4nccnc34)cc2)CC1', 'CC(C)CC1(O)CCN(C(=O)c2ccc(NS(=O)(=O)c3cccc4nccnc34)cc2)C1', 'CC(C)CC1(CO)CCN(C(=O)c2ccc(NS(=O)(=O)c3cccc4nccnc34)cc2)C1', 'CC(C)C[C@@]1(O)CCN(C(=O)Cc2ccc(NS(=O)(=O)c3cccc4nccnc34)cc2)C1']"
top1_exact_examples,shard_019,MassSpecGymID0225443,YYBOLPLTQDKXPM,1.0,1.0,1.0,1.0,0.918367326259613,24,77,7.728833913803101,CC(C)(C(=O)O)SC1=C(C=NC=C1)C2=CC=C(C3=CC=CC=C32)C#N,CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccccc12)C(=O)O,"['CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccccc12)C(=O)O', 'CC(C)(Sc1cccc2c(-c3cnccc3C#N)cccc12)C(=O)O', 'CC(C)(SO)C(=O)c1ccncc1-c1ccc(C#N)c2ccccc12', 'CC(=O)C(O[11CH3])Sc1ccncc1-c1ccc(C#N)c2ccccc12', '[2H]COC(C)(C=O)Sc1ccncc1-c1ccc(C#N)c2ccccc12']"
top1_exact_examples,shard_019,MassSpecGymID0225435,CZGVOBIGEBDYTP,1.0,1.0,1.0,1.0,0.9420289993286132,12,63,14.567385911941528,CCCC[C@@]1(CS(=O)(=O)C2=C(C=C(C(=C2)CNC(CC(=O)O)CC(=O)O)OC)[C@H](N1)C3=CC=CC=C3)CC,CCCC[C@]1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(OC)cc2C(c2ccccc2)N1,"['CCCC[C@]1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(OC)cc2C(c2ccccc2)N1', 'CCCCC1(CC)CS(=O)(=O)c2cc(OC)c(CNC(CC(=O)O)CC(=O)O)cc2[C@@H](c2ccccc2)N1', 'CCCC[C@]1(CC)CS(=O)(=O)c2cc(CCN[C@@H](CC(=O)O)C(=O)O)c(OC)cc2[C@@H](c2ccccc2)N1', 'CCCC[C@]1(CC)CS(=O)(=O)c2cc(CN[C@H](CC(=O)O)C(=O)O)c(OC)cc2[C@@H](c2ccccc2C)N1', 'CCCCC1(CC)CS(=O)(=O)c2cc(NCC(CC(=O)O)CC(=O)O)c(OC)cc2C(c2ccccc2)N1']"
top1_exact_examples,shard_019,MassSpecGymID0225433,CZGVOBIGEBDYTP,1.0,1.0,1.0,1.0,0.9558823704719543,13,64,14.565454721450806,CCCC[C@@]1(CS(=O)(=O)C2=C(C=C(C(=C2)CNC(CC(=O)O)CC(=O)O)OC)[C@H](N1)C3=CC=CC=C3)CC,CCCCC1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(OC)cc2C(c2ccccc2)N1,"['CCCCC1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(OC)cc2C(c2ccccc2)N1', 'CCCC[C@]1(CC)CS(=O)(=O)c2cc(OC)c(CNC(CC(=O)O)CC(=O)O)cc2[C@@H](c2ccccc2)N1', 'CCCCC1(CC)CS(=O)(=O)c2cc(CCNC(CC(=O)O)C(=O)O)c(OC)cc2C(c2ccccc2)N1', 'CCCC[C@]1(CC)CS(=O)(=O)c2cc(NCC(CC(=O)O)CC(=O)O)c(OC)cc2C(c2ccccc2)N1', 'CCCCC1(CC)CS(=O)(=O)c2cc(NC(CC(=O)O)CC(=O)OC)c(OC)cc2C(c2ccccc2)N1']"
top1_exact_examples,shard_019,MassSpecGymID0225426,DYLUUSLLRIQKOE,1.0,1.0,1.0,1.0,0.8909090757369995,19,64,11.196540594100952,CC(C)(CNC1=NC(=NC(=N1)C2=NC(=CC=C2)C(F)(F)F)NC3=CC(=NC=C3)C(F)(F)F)O,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1,"['CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1', 'CC(C)(O)CNc1cc(Nc2nc(-c3cccc(C(F)(F)F)n3)nc(C(F)(F)F)n2)ccn1', 'C[C@@](O)(CCCN(F)F)c1cc(Nc2nc(F)nc(-c3cccc(C(F)(F)F)n3)n2)ccn1', 'CC(C)(O)CNc1nc(Nc2cccc(C(F)(F)F)c2)nc(-c2nccc(C(F)(F)F)n2)n1', 'CC(C)(O)CCNc1nc(-c2cccc(C(F)(F)F)n2)nc(-c2nccc(C(F)(F)F)n2)n1']"
