metric,count,mean,std,min,p05,p25,median,p75,p95,max
exact_match_top1,17082,0.10970612340475354,0.3125322511068874,0.0,0.0,0.0,0.0,0.0,1.0,1.0
exact_match_top10,17082,0.12393162393162394,0.3295131755444247,0.0,0.0,0.0,0.0,0.0,1.0,1.0
tanimoto_top1,17082,0.45983813707083776,0.2883942775831513,0.0192307699471712,0.1219512224197387,0.2000000029802322,0.391945943236351,0.6785714030265808,1.0,1.0
tanimoto_top10,17082,0.4842332552890789,0.2834173377094901,0.0422535203397274,0.1465574748814106,0.2268041223287582,0.4190476238727569,0.7058823704719543,1.0,1.0
tanimoto_mean,17082,0.3696818071794358,0.20096866393668625,0.0387225344777107,0.11944537017494435,0.18304227553308006,0.3336103111505508,0.531583035737276,0.7179033136367797,1.0
mist_tanimoto,17082,0.5406695362101962,0.26628170324050693,0.0437956191599369,0.1636363565921783,0.2795698940753937,0.5492957830429077,0.7777777910232544,0.9523809552192688,1.0
num_predictions,17082,9.999882917691137,0.015302438293496288,8.0,10.0,10.0,10.0,10.0,10.0,10.0
formula_matches_collected,17082,9.999882917691137,0.015302438293496288,8.0,10.0,10.0,10.0,10.0,10.0,10.0
total_generated,17082,90.24247746165554,17.854894010103898,15.0,47.0,90.0,100.0,100.0,100.0,100.0
total_valid,17082,87.96821215314365,20.48286281976515,15.0,41.0,80.0,100.0,100.0,100.0,100.0
total_formula_matched,17082,7.6138040042149635,6.356619198531466,0.0,0.0,3.0,7.0,10.0,20.0,56.0
generation_time,17082,23.494558392259417,14.281545361682827,1.472294569015503,5.920311069488526,11.971132636070251,20.020870327949524,33.3837947845459,50.502063584327686,93.5993628501892
valid_rate,17082,0.9655561134270793,0.06452509056840393,0.53125,0.8205128205128205,0.9583333333333334,1.0,1.0,1.0,1.0
formula_match_rate_generated,17082,0.09701502289778856,0.08925152851756434,0.0,0.0,0.03,0.07,0.14,0.28281730346947714,0.6666666666666666
target_smiles_len,17082,80.80950708347969,31.790609108226036,25.0,44.0,57.0,74.0,98.0,145.0,213.0
target_atom_token_count,17082,39.54378878351481,12.977483046158543,12.0,23.0,29.0,36.0,49.0,64.0,85.0
target_chiral_markers,17082,2.1122819341997423,5.8267869066925755,0.0,0.0,0.0,0.0,0.0,15.0,32.0
target_ring_digit_count,17082,8.603793466807165,3.261206931586292,0.0,4.0,6.0,8.0,10.0,14.0,26.0
