shard,rows,total_spectra,elapsed_time_seconds,spectra_per_second,exact_match_top1,exact_match_top10,tanimoto_top1_mean,tanimoto_top10_mean,mist_tanimoto_mean,avg_formula_matches,avg_predictions_collected,avg_total_generated,formula_match_success_rate,avg_attempts_to_match,never_matched_rate,total_generation_time,generation_time_percentage,total_elapsed_time_seconds,proposal_source_counts,shard_index
shard_000,500,500,16446.265719652176,0.03040203828170755,0.13,0.146,0.6137783570289612,0.6233426642715931,0.7852813463211059,5.918,10.0,90.03,0.854,28.95137668549422,0.146,16357.470826148987,99.46009084969918,16446.265719652176,"[['formula', 500]]",0
shard_001,500,500,8289.118221998215,0.06032004691078801,0.278,0.29,0.579868980422616,0.5990409024059773,0.6064585865736007,10.912,10.0,88.002,0.992,14.30804386247433,0.008,8209.899670362473,99.04430664982546,8289.118221998215,"[['formula', 500]]",1
shard_002,436,436,10233.727054595947,0.042604224020631194,0.22706422018348624,0.2706422018348624,0.6936813040610847,0.7205604965191915,0.7639015458455873,9.972477064220184,10.0,92.78669724770643,0.8577981651376146,20.265480745989468,0.14220183486238533,10159.075857877731,99.270537543947,10233.727054595947,"[['formula', 436]]",2
shard_003,500,500,11178.457751274109,0.04472888936248925,0.174,0.226,0.5953814918398858,0.6231895250976086,0.620771469026804,9.136,10.0,88.348,0.944,18.258571121075423,0.056,11096.412743091583,99.26604358125186,11178.457751274109,"[['formula', 500]]",3
shard_004,500,500,11204.436048030853,0.04462518219182245,0.218,0.224,0.5929329563975334,0.6124672178179026,0.654939402461052,10.548,10.0,85.318,0.966,17.917536339604627,0.034,11120.919349908829,99.25461042604904,11204.436048030853,"[['formula', 500]]",4
shard_005,471,471,8657.945504426956,0.05440089681312612,0.19745222929936307,0.21443736730360935,0.48087525136784637,0.5065131361127659,0.5546709042034584,10.902335456475583,10.0,81.41613588110404,0.9384288747346072,12.389320192884222,0.06157112526539278,8584.207337856293,99.14831796373677,8657.945504426956,"[['formula', 471]]",5
shard_006,500,500,10115.76919722557,0.04942777857536863,0.216,0.234,0.5497322793863714,0.5652743960171938,0.6604584341943264,10.66,10.0,84.448,0.966,15.802090418830735,0.034,10035.745163440704,99.20891795547476,10115.76919722557,"[['formula', 500]]",6
shard_007,500,500,15572.791402578354,0.03210728167316337,0.022,0.028,0.4631423050761223,0.4831765892356634,0.5929428201019764,4.83,10.0,96.368,0.806,32.75140559939667,0.194,15482.598839759827,99.42083239615222,15572.791402578354,"[['formula', 500]]",7
shard_008,500,500,13726.781035423279,0.03642514575774917,0.046,0.048,0.38437537659704685,0.4071942414343357,0.48097437566518786,6.858,10.0,88.888,0.878,23.380212823743484,0.122,13642.170781373978,99.38361183273081,13726.781035423279,"[['formula', 500]]",8
shard_009,490,490,11985.523375034332,0.040882653570278184,0.07346938775510205,0.09591836734693877,0.4176756537386349,0.4482150495736575,0.4862402945680886,7.624489795918367,10.0,89.74897959183673,0.9428571428571428,21.12942292490256,0.05714285714285714,11901.725565433502,99.30084146533493,11985.523375034332,"[['formula', 490]]",9
