chem_class,targets,spectra,exact_in_train_share,median_nn_train_tanimoto,p25_nn_train_tanimoto,p75_nn_train_tanimoto,share_nn_ge_085,share_nn_ge_070,exact_top10,bad_low_tanimoto_share,mist_tanimoto,mol_wt_median,heavy_atoms_median,chiral_centers_median
aromatic_rich_polycycle,1120,4838,0.0,0.3900371938943863,0.34400201588869095,0.469696968793869,0.0035714285714285713,0.026785714285714284,0.16515614973090081,0.6169823795003312,0.5012047285187656,423.9725000000002,30.0,0.0
other_midsize,494,3255,0.0,0.37771378457546234,0.3287671208381653,0.48124998807907104,0.004048582995951417,0.05060728744939271,0.1825257489832472,0.5683254279069866,0.5539869873348899,470.0995000000002,33.0,1.0
small_heteroaromatic,470,1878,0.0,0.3730078339576721,0.33788542449474335,0.40837883949279785,0.0,0.00425531914893617,0.15730069023852525,0.6895479396802755,0.4561933588325571,348.36400000000015,24.0,0.0
polycyclic_aliphatic_like,351,2531,0.0,0.3571428656578064,0.3106672763824463,0.4124040901660919,0.002849002849002849,0.02849002849002849,0.08953938993752604,0.7300874375603785,0.4653675184805878,451.6150000000002,32.0,3.0
glycoside_or_sugar_rich,280,3490,0.0,0.5264999866485596,0.3529411852359772,0.7037037014961243,0.09642857142857143,0.25357142857142856,0.034843241822637185,0.5796051235739181,0.5361976556819739,664.1535000000003,46.5,10.0
other_macrocycle,80,466,0.0,0.3599003851413727,0.2936219498515129,0.47159090638160706,0.025,0.0625,0.0317684331797235,0.8063485663082437,0.5639496839950464,608.2840000000002,44.0,7.0
large_peptide_like,45,254,0.0,0.42500001192092896,0.33636364340782166,0.5068492889404297,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.41505467552219183,0.6971174760643972,658.6520000000002,47.0,3.0
cyclic_peptide_like,38,165,0.0,0.4614454060792923,0.38894136995077133,0.7272727489471436,0.07894736842105263,0.34210526315789475,0.0,0.6346568174823023,0.6039645661963118,813.9754999999999,58.0,6.0
lipid_like_flexible,16,105,0.0,0.6897233426570892,0.4928571432828903,0.7931034564971924,0.1875,0.5,0.09895833333333333,0.421969696969697,0.6885933554556188,483.66800000000035,32.5,0.5
cyclic_depsipeptide_like,9,95,0.0,0.4252873659133911,0.3870967626571655,0.523809552192688,0.0,0.0,0.0,0.7312091503267975,0.6379953166733705,751.9219999999998,54.0,7.0
small_aliphatic_or_acyclic,2,5,0.0,0.36055871844291687,0.32871685922145844,0.3924005776643753,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5095486144224803,293.86300000000006,21.0,1.5
