cluster,targets,spectra,exact_in_train_share,median_nn_train_tanimoto,p25_nn_train_tanimoto,p75_nn_train_tanimoto,share_nn_ge_085,share_nn_ge_070,exact_top10,bad_low_tanimoto_share,mist_tanimoto,mol_wt_median,heavy_atoms_median,chiral_centers_median
7,71,363,0.0,0.4803921580314636,0.41302521526813507,0.6228448152542114,0.04225352112676056,0.18309859154929578,0.0,0.6361980794294491,0.6031786850950867,788.947,57.0,6.0
9,30,971,0.0,0.7083629667758942,0.6820953488349915,0.7196875214576721,0.0,0.6,0.0,0.8639157429403352,0.5469113369234605,665.7655000000002,48.0,2.0
10,24,1025,0.0,0.3607384115457535,0.34425144642591476,0.4009615406394005,0.0,0.0,0.0,0.6627275356126526,0.5126457551703614,629.7470000000002,45.0,14.0
6,33,315,0.0,0.7183098793029785,0.6538461446762085,0.78125,0.09090909090909091,0.5454545454545454,0.018189412926255033,0.1815495440751005,0.6885410779874033,756.7070000000009,53.0,14.0
5,114,1836,0.0,0.651435136795044,0.5619733035564423,0.8097101002931595,0.21929824561403508,0.45614035087719296,0.0480245264621233,0.4651247600040873,0.5710977302286284,728.6530000000005,50.5,12.0
3,218,1177,0.0,0.3379330039024353,0.29773351550102234,0.470238097012043,0.01834862385321101,0.06422018348623854,0.049146279306829764,0.8078278902900196,0.4318838303884433,496.55600000000027,35.0,4.0
1,249,2288,0.0,0.34065935015678406,0.28915661573410034,0.4183673560619354,0.012048192771084338,0.040160642570281124,0.06028997236502093,0.782787761349146,0.5195313088055399,569.7860000000004,41.0,8.0
11,469,2314,0.0,0.3962264060974121,0.34375,0.4848484992980957,0.008528784648187633,0.031982942430703626,0.12764132585695798,0.6636543747138111,0.4750576422896111,408.4100000000001,29.0,0.0
8,326,1664,0.0,0.4148351699113846,0.36150986701250076,0.4908762723207474,0.0,0.015337423312883436,0.15508094196693742,0.5719218682690186,0.5326957990093042,453.57450000000017,32.0,0.0
4,527,2087,0.0,0.37078651785850525,0.33766233921051025,0.4228786677122116,0.0,0.013282732447817837,0.1834889778835324,0.6143087564105066,0.5094764564347716,413.9090000000001,29.0,0.0
0,398,1636,0.0,0.3874259293079376,0.3514764755964279,0.4444444477558136,0.002512562814070352,0.022613065326633167,0.18490787311792928,0.5594736252204321,0.5350656107512823,411.1785000000001,29.0,0.0
2,446,1406,0.0,0.3571428656578064,0.3117315471172333,0.41015132516622543,0.0,0.008968609865470852,0.1873015873015873,0.6171257479075337,0.49178472958767544,387.5925,28.0,0.0
