target_inchi_key,chem_class,cluster,spectra,exact_top10,bad_low_tanimoto_share,mist_tanimoto,exact_in_train,max_train_tanimoto_excluding_exact,nearest_nonself_train_inchikey,nearest_nonself_train_smiles,first_smiles
MLSQGNCUYAMAHD,cyclic_depsipeptide_like,4,3,0.0,1.0,0.690539687871933,False,0.20967741310596466,BDNGXZFDPYOICT,COC(=O)C1CC(CN1C(=O)CC2=CNC3=CC=CC=C32)OC4=CC=CC=C4F,CC1(CC1)S(=O)(=O)NC(=O)[C@]2(C[C@H]2C(F)F)NC(=O)[C@@H]3C[C@@H]4CN3C(=O)[C@@H](NC(=O)O[C@@H]5CCC[C@H]5OC/C=C/C(C6=NC7=CC=CC=C7N=C6O4)(F)F)C(C)(C)C
YQLQWGVOWKPLFR,polycyclic_aliphatic_like,1,1,0.0,1.0,0.1272727251052856,False,0.21276596188545227,PNUZTGLWURTQTO,C[C@@H]1[C@@H]2[C@H](C[C@@](C([C@H]2OC1=O)/C(=C/O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)/C)(C)C=C)O,C[C@@H]1[C@](C(=O)[C@H]([C@@H](O1)O[C@]23[C@H](C=CC2=CC4=C3C=C(C=C4Cl)CC#N)O)O)(C)O
NEINCGYMLGLOMN,polycyclic_aliphatic_like,1,1,0.0,1.0,0.4262295067310333,False,0.2181818187236786,QUQMZWZRFQKNFP,CC(=O)OC1CC2=CC3=C(C=C2OC1(C)C)OC=C(C3=O)C4=C(C5=C(C=C4)OC(C=C5)(C)C)OC,C/C(=C\[C@@H]1C[C@]2([C@@H]3CC[C@H]4CC5=C([C@@]4([C@]3(CC[C@@]2(O1)O)C)C)NC6=C5C=C7C(=C6)C[C@H]8C7=CC(OC8(C)C)(C)C)C)/C(=O)O
SVKHAVSUBSUFBQ,other_midsize,3,18,0.0,1.0,0.2820155107312732,False,0.2222222238779068,DUMNOWYWTAYLJN,CCOC(=O)C1CCCNC1=O,CCC/C(=N/OCC)/C1=C(CC(CC1=O)C2CCCS(=O)C2)O
ARFHIAQFJWUCFH,small_heteroaromatic,2,1,0.0,1.0,0.3928571343421936,False,0.22368420660495758,NUSUDDUOVSICAS,CN1CCC(CC1)OC(=O)C2=CC3=C(C=CC(=C3)[N+](=O)[O-])OC2=O,C[C@H]1CS(=O)(=O)CCN1/N=C\C2=CC=C(O2)[N+](=O)[O-]
PLSGFSOLCKJLJQ,glycoside_or_sugar_rich,1,1,0.0,1.0,0.5199999809265137,False,0.2265625,VNTDWOKCKOGMPX,CC(=CCCC1(C2CCC(C3C2C4=C(O1)C=C5C(=C4O3)CN(C5=O)C(CCC(=O)O)C(=O)O)(C)O)C)C,CC(=C)[C@H]1CC2=C3N1C4=C(C3=CC5=C2[C@H]([C@H]6C5=CC(OC6(C)C)(C)C)O)C[C@H]7[C@]4([C@]8(CC[C@]9([C@]([C@@H]8CC7)(C[C@H](O9)/C=C(\C)/C(=O)O)C)O)C)C
JFTUBAXWPXSZEH,other_midsize,3,5,0.0,1.0,0.206173750758171,False,0.22680412232875824,BPRHUIZQVSMCRT,CC(C)C1=NC(=NC(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,C/C=C/C=C/C=C/C1=CC2=C(C(=O)C(C(=O)C2=CN1CC(=O)O)(C)OC(=O)CC(CC(C)O)O)Cl
DFVYLDHDFLHIAA,polycyclic_aliphatic_like,1,2,0.0,1.0,0.4571428596973419,False,0.22772277891635895,CKLPLPZSUQEDRT,C[C@H]1CC2=C([C@]3(N1)C4=C(C=CC(=C4)Cl)NC3=O)NC5=CC(=C(C=C25)F)Cl,C[C@]12CC[C@]34C(=CC(=O)[C@H](O3)C(O4)(C)C)[C@@]1(CC[C@@H]5[C@@]2(C6=C(C5)C7=CC8=C(C=C7N6)C9=CC(OC([C@H]9[C@@H]8O)(C)C)(C)C)C)O
LHJPHMKIGRLKDR,polycyclic_aliphatic_like,2,1,0.0,1.0,0.725806474685669,False,0.2278480976819992,ZPUCINDJVBIVPJ,CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)C3=CC=CC=C3)C(=O)OC,CC1C(CC2CC(NC3=NCC1N23)C(C4=CC(=O)NC(=O)N4)O)OS(=O)(=O)O
LRBUWASGIAAHOJ,polycyclic_aliphatic_like,3,1,0.0,1.0,0.1551724076271057,False,0.22807016968727112,UQRORFVVSGFNRO,CCCCN1C[C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O,CCCC[C@]12CC3[C@H]4CCC(C3N(C1)CCCC)(C2N4CCCC)CCCC
HWSQVPGTQUYLEQ,other_midsize,3,10,0.0,1.0,0.5850317716598511,False,0.22826087474822998,VRWFEVIVOZKBJA,C/C=C/C1=CC2=CC(=O)C(C(=O)C2=CO1)(C)OC(=O)C3=C(C=C(C=C3C)O)OC,CC[C@H](C)/C=C/C1=CC2=C(C(=O)[C@@]3(C(=C(C(=O)O3)C(=O)[C@@H](C)[C@@H](C)O)C2=CO1)C)Cl
DSPNTLCJTJBXTD,other_macrocycle,1,2,0.0,0.5,0.8334514498710632,False,0.22891566157341003,MJMMUATWVTYSFD,CC1CC(=O)OC(C(/C=C/C(=O)OC(C(/C=C/C(=O)O1)O)C)O)C,C[C@H]1C[C@H](CC(=O)O[C@H](C/C(=C/C=C\C(=O)O[C@@H](CC2=NC1=CS2)/C=C(\C)/C=C/C(=C/CN(C)C)/C)/C)C)N
QYRAHJVRFPJIQW,polycyclic_aliphatic_like,1,2,0.0,1.0,0.3884892165660858,False,0.23000000417232513,CKLPLPZSUQEDRT,C[C@H]1CC2=C([C@]3(N1)C4=C(C=CC(=C4)Cl)NC3=O)NC5=CC(=C(C=C25)F)Cl,C[C@]12CC[C@]34C(=CC(=O)[C@H](O3)C(O4)(C)C)[C@@]1(CC[C@@H]5[C@@]2(C6=C(C5)C7=C(N6)C=C8C(=C7)CC9=C8CC(OC9(C)C)(C)C)C)O
YAGQIZPAJNEIKG,polycyclic_aliphatic_like,1,2,0.0,1.0,0.4769230782985687,False,0.23000000417232513,CKLPLPZSUQEDRT,C[C@H]1CC2=C([C@]3(N1)C4=C(C=CC(=C4)Cl)NC3=O)NC5=CC(=C(C=C25)F)Cl,C[C@]12CC[C@]34C(=CC(=O)[C@H](O3)C(O4)(C)C)[C@@]1(CC[C@@H]5[C@@]2(C6=C(C5)C7=C(N6)C=C8C(=C7)C[C@H]9C8=CC(OC9(C)C)(C)C)C)O
AIECUUXSLHXKBY,other_midsize,3,1,0.0,1.0,0.2083333283662796,False,0.2321428507566452,OOQUCJPSNWQKFG,C/C=C/C=C/[C@H]1[C@H](C=CC(=O)O1)O,C/C=C/C(=O)NC1=CC=C2[C@@H](CN2C(=O)O1)O
REKWVHVBDQXQLB,polycyclic_aliphatic_like,1,1,0.0,1.0,0.800000011920929,False,0.23255814611911774,RMZUOIQVOIREPM,CC1CCC2(C(C1(C)CC(=O)C3=COC=C3)CCC4C2(O4)C)C,CC(C)C1CCC2(C3CCC45CCCC4C2(C1N5C3)CCC(=O)C6(COC7(CCC6O7)C)C)C
HFRYZYZRMDGKCL,small_heteroaromatic,2,3,0.0,1.0,0.1440796852111816,False,0.23333333432674408,NDMFYLCEHWHGPB,CC(C)C1=NN=C(O1)C2CCN(CC2)C(=O)CC3=CC=C(C=C3)SC(C)C,CC(C)SC1=NN=C(O1)CCCCC2=NN=C(O2)SC(C)C
RNIADBXQDMCFEN,other_midsize,1,4,0.0,0.25,0.6453143805265427,False,0.23529411852359772,KALVKBCVJGXOKE,CC1CC2=C(C3C(=O)C4=C(C(C3(C5C2O5)O)O)C(=CC=C4)O)C(=O)C1,CN(C)[C@H]1[C@@H]2[C@H]([C@@H]3C(=C)C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O
YZQRMJFPWMHAJV,polycyclic_aliphatic_like,1,2,0.0,1.0,0.5289255976676941,False,0.2380952388048172,RVIIZRJMWFSNER,C[C@@]1(CC[C@H]2[C@@]3([C@@]1([C@@H]4[C@@H](O4)C(C5=C3C6=C(C2(C)C)C=CC=C6N5)(C)C)[N+]#[C-])O)C=C,CC(=C)[C@@H]1C(C=C2[C@@H](O1)CC[C@]3([C@]2(CC[C@@H]4[C@@]3(C5=C(C4)C6=C(N5)C=CC7=C6[C@H]8[C@H](C[C@@H]8C(C)(C)O)C(=C)C7)C)O)C)O
CSPPKDPQLUUTND,other_midsize,3,9,0.0,1.0,0.2343948036432265,False,0.23880596458911896,YXBHWZYFNLJVNP,CCOC(=O)C(C)OC1=CC2=C(C=C1)C(=CC(=O)O2)C,CCCC(=NOCC)C1=C(CC(CC1=O)CC(C)SCC)O
LREHNMAHTSUHBC,other_midsize,3,4,0.0,1.0,0.2708863765001296,False,0.239130437374115,UDYISUDUTWQUBB,C/C=C/C(CC1C(=O)C=CC1(CCCCCCCC(=O)O)O)OC(=O)C,C/C=C/C=C/C=C/C1=CC2=C(C(=O)C(C(=O)C2=CN1CCCC(=O)O)(C)OC(=O)CC(CC(C)O)O)Cl
ATAIRWBABKGUFL,glycoside_or_sugar_rich,3,7,0.0,1.0,0.248888543673924,False,0.24137930572032928,KCPUSSJDCHTZSH,C/C=C/CCC(=O)[C@@H]1[C@H]([C@H]2/C(=C(\C=C\C=C\C)/O)/C(=O)[C@@]1(C(=O)C2(C)O)C)[C@@]3(C(=C(C(=O)O3)C)O)C,C/C=C/C=C/C1=C2C3C4(C(=C(C5C(C2=O)(C6(C3(OC4(C5(O6)C)O)C)O)C)C(=O)CC(/C=C/C)O)O1)C
HWGQMRYQVZSGDQ,aromatic_rich_polycycle,2,6,0.0,0.8333333333333334,0.4299540743231773,False,0.24137930572032928,AHEPPHKAWGPZHP,C1CCCC(CC1)NC(=O)C2CC(=O)N(C2)CCC3=CNC4=C3C=C(C=C4)F,CN1C(=NC=N1)[C@@H]2[C@H](NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F
SPEGERVLTUWZPA,small_heteroaromatic,2,3,0.0,0.3333333333333333,0.9318491021792094,False,0.24137930572032928,PHSPJQZRQAJPPF,CNCCC1=CN=CN1,CCOCC1(CCC(CC1)C2=C(C=NN2)CN(C)CCNC)COCC
YIGXPIUPFFVJRJ,other_midsize,3,4,0.0,1.0,0.1728414222598075,False,0.24175824224948883,PLYNBLLEIDIMDU,CC1CC(C2=C(C1)C=CC(=C2/C=C/C(CC(CC(=O)OC)O)O)C)OC(=O)C,C/C=C/C=C/C=C/C1=CC2=C(C=N1)C(=O)C(C(=C2Cl)O)(C)OC(=O)CC(CC(C)O)O
UNCVXXVJJXJZII,glycoside_or_sugar_rich,1,1,0.0,1.0,0.9230769276618958,False,0.24193547666072845,VGRPJNIVIGBNNK,CC1CCC2C(C(CCC2(C13CC4=C(C=C5C(=C4O3)CN(C5=O)C(CCC(=O)N)C(=O)O)O)C)O)(C)C,CC(=C)[C@H]1C(=O)C2=C3N1C4=C(C3=CC5=C2[C@H]([C@H]6C5=CC(OC6(C)C)(C)C)O)C[C@H]7[C@]4([C@]8(CC[C@@H]([C@@]([C@@H]8CC7)(C)/C=C/C=C(\C)/C(=O)O)O)C)C
BBMULGJBVDDDNI,glycoside_or_sugar_rich,3,24,0.0,1.0,0.1880828614036241,False,0.24347825348377228,PGHMRUGBZOYCAA,C[C@H](CCC(=O)O)C[C@H](C)C[C@H](C)C(=O)/C=C(/[C@H](C)C[C@H](C)C/C=C/[C@@H](C)[C@H]([C@@H](C)[C@H](C[C@@H]1CC[C@@](O1)(C)[C@H]2CC[C@@](O2)(C)[C@@H](C)O)O)O)\O,CC[C@H]([C@@H]1[C@H](C[C@@](O1)(CC)[C@H]2CC[C@@]([C@@H](O2)C)(CC)O)C)C(=O)[C@@H](C)[C@H]([C@H](C)CCC3=C(C(=C(C=C3)C)O)C(=O)O)O
WCAKZBQMVHYHED,polycyclic_aliphatic_like,1,1,0.0,1.0,0.7156862616539001,False,0.24409449100494385,FVWRHZWMISXFKU,CC1CCC2C(C(CCC2(C13CC4=C(C=C5C(=C4O3)CN(C5=O)C(CCCN=C(N)N)C(=O)O)O)C)O)(C)C,CC(=C)[C@H]1CC2=C3N1C4=C(C3=CC5=C2[C@H]([C@H]6C5=CC(OC6(C)C)(C)C)O)C[C@H]7[C@]4([C@]8(CC[C@@H]([C@@]([C@@H]8CC7)(C)/C=C/C=C(\C)/C(=O)O)O)C)C
JPGNVTPOQRXCDY,other_macrocycle,1,1,0.0,1.0,0.5529412031173706,False,0.2448979616165161,XOZIUKBZLSUILX,C[C@H]1CCC/C(=C\C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C2=CSC(=N2)C)/C)/C,C[C@@H]1C2=NC(=CS2)/C=C\C=C\C(=O)C/C=C(/CC[C@@](CC(=O)N1)([C@@H](C)C(=O)O)S)\C
MCGZCRGDIAILMI,glycoside_or_sugar_rich,1,1,0.0,1.0,0.4552238881587982,False,0.24576270580291748,QJFJALJGKXGWFO,CC(=CCC1=C(C=CC(=C1OC)C2COC3=C(C2=O)C(=C4C=CC(OC4=C3)(C)C)O)O)C,CC(=CCC1=C2C(=CC3=C1[C@H]([C@H]4C3=CC(OC4(C)C)(C)C)O)C5=C(N2)[C@]6([C@H](C5)CC[C@@H]7[C@@]6(CC[C@]8([C@]7(C[C@H](O8)/C=C(\C)/C(=O)O)C)O)C)C)C
RHGMVWUZXGSXCT,other_macrocycle,3,1,0.0,1.0,0.1410256475210189,False,0.24637681245803833,VVYCRPVWBIEKIW,CC=CC(=O)C1=C(OC(=O)C=C1OC)C,C/C=C/C(=O)/C/1=C/C(=C\2/C=CCCN2)/SC[C@@H](C(=O)O1)NC(=O)C
DLQPRUDQTOCNPH,other_midsize,3,2,0.0,1.0,0.6666666865348816,False,0.24657534062862396,JVUYBLROBHJEJN,CC1=CC2=C(C(=O)[C@]([C@@H](C2=CO1)O)(C)O)C,CCC(C)/C=C/C1=CC2=C(C(=O)C3(C(C2=CO1)C(C(=O)O3)C(=O)C(C)C(C)O)C)Cl
WCWUXEGQKLTGDX,aromatic_rich_polycycle,0,2,0.0,1.0,0.1937500014901161,False,0.2467532455921173,BQXQGZPYHWWCEB,CC(C)NCC(COC1=CC=CC2=C1C3=CC=CC=C3N2)O,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OC[C@@H](C)O)C
IDGNCVHQDDOPND,aromatic_rich_polycycle,11,2,0.0,0.5,0.6504219472408295,False,0.24731183052062988,HUNXMJYCHXQEGX,CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C,CCC1=CC2=C(C=C1C3=CN(N=C3)CC(=O)N(C)C)C(C4=C(C2=O)C5=C(N4)C=C(C=C5)C#N)(C)C
AAHDJEGSJGYRGS,other_midsize,11,4,0.0,1.0,0.2508415132761001,False,0.25,UXNRHIJPZNNDDJ,COC1=CC=CC(=C1)C(=O)N[C@H]2C[C@]([C@H]3[C@@H]2[C@@H]3C(=O)O)(C(=O)O)N,C1C=CNC[C@@H]([C@H]1C2(CC(=O)/C(=C(/C3=C(C=CC=C3O)C(=O)O)\O)/C(=C2)O)C(=O)O)NC(=O)C4=CC=C(C=C4)O
JOKBBQPBIIZMJV,polycyclic_aliphatic_like,1,5,0.0,1.0,0.237203812599182,False,0.25,PCRIYRYJISADPS,CC1C2C(CC3C2(CCC4C3C(C(=O)C5(C4(C(C(C(C5O)O)O)O)C)O)O)C)OC16CCC(=C)CO6,CC1CC2C(C2(C)C)C3C=C4COC(OC4C56C1(C3=O)C=C(C5OC(O6)(C)C)C)(C)C
MOLPUWBMSBJXER,polycyclic_aliphatic_like,1,7,0.0,1.0,0.3960576100008828,False,0.25,BILZREJNQHDKIP,CC1[C@H]([C@H](C2[C@@]3([C@]1([C@H](C(=O)O[C@@H]3CC4[C@@]2([C@@H]([C@H](CC4(C)O)O)O)C)O)O)C)O)O,CC(C)(C)C1(CC2C3(C14C(C(=O)OC4OC3=O)O)CC(=O)O2)O
SCYRNRIZFGMUSB,other_macrocycle,3,1,0.0,1.0,0.7129629850387573,False,0.25,PVEVXUMVNWSNIG,CCCCC1C(C(OC(=O)C(C(OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C,C[C@H]1[C@@H](OC(=O)C2=CSC(=N2)[C@@H](COC(=O)C3=CSC(=N3)[C@@H](OC1=O)C(C)C)OC(=O)C[C@H]([C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)OC(=O)C)CCCC(C)(Cl)Cl
