target_inchi_key,spectra,exact_top1,exact_top10,tanimoto_top10,mist_tanimoto,formula_success,bad_low_tanimoto_share,first_smiles,chem_class,cluster,tsne_x,tsne_y,pca_x,pca_y,mol_wt,exact_mol_wt,heavy_atoms,hetero_atoms,hetero_ratio,n_count,o_count,s_count,p_count,halogen_count,ring_count,aromatic_ring_count,aliphatic_ring_count,max_ring_size,macrocycle_count,rotatable_bonds,hba,hbd,tpsa,logp,fraction_csp3,chiral_centers,amide_count,ester_count,carboxyl_count,ether_count,hydroxyl_count,sulfonamide_count,phosphate_count,bertz_complexity,scaffold_heavy_atoms,scaffold_ring_count,max_train_tanimoto_including_exact,max_train_tanimoto_excluding_exact,nearest_train_inchikey,nearest_train_smiles,nearest_train_formula,nearest_train_tanimoto,nearest_nonself_train_inchikey,nearest_nonself_train_smiles,nearest_nonself_train_formula,nearest_nonself_train_tanimoto,exact_in_train,nn_ge_085,nn_ge_070,nn_ge_050,train_coverage_bin,test,train,val
AAEAWLCVAIUTBJ,3,0.0,0.0,0.2479886735479036,0.2979275335868199,1.0,1.0,CCC1=C(C(=C(N=C1C)SCCOC2=CC=CC=C2)C#N)C,small_heteroaromatic,11,-3.0092075,-21.47711,0.60911995,-0.32754016,312.438,312.12963426000005,22,4,0.1818181818181818,2,1,1,0,0,2,2,0,6,0,6,4,0,45.91,4.303620000000003,0.3333333333333333,0,0,0,0,1,0,0,0,677.7218909847894,16,2,0.3382352888584137,0.3382352888584137,KIEQQZZDWUNUQK,CCC1=C(C(=NC(=C1C#N)S[C@H](C2=CC=CC=C2)C(=O)N)N(C)C)C#N,C19H19N5OS,0.3382352888584137,KIEQQZZDWUNUQK,CCC1=C(C(=NC(=C1C#N)S[C@H](C2=CC=CC=C2)C(=O)N)N(C)C)C#N,C19H19N5OS,0.3382352888584137,False,False,False,False,ood_lt_0.50,3,0,0
AAHDJEGSJGYRGS,4,0.0,0.0,0.2086714953184127,0.2508415132761001,1.0,1.0,C1C=CNC[C@@H]([C@H]1C2(CC(=O)/C(=C(/C3=C(C=CC=C3O)C(=O)O)\O)/C(=C2)O)C(=O)O)NC(=O)C4=CC=C(C=C4)O,other_midsize,11,-23.267002,20.710548,-0.34583902,0.8088735,550.5200000000003,550.158745032,40,12,0.3,2,10,0,0,0,4,2,2,7,0,6,9,8,213.72,2.4726000000000004,0.2142857142857142,3,1,0,2,0,6,0,0,1474.4078389082308,30,4,0.25,0.25,UXNRHIJPZNNDDJ,COC1=CC=CC(=C1)C(=O)N[C@H]2C[C@]([C@H]3[C@@H]2[C@@H]3C(=O)O)(C(=O)O)N,C16H18N2O6,0.25,UXNRHIJPZNNDDJ,COC1=CC=CC(=C1)C(=O)N[C@H]2C[C@]([C@H]3[C@@H]2[C@@H]3C(=O)O)(C(=O)O)N,C16H18N2O6,0.25,False,False,False,False,ood_lt_0.50,4,0,0
AAHNBILIYONQLX,3,0.0,0.0,0.5144589593013128,0.6249748766422272,1.0,0.3333333333333333,CC1=CN(C=N1)C2=C(C=C(C=C2)C3=CN(N=N3)C4CCC5=C(C=CC=C5F)N(C4=O)CC(F)(F)F)OC,aromatic_rich_polycycle,8,15.194369,-35.60762,1.0543295,-0.7801151,514.4830000000002,514.1740368239999,37,12,0.3243243243243243,6,2,0,0,4,5,4,1,7,0,5,5,0,78.07000000000001,4.669720000000004,0.28,1,1,0,0,1,0,0,0,1461.6356464842816,28,5,0.3191489279270172,0.3191489279270172,QBJVKQMFLLMSJR,CC1=CN(C=N1)CCCNC2=C(C=CC=C2F)C3=CC(=C(C=C3)OC)OC,C21H24FN3O2,0.3191489279270172,QBJVKQMFLLMSJR,CC1=CN(C=N1)CCCNC2=C(C=CC=C2F)C3=CC(=C(C=C3)OC)OC,C21H24FN3O2,0.3191489279270172,False,False,False,False,ood_lt_0.50,3,0,0
ABSGSRABKMESPA,4,0.5,0.75,0.8984375,0.6655599996447563,1.0,0.0,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)NC3=NC4=CC=CC=C4S3,aromatic_rich_polycycle,0,1.433505,-1.7711002,1.1921659,0.63215405,370.39400000000006,370.0848093080001,26,10,0.3846153846153846,6,3,1,0,0,4,4,0,6,0,3,6,1,103.81,0.6820999999999995,0.1875,0,1,0,0,0,0,0,0,1245.851076763031,24,4,0.5901639461517334,0.5901639461517334,QTRXIFVSTWXRJJ,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)NC3=NN=C(C=C3)C4=CC=CC=C4,C19H17N7O3,0.5901639461517334,QTRXIFVSTWXRJJ,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)NC3=NN=C(C=C3)C4=CC=CC=C4,C19H17N7O3,0.5901639461517334,False,False,False,True,weak_train_0.50_0.70,4,0,0
ABYOVIVWKRGMMX,3,0.0,0.0,0.6963853041330973,0.725547730922699,1.0,0.0,CC1=CC=CC=C1C2=NOC(=N2)C3=C(C=CS3)S(=O)(=O)N(C)C4=CC5=C(C=C4)OCCO5,aromatic_rich_polycycle,2,-7.9525065,40.215202,0.87338006,-0.024755474,469.5440000000003,469.076612708,32,10,0.3125,3,5,2,0,0,5,4,1,6,0,5,8,0,94.76,4.369820000000003,0.1818181818181818,0,0,0,0,2,0,1,0,1394.0794581205384,30,5,0.3012048304080963,0.3012048304080963,OJQVKVZCJCEDFB,C1COC2=C(O1)C=CC(=C2)C(=O)NC3=CC4=C(C=C3)OC(=N4)C5=CC=CC=C5Cl,C22H15ClN2O4,0.3012048304080963,OJQVKVZCJCEDFB,C1COC2=C(O1)C=CC(=C2)C(=O)NC3=CC4=C(C=C3)OC(=N4)C5=CC=CC=C5Cl,C22H15ClN2O4,0.3012048304080963,False,False,False,False,ood_lt_0.50,3,0,0
ACCFLVVUVBJNGT,3,0.3333333333333333,0.3333333333333333,0.4443344871203105,0.3862873464822769,1.0,0.6666666666666666,C[C@@H](CN1C2=C3C=C(C=CC3=NC=C2N(C1=O)C)C4=CC(=CN=C4)C(C)(C)O)OC,aromatic_rich_polycycle,0,47.5344,16.919287,0.7096524,-0.8769055,406.4860000000001,406.200490692,30,7,0.2333333333333333,4,3,0,0,0,4,4,0,6,0,5,5,1,82.17,3.212500000000002,0.3478260869565217,1,0,0,0,1,1,0,0,1297.77681525326,20,4,0.36666667461395264,0.36666667461395264,BMMXYEBLEBULND,CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC,C28H25F3N6O2,0.36666667461395264,BMMXYEBLEBULND,CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC,C28H25F3N6O2,0.36666667461395264,False,False,False,False,ood_lt_0.50,3,0,0
ACGPSJNQVVFEGB,2,0.0,0.0,0.3117647171020508,0.3165693283081054,1.0,1.0,CC1=C(C=C2C(=N1)OC(=N2)C3=CC=CC=C3)NC(=O)C4=COC=C4,aromatic_rich_polycycle,11,-4.2244406,26.221552,1.1946568,0.22672503,319.32000000000005,319.095691276,24,6,0.25,3,3,0,0,0,4,4,0,6,0,3,5,1,81.16000000000001,4.043520000000002,0.0555555555555555,0,1,0,0,0,0,0,0,1004.8645501077189,23,4,0.375,0.375,RLRSHTJBIQRNDX,C1=CC=C2C(=C1)N=C(O2)C3=CC=C(C=C3)NC(=O)C4=CC=C(C=C4)N,C20H15N3O2,0.375,RLRSHTJBIQRNDX,C1=CC=C2C(=C1)N=C(O2)C3=CC=C(C=C3)NC(=O)C4=CC=C(C=C4)N,C20H15N3O2,0.375,False,False,False,False,ood_lt_0.50,2,0,0
ACRHBAYQBXXRTO,7,0.0,0.0,0.4623193315097264,0.6224709280899593,1.0,0.5714285714285714,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)CC3CC4=CC(=C(C=C34)OC)OC,polycyclic_aliphatic_like,8,7.963705,-38.46173,-0.39275905,-0.7508326,468.59400000000034,468.262422252,34,7,0.2058823529411764,2,5,0,0,0,4,2,2,7,0,10,6,0,60.47000000000001,3.3100000000000014,0.5185185185185185,1,1,0,0,4,0,0,0,1038.1658926107257,25,4,0.3731343150138855,0.3731343150138855,MKJIEFSOBYUXJB,CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC,C19H27NO3,0.3731343150138855,MKJIEFSOBYUXJB,CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC,C19H27NO3,0.3731343150138855,False,False,False,False,ood_lt_0.50,7,0,0
ACTIUHUUMQJHFO,79,0.0,0.0,0.6150004954277715,0.9967431629760356,0.6075949367088608,0.0,CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C,other_midsize,3,-22.715776,-9.496672,-1.0327451,-0.5921125,863.3649999999994,862.68391136,63,4,0.0634920634920634,0,4,0,0,0,1,0,1,6,0,31,4,0,52.60000000000001,17.853899999999975,0.559322033898305,0,0,0,0,2,0,0,0,1844.232906471872,8,1,0.9722222089767456,0.9722222089767456,SQQWBSBBCSFQGC,CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CCC=C(C)C,C19H26O4,0.9722222089767456,SQQWBSBBCSFQGC,CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CCC=C(C)C,C19H26O4,0.9722222089767456,False,True,True,True,near_train_ge_0.85,79,0,0
ACWMEHXOHYZXMR,3,0.0,0.0,0.2825011312961578,0.3357024490833282,1.0,1.0,CC(=O)NC1=NC(=CS1)CSC2=NC3=C(C=CC(=C3N2)OC)OC,aromatic_rich_polycycle,8,19.39911,-25.3723,0.4852525,-0.7131805,364.4520000000001,364.066382372,24,9,0.375,4,3,2,0,0,3,3,0,6,0,6,7,2,89.13000000000001,3.287300000000001,0.2666666666666666,0,1,0,0,2,0,0,0,833.8567075673399,16,3,0.4354838728904724,0.4354838728904724,IMLACUXSWYHVFF,COC1=C(C=C(C=C1)C(=O)NC2=NC(=CS2)CC(=O)O)OC,C14H14N2O5S,0.4354838728904724,IMLACUXSWYHVFF,COC1=C(C=C(C=C1)C(=O)NC2=NC(=CS2)CC(=O)O)OC,C14H14N2O5S,0.4354838728904724,False,False,False,False,ood_lt_0.50,3,0,0
ACWOMSOYIIVIRV,3,0.0,0.0,0.7277593413988749,0.7746050159136454,1.0,0.0,CCC(C)N1C2=CC=CC=C2C(=O)N(C3=CN=C(N=C31)NC4=C(C=C(C=C4)C(=O)N5CCC(CC5)N6CCN(CC6)C)OC)C,other_midsize,8,46.729904,-23.889421,0.7455299,0.043090504,612.7790000000001,612.353637268,45,11,0.2444444444444444,8,3,0,0,0,6,3,3,7,0,7,9,1,97.38,4.607400000000004,0.4705882352941176,1,2,0,0,1,0,0,0,1548.142793543534,37,6,0.5714285969734192,0.5714285969734192,DDTPGANIPBKTNU,CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C4C(=N3)N(C5=CC=CC=C5C(=O)N4C)C)OC,C25H29N7O2,0.5714285969734192,DDTPGANIPBKTNU,CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C4C(=N3)N(C5=CC=CC=C5C(=O)N4C)C)OC,C25H29N7O2,0.5714285969734192,False,False,False,True,weak_train_0.50_0.70,3,0,0
ADOGPUFGFUQERC,3,0.0,0.0,0.1639387706915537,0.2480457623799641,1.0,1.0,CN1C(=O)CC(SC1=NC2=CC=C(C=C2)C(=O)OC)C(=O)NCCC3=CC=CC=C3,other_midsize,11,-17.685154,14.915923,-0.20663847,1.0396813,425.5100000000002,425.140927216,30,8,0.2666666666666666,3,4,1,0,0,3,2,1,6,0,6,6,1,88.07,2.783500000000001,0.2727272727272727,1,2,1,0,1,0,0,0,944.6148235333792,25,3,0.3552631437778473,0.3552631437778473,GZFBPKGBJPZXAM,CCN=C1N(C(=O)CC(S1)C(=O)NC2=CC=CC=C2OC)CC,C16H21N3O3S,0.3552631437778473,GZFBPKGBJPZXAM,CCN=C1N(C(=O)CC(S1)C(=O)NC2=CC=CC=C2OC)CC,C16H21N3O3S,0.3552631437778473,False,False,False,False,ood_lt_0.50,3,0,0
ADUZOYYYNWLSTK,3,0.0,0.0,0.1883880396684011,0.2738315959771474,1.0,1.0,CN1C=C(C=N1)C2=CN=C(N=C2)OC3CCN(CC3)C(=O)C4=CC5=C(C=C4)C(=O)N(N5C)C,aromatic_rich_polycycle,4,13.011501,3.500666,0.5729109,-0.51657087,447.49900000000025,447.20188766,33,10,0.303030303030303,7,3,0,0,0,5,4,1,6,0,4,6,0,100.07000000000002,1.7510999999999997,0.3478260869565217,0,1,0,0,1,0,0,0,1375.5682970414507,30,5,0.33766233921051025,0.33766233921051025,OFOWHYVEDKCEED,CC1=CSC(=C1)C(=O)N2CCC(C2)OC3=NC=C(C=N3)Cl,C14H14ClN3O2S,0.33766233921051025,OFOWHYVEDKCEED,CC1=CSC(=C1)C(=O)N2CCC(C2)OC3=NC=C(C=N3)Cl,C14H14ClN3O2S,0.33766233921051025,False,False,False,False,ood_lt_0.50,3,0,0
ADZBMFGQQWPHMJ,3,0.0,0.0,0.3401738454898198,0.3391131659348805,1.0,0.6666666666666666,CNC(=O)C1=NC=CC(=C1)OC2=CC3=C(C=C2)N=C(S3)N[C@@H]4CCCC[C@H]4O,small_heteroaromatic,4,13.024697,-18.43614,0.4600462,-0.92596644,398.48800000000017,398.141261564,28,8,0.2857142857142857,4,3,1,0,0,4,3,1,6,0,5,7,3,96.37,3.558600000000001,0.35,2,1,0,0,1,1,0,0,990.4961814885592,23,4,0.375,0.375,MVUPJRHPAMCBQJ,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=C(C=CC(=C3)C(C(F)(F)F)(C(F)(F)F)F)F,C23H16F8N4O3,0.375,MVUPJRHPAMCBQJ,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=C(C=CC(=C3)C(C(F)(F)F)(C(F)(F)F)F)F,C23H16F8N4O3,0.375,False,False,False,False,ood_lt_0.50,3,0,0
AECDBHGVIIRMOI,3,0.0,0.0,0.1703515201807022,0.2321937332550684,1.0,1.0,C1CN(C1)CC2CC(C2)N3C=C(C4=C(N=CN=C43)N)C5=CC(=CC=C5)OCC6=CC=CC=C6,aromatic_rich_polycycle,2,19.66801,34.865925,0.9259272,0.17434177,439.56300000000016,439.237210548,33,6,0.1818181818181818,5,1,0,0,0,6,4,2,6,0,7,5,1,69.2,4.916300000000004,0.3333333333333333,0,0,0,0,1,0,0,0,1258.2481554191047,32,6,0.5,0.5,FMETVQKSDIOGPX,C1CCC(C1)N2C=C(C3=C(N=CN=C32)N)C4=CC=C(C=C4)OC5=CC=CC=C5,C23H22N4O,0.5,FMETVQKSDIOGPX,C1CCC(C1)N2C=C(C3=C(N=CN=C32)N)C4=CC=C(C=C4)OC5=CC=CC=C5,C23H22N4O,0.5,False,False,False,True,weak_train_0.50_0.70,3,0,0
AERWTVOXUHXGAE,3,0.0,0.0,0.2176115612188975,0.3160825471083322,1.0,1.0,CC1C2=NC(=C(O2)C)C(=O)NC(C3=NC(=CS3)C(=O)NC(C4=NC(=CS4)C(=O)N1)CCSC)C,cyclic_peptide_like,2,-37.14427,-4.731181,-0.43274346,0.13326499,520.6620000000003,520.102116248,34,13,0.3823529411764705,6,4,3,0,0,4,3,1,18,1,3,10,3,139.11,3.4156200000000023,0.4285714285714285,3,3,0,0,0,0,0,0,1218.932920660678,27,4,0.31111112236976624,0.31111112236976624,LMWDPSXUGSTACD,CC[C@@H](C[C@@H]1[C@@H](/C=C(/C(=O)N[C@H](C2=NC(=CS2)C(=O)N[C@@H](C(=O)O1)CC3=CC=CC=C3)C(C)C)\C)C)O,C28H37N3O5S,0.31111112236976624,LMWDPSXUGSTACD,CC[C@@H](C[C@@H]1[C@@H](/C=C(/C(=O)N[C@H](C2=NC(=CS2)C(=O)N[C@@H](C(=O)O1)CC3=CC=CC=C3)C(C)C)\C)C)O,C28H37N3O5S,0.31111112236976624,False,False,False,False,ood_lt_0.50,3,0,0
AEUAVVIPDJTEFS,9,0.0,0.0,0.302557701865832,0.3177036576800876,0.1111111111111111,1.0,C=C(CCO)C(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OCCC(=C)C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OCCC(=C)C(=O)OC3COC(C(C3O)O)COC(=O)C(=C)CCO)O)O)O)O)O)O,glycoside_or_sugar_rich,5,-39.720562,-37.881264,-2.3750007,-1.2224237,880.8430000000006,880.3212380520002,61,23,0.3770491803278688,0,23,0,0,0,3,0,3,6,0,23,23,10,353.65000000000003,-4.933399999999985,0.6842105263157895,14,0,4,0,9,10,0,0,1534.672129420892,35,3,1.0,1.0,JGCNXPIMJMUVKE,C=C(CCO)C(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OCCC(=C)C(=O)OC2COC(C(C2O)O)COC(=O)C(=C)CCO)O)O)O,C27H40O16,1.0,JGCNXPIMJMUVKE,C=C(CCO)C(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OCCC(=C)C(=O)OC2COC(C(C2O)O)COC(=O)C(=C)CCO)O)O)O,C27H40O16,1.0,False,True,True,True,near_train_ge_0.85,9,0,0
AEYRDFZNOFKAPT,3,0.0,0.0,0.2887268016735712,0.3373822967211404,1.0,1.0,CC1=C(SC(=N1)C)CN2CCN(C(=O)C2)C3=CC(=NC=C3)OC,small_heteroaromatic,2,19.145872,27.790962,1.0610785,-1.1410173,332.42900000000003,332.13069688,23,7,0.3043478260869565,4,2,1,0,0,3,2,1,6,0,4,6,0,58.56,2.01234,0.4375,0,1,0,0,1,0,0,0,715.8558402608472,19,3,0.3382352888584137,0.3382352888584137,JSBWQYQUSDYTOU,CC1=NC(=CS1)CN2CCN(CC2)C3=CC(=NC=N3)OC,C14H19N5OS,0.3382352888584137,JSBWQYQUSDYTOU,CC1=NC(=CS1)CN2CCN(CC2)C3=CC(=NC=N3)OC,C14H19N5OS,0.3382352888584137,False,False,False,False,ood_lt_0.50,3,0,0
AFOKREIUUQFDNW,3,0.0,0.0,0.331102708975474,0.3645939230918884,1.0,1.0,C1CCN(CC1)C2=C(C=C(C=C2)C(=O)NC(=S)NC3=NC=C(C=C3)Cl)[N+](=O)[O-],small_heteroaromatic,4,28.605402,-6.892605,1.2755227,-0.3702837,419.89400000000006,419.081888116,28,10,0.3571428571428571,5,3,1,0,1,3,2,1,6,0,4,6,2,100.4,3.7603000000000018,0.2777777777777778,0,1,0,0,0,0,0,0,900.594125560908,24,3,0.3684210479259491,0.3684210479259491,WYOJSEWKHHQPSG,COC1=CC(=CC(=C1OC)OC)C(=O)NC(=S)NC2=C(C(=CC=C2)Cl)N3CCCC3,C21H24ClN3O4S,0.3684210479259491,WYOJSEWKHHQPSG,COC1=CC(=CC(=C1OC)OC)C(=O)NC(=S)NC2=C(C(=CC=C2)Cl)N3CCCC3,C21H24ClN3O4S,0.3684210479259491,False,False,False,False,ood_lt_0.50,3,0,0
