name	split
MassSpecGymID0000001	ignore
MassSpecGymID0000002	ignore
MassSpecGymID0000003	ignore
MassSpecGymID0000004	ignore
MassSpecGymID0000005	ignore
MassSpecGymID0000006	ignore
MassSpecGymID0000007	ignore
MassSpecGymID0000008	ignore
MassSpecGymID0000009	ignore
MassSpecGymID0000010	ignore
MassSpecGymID0000011	ignore
MassSpecGymID0000012	ignore
MassSpecGymID0000013	ignore
MassSpecGymID0000014	ignore
MassSpecGymID0000015	ignore
MassSpecGymID0000016	ignore
MassSpecGymID0000017	ignore
MassSpecGymID0000018	ignore
MassSpecGymID0000019	ignore
MassSpecGymID0000020	ignore
MassSpecGymID0000021	ignore
MassSpecGymID0000022	ignore
MassSpecGymID0000023	ignore
MassSpecGymID0000026	ignore
MassSpecGymID0000027	ignore
MassSpecGymID0000032	ignore
MassSpecGymID0000033	ignore
MassSpecGymID0000035	ignore
MassSpecGymID0000036	ignore
MassSpecGymID0000037	ignore
MassSpecGymID0000038	ignore
MassSpecGymID0000039	ignore
MassSpecGymID0000040	ignore
MassSpecGymID0000041	ignore
MassSpecGymID0000043	ignore
MassSpecGymID0000044	ignore
MassSpecGymID0000045	ignore
MassSpecGymID0000046	ignore
MassSpecGymID0000047	ignore
MassSpecGymID0000048	ignore
MassSpecGymID0000049	ignore
MassSpecGymID0000050	ignore
MassSpecGymID0000052	ignore
MassSpecGymID0000053	ignore
MassSpecGymID0000054	ignore
MassSpecGymID0000055	ignore
MassSpecGymID0000056	ignore
MassSpecGymID0000057	ignore
MassSpecGymID0000058	ignore
MassSpecGymID0000059	ignore
MassSpecGymID0000060	ignore
MassSpecGymID0000061	ignore
MassSpecGymID0000062	ignore
MassSpecGymID0000063	ignore
MassSpecGymID0000064	ignore
MassSpecGymID0000065	ignore
MassSpecGymID0000066	ignore
MassSpecGymID0000067	ignore
MassSpecGymID0000068	ignore
MassSpecGymID0000069	ignore
MassSpecGymID0000070	ignore
MassSpecGymID0000071	ignore
MassSpecGymID0000072	ignore
MassSpecGymID0000073	ignore
MassSpecGymID0000074	ignore
MassSpecGymID0000075	ignore
MassSpecGymID0000076	ignore
MassSpecGymID0000077	ignore
MassSpecGymID0000078	ignore
MassSpecGymID0000079	ignore
MassSpecGymID0000080	ignore
MassSpecGymID0000081	ignore
MassSpecGymID0000082	ignore
MassSpecGymID0000083	ignore
MassSpecGymID0000084	ignore
MassSpecGymID0000085	ignore
MassSpecGymID0000086	ignore
MassSpecGymID0000087	ignore
MassSpecGymID0000088	ignore
MassSpecGymID0000089	ignore
MassSpecGymID0000090	ignore
MassSpecGymID0000091	ignore
MassSpecGymID0000092	ignore
MassSpecGymID0000094	ignore
MassSpecGymID0000095	ignore
MassSpecGymID0000096	ignore
MassSpecGymID0000097	ignore
MassSpecGymID0000098	ignore
MassSpecGymID0000099	ignore
MassSpecGymID0000102	ignore
MassSpecGymID0000103	ignore
MassSpecGymID0000104	ignore
MassSpecGymID0000105	ignore
MassSpecGymID0000106	ignore
MassSpecGymID0000107	ignore
MassSpecGymID0000108	ignore
MassSpecGymID0000109	ignore
MassSpecGymID0000110	ignore
MassSpecGymID0000111	ignore
MassSpecGymID0000112	ignore
MassSpecGymID0000113	ignore
MassSpecGymID0000115	ignore
MassSpecGymID0000117	ignore
MassSpecGymID0000119	ignore
MassSpecGymID0000120	ignore
MassSpecGymID0000121	ignore
MassSpecGymID0000122	ignore
MassSpecGymID0000123	ignore
MassSpecGymID0000124	ignore
MassSpecGymID0000125	ignore
MassSpecGymID0000126	ignore
MassSpecGymID0000127	ignore
MassSpecGymID0000128	ignore
MassSpecGymID0000129	ignore
MassSpecGymID0000130	ignore
MassSpecGymID0000131	ignore
MassSpecGymID0000133	ignore
MassSpecGymID0000134	ignore
MassSpecGymID0000135	ignore
MassSpecGymID0000136	ignore
MassSpecGymID0000137	ignore
MassSpecGymID0000138	ignore
MassSpecGymID0000139	ignore
MassSpecGymID0000140	ignore
MassSpecGymID0000141	ignore
MassSpecGymID0000142	ignore
MassSpecGymID0000143	ignore
MassSpecGymID0000144	ignore
MassSpecGymID0000146	ignore
MassSpecGymID0000147	ignore
MassSpecGymID0000148	ignore
MassSpecGymID0000149	ignore
MassSpecGymID0000150	ignore
MassSpecGymID0000151	ignore
MassSpecGymID0000152	ignore
MassSpecGymID0000153	ignore
MassSpecGymID0000154	ignore
MassSpecGymID0000155	ignore
MassSpecGymID0000156	ignore
MassSpecGymID0000158	ignore
MassSpecGymID0000160	ignore
MassSpecGymID0000164	ignore
MassSpecGymID0000165	ignore
MassSpecGymID0000167	ignore
MassSpecGymID0000168	ignore
MassSpecGymID0000169	ignore
MassSpecGymID0000170	ignore
MassSpecGymID0000171	ignore
MassSpecGymID0000172	ignore
MassSpecGymID0000173	ignore
MassSpecGymID0000174	ignore
MassSpecGymID0000176	ignore
MassSpecGymID0000177	ignore
MassSpecGymID0000178	ignore
MassSpecGymID0000179	ignore
MassSpecGymID0000181	ignore
MassSpecGymID0000185	ignore
MassSpecGymID0000190	ignore
MassSpecGymID0000191	ignore
MassSpecGymID0000192	ignore
MassSpecGymID0000193	ignore
MassSpecGymID0000194	ignore
MassSpecGymID0000195	ignore
MassSpecGymID0000196	ignore
MassSpecGymID0000197	ignore
MassSpecGymID0000198	ignore
MassSpecGymID0000199	ignore
MassSpecGymID0000200	ignore
MassSpecGymID0000201	ignore
MassSpecGymID0000202	ignore
MassSpecGymID0000203	ignore
MassSpecGymID0000204	ignore
MassSpecGymID0000205	ignore
MassSpecGymID0000206	ignore
MassSpecGymID0000207	ignore
MassSpecGymID0000208	ignore
MassSpecGymID0000209	ignore
MassSpecGymID0000210	ignore
MassSpecGymID0000211	ignore
MassSpecGymID0000212	ignore
MassSpecGymID0000213	ignore
MassSpecGymID0000214	ignore
MassSpecGymID0000215	ignore
MassSpecGymID0000216	ignore
MassSpecGymID0000217	ignore
MassSpecGymID0000218	ignore
MassSpecGymID0000219	ignore
MassSpecGymID0000220	ignore
MassSpecGymID0000221	ignore
MassSpecGymID0000222	ignore
MassSpecGymID0000223	ignore
MassSpecGymID0000224	ignore
MassSpecGymID0000226	ignore
MassSpecGymID0000227	ignore
MassSpecGymID0000228	ignore
MassSpecGymID0000229	ignore
MassSpecGymID0000230	ignore
MassSpecGymID0000231	ignore
MassSpecGymID0000232	ignore
MassSpecGymID0000233	ignore
MassSpecGymID0000234	ignore
MassSpecGymID0000235	ignore
MassSpecGymID0000236	ignore
MassSpecGymID0000237	ignore
MassSpecGymID0000238	ignore
MassSpecGymID0000239	ignore
MassSpecGymID0000240	ignore
MassSpecGymID0000241	ignore
MassSpecGymID0000242	ignore
MassSpecGymID0000243	ignore
MassSpecGymID0000244	ignore
MassSpecGymID0000245	ignore
MassSpecGymID0000246	ignore
MassSpecGymID0000247	ignore
MassSpecGymID0000248	ignore
MassSpecGymID0000249	ignore
MassSpecGymID0000250	ignore
MassSpecGymID0000251	ignore
MassSpecGymID0000252	ignore
MassSpecGymID0000253	ignore
MassSpecGymID0000254	ignore
MassSpecGymID0000256	ignore
MassSpecGymID0000257	ignore
MassSpecGymID0000258	ignore
MassSpecGymID0000259	ignore
MassSpecGymID0000260	ignore
MassSpecGymID0000261	ignore
MassSpecGymID0000262	ignore
MassSpecGymID0000263	ignore
MassSpecGymID0000264	ignore
MassSpecGymID0000266	ignore
MassSpecGymID0000268	ignore
MassSpecGymID0000269	ignore
MassSpecGymID0000270	ignore
MassSpecGymID0000271	ignore
MassSpecGymID0000272	ignore
MassSpecGymID0000273	ignore
MassSpecGymID0000274	ignore
MassSpecGymID0000275	ignore
MassSpecGymID0000276	ignore
MassSpecGymID0000277	ignore
MassSpecGymID0000278	ignore
MassSpecGymID0000279	ignore
MassSpecGymID0000280	ignore
MassSpecGymID0000281	ignore
MassSpecGymID0000282	ignore
MassSpecGymID0000283	ignore
MassSpecGymID0000284	ignore
MassSpecGymID0000286	ignore
MassSpecGymID0000287	ignore
MassSpecGymID0000288	ignore
MassSpecGymID0000289	ignore
MassSpecGymID0000291	ignore
MassSpecGymID0000292	ignore
MassSpecGymID0000293	ignore
MassSpecGymID0000294	ignore
MassSpecGymID0000295	ignore
MassSpecGymID0000296	ignore
MassSpecGymID0000297	ignore
MassSpecGymID0000298	ignore
MassSpecGymID0000299	ignore
MassSpecGymID0000300	ignore
MassSpecGymID0000301	ignore
MassSpecGymID0000303	ignore
MassSpecGymID0000304	ignore
MassSpecGymID0000305	ignore
MassSpecGymID0000306	ignore
MassSpecGymID0000307	ignore
MassSpecGymID0000308	ignore
MassSpecGymID0000309	ignore
MassSpecGymID0000310	ignore
MassSpecGymID0000311	ignore
MassSpecGymID0000312	ignore
MassSpecGymID0000313	ignore
MassSpecGymID0000314	ignore
