target_smiles,target_inchi_key,num_predictions,exact_match_top1,exact_match_top10,tanimoto_top1,tanimoto_top10,tanimoto_mean,mist_tanimoto,spec_name,proposal_smiles,proposal_source,formula_matches_collected,total_generated,total_valid,total_formula_matched,generation_time,top_prediction_smiles
CC#CCOC(=O)C1=C(N=C2C(=C1N)C3=C(S2)CC(CC3)O)C,JDTZAGLGBRRCJT,10,0.0,0.0,0.1034482792019844,0.13953489065170288,0.09794694557785988,0.15662650763988495,MassSpecGymID0399368,COc1ccc([C@H]2SC(=O)N(C)c3nc(C)cc(OC)c32)cc1,formula,10,47,39,10,4.523004055023193,"['COc1ccc([C@H]2SC(=O)N(C)c3nc(C)cc(OC)c32)cc1', 'COc1ccc(C2SCC(=O)N2c2cc(C)nc(OC)c2)cc1', 'COc1ccc(C2SC(=O)N(C)N2c2cccc(OC)c2)cc1', 'COc1ccc(C2SCC(=O)N2Nc2ccccc2OC)cc1', 'COc1ccc(C2Sc3cccc(OC)c3N=C(O)N2C)cc1']"
CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3,JUQLTPCYUFPYKE,10,0.0,1.0,0.9298245906829834,0.9298245906829834,0.687572592496872,0.6164383292198181,MassSpecGymID0399379,Cc1nc2sccn2c(=O)c1CCN1CCCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,formula,10,100,100,2,17.678470611572266,"['Cc1nc2sccn2c(=O)c1CCN1CCCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1', 'Cc1nc2sccn2c(=O)c1CN1CCC(=C(c2ccccc2)c2ccc(F)cc2)CC1', 'Cc1nc2sccn2c(=O)c1CN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1', '[2H]C([2H])([2H])c1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1', 'Cc1nc2c(F)cccn2c(=O)c1CCN1CCC(=C(C2=C3C=C2S3)c2ccc(F)cc2)CC1']"
C=CCN1CC[C@]23[C@@H]4C(=NNC(=O)C5=CC=CC=C5)CC[C@]2([C@H]1CC6=C3C(=C(C=C6)O)O4)O,AKXCFAYOTIEFOH,10,0.0,0.0,0.0803571417927742,0.08771929889917374,0.07202746532857418,0.1770833283662796,MassSpecGymID0399383,COc1ccc(C(C)NCn2nc(-c3ccc(OC)c(OC)c3)c3ccccc3c2=O)cc1,formula,10,100,96,10,17.316002130508423,"['COc1ccc(C(C)NCn2nc(-c3ccc(OC)c(OC)c3)c3ccccc3c2=O)cc1', 'COc1ccc(-c2cn(-c3ccc(OC)c(OC)c3)c(=O)c3c(NC(C)N)cccc23)cc1', 'COc1ccc(-c2nn(-c3ccc(OC)c(NC(C)C)c3)c(=O)c3c(OC)cccc23)cc1', 'COc1ccc(-c2nn(COc3ccc(NC(C)C)c(OC)c3)c(=O)c3ccccc23)cc1', 'COc1ccc(-c2nn(-c3ccc(OC)c(NC(C)C)c3)c(=O)c3cccc(OC)c23)cc1']"
CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,FFTVPQUHLQBXQZ,10,0.0,0.0,0.4743589758872986,0.5131579041481018,0.3907022446393967,0.4691357910633087,MassSpecGymID0399409,CN(C)c1ccc(O)c2c1C[C@H]1C[C@@H]3[C@H](N(C)C)C(=O)C([C](N)[O])C(=O)[C@@]3(O)C(=O)C1C2=O,formula,10,100,100,16,19.683329582214355,"['CN(C)c1ccc(O)c2c1C[C@H]1C[C@@H]3[C@H](N(C)C)C(=O)C([C](N)[O])C(=O)[C@@]3(O)C(=O)C1C2=O', 'CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@@H](N(C)C)C(=O)C(C(=N)O)C(=O)[C@@]3(O)C(=O)C1C2=O', 'CN(C)c1ccc(O)c2c1C[C@@H]1C[C@@H]3[C@H](N(C)C)C(=O)/C(=C(\\N)O)C(=O)[C@@]3(O)C(=O)C1C2=O', 'CN(C)c1ccc(O)c2c1C[C@H]1C[C@@H]3[C@@H](N(C)C)C(=O)C=C(NO)C(=O)[C@@]3(O)C(=O)C1C2=O', '[3H]N([3H])c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)C(C(N)=C(C)O)=C(O)[C@@]3(O)C(=O)C1C2=O']"
COC1=C(C=C(C=C1)C(=O)NCC2=CN=CC=C2)C(=O)NCC3=CN=CC=C3,KYWCWBXGRWWINE,10,0.0,0.0,0.13953489065170288,0.15584415197372437,0.14795018434524537,0.22058823704719543,MassSpecGymID0399434,CC1=C(C)N(CC(=O)Nc2ccc3onc(-c4ccccc4)c3c2)CC(=O)N1,formula,10,100,100,3,12.221932649612427,"['CC1=C(C)N(CC(=O)Nc2ccc3onc(-c4ccccc4)c3c2)CC(=O)N1', 'CC(=O)Nc1ccc(-c2cc3nc(=O)onc3cc2-c2ccccc2)cc1', 'CC(C)c1cnc(=O)n(CC(=O)Nc2ccc3onc(-c4ccccc4)c3c2)c1', 'CC1=NC(=O)N(CC(=O)Nc2ccc3onc(-c4ccccc4)c3c2)C1C', 'O=C(CNc1ccccn1)Nc1ccc2oc(=O)cc(-c3ccccc3)c2c1']"
C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3,KUBONGDXTUOOLM,10,0.0,0.0,0.1666666716337204,0.1666666716337204,0.14513812065124512,0.21621622145175934,MassSpecGymID0399458,CC(C)ON1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1,formula,10,100,100,9,11.801594018936157,"['CC(C)ON1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1', '[CH]C(C)ON1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1', 'CC(C)O[C]N1CCN(CCN2c3ccccc3Sc3ccccc32)CC1', 'CC([CH+][O])N1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1', 'CC(C)[C+]=[O+]N1CCN(CCN2c3ccccc3Sc3ccccc32)CC1']"
CC(C)(C1=CC=C(C=C1)[C@@H](CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,RWTNPBWLLIMQHL,10,0.0,0.0,0.24242424964904785,0.460317462682724,0.2436361789703369,0.3617021143436432,MassSpecGymID0399474,CC1(C)O[C@]23CC[C@H]4CC(=CC(=O)c5[nH]c(C(C)(O)[C@@H]6CCN6C[C@H](O)c6ccccc6)c(c52)C3)[C@H]41,formula,10,100,100,5,22.62441396713257,"['CC1(C)O[C@]23CC[C@H]4CC(=CC(=O)c5[nH]c(C(C)(O)[C@@H]6CCN6C[C@H](O)c6ccccc6)c(c52)C3)[C@H]41', '[2H]C([2H])([2H])C([2H])([2H])[C@@H]1CC2=CC(=O)[C@@H](C)CC[C@@]3(O)c4[nH]c5c(C[C@@H](O)c6ccccc6)c4C[C@H]3CC[C@]1(C)[C@H]2C5', 'Cc1[nH]c2c3c1C(C)(C)C(C3)C[C@H]1CC[C@]3(O)[C@@H](CC[C@]13C[C@@H](O)c1ccccc1)[C@@]2(O)c1cc1=O', 'CC1(C)OC23C4CCc5c([nH]c6c5C2(C)C(C6)C4)C1(O)C(CCC(O)c1ccccc1)[C@@]1(C)CCC(=O)C31', 'C=C[C@@](C)(O)[C@H]1CCN(CCC(O)c2ccccc2)C1']"
C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,SGKRLCUYIXIAHR,10,0.0,0.0,0.5890411138534546,0.6428571343421936,0.4780677318572998,0.5753424763679504,MassSpecGymID0399483,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4C[C@@H]3C[C@H]2[C@@H]1O,formula,10,80,80,19,14.534095764160156,"['CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4C[C@@H]3C[C@H]2[C@@H]1O', 'CN(C)[C@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4C[C@H](O)[C@H]3C[C@@H]12', 'CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@H](O)C[C@H]3C[C@H]12', 'CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@@H]3C[C@@H]12', 'CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](O)(CC[C@H]12)C3']"
CN(C(CN1CCCC1)C2=CC(=CC=C2)OCC(=O)O)C(=O)CC3=CC(=C(C=C3)Cl)Cl,JKYJSFISYHSNOE,10,0.0,0.0,0.23076923191547394,0.23232322931289673,0.20210206955671312,0.3037974536418915,MassSpecGymID0399502,CN1CCC[C@](C)(c2ccc(OCC(=O)NC(=O)COc3ccc(Cl)cc3Cl)cc2)C1,formula,10,45,38,10,7.339828252792358,"['CN1CCC[C@](C)(c2ccc(OCC(=O)NC(=O)COc3ccc(Cl)cc3Cl)cc2)C1', 'CN1CCCC(C)(c2cccc(CNCC(=O)COc3ccc(Cl)cc3Cl)c2)C(=O)O1', 'CC1(CCN2CC2)CCC1Oc1ccc(ONC(=O)COc2ccc(Cl)cc2Cl)cc1', 'CN1CCC1Oc1cccc(C2CN(C)C(C)(C(=O)COc3ccc(Cl)cc3Cl)O2)c1', 'CC(NC1(C)CCCN1CC(=O)COc1ccc(Cl)cc1Cl)(c1ccccc1)C1OO1']"
C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N,WZPBZJONDBGPKJ,10,0.0,0.0,0.6811594367027283,0.6811594367027283,0.40120902955532073,0.949999988079071,MassSpecGymID0399506,CO/N=C(\C(=O)NC1C(=O)N(S(=O)(=O)O)[C@H]1C)c1csc([C@](C)(N)C(=O)O)n1,formula,10,47,36,10,6.919234037399292,"['CO/N=C(\\C(=O)NC1C(=O)N(S(=O)(=O)O)[C@H]1C)c1csc([C@](C)(N)C(=O)O)n1', 'CO/N=C(\\C(=O)NC1C(=O)N(S(=O)(=O)C(C)C(=O)O)C1C)c1csc(NO)n1', 'C=C(C(=O)O)N1C(=O)C(NC(=O)C(=NOC)c2csc(N)n2)C(C)O[SH]1(=O)O', 'CC/N=C(/C(=O)NC1C(=O)N(OS(=O)(=O)O)C1C)c1csc(N=C(O)OC)n1', 'CON=C(C(=O)NN1C(=O)C(S(=O)(=O)OC)=C(O)C(O)C1C)c1csc(N)n1']"
