name,target_formula,bad_ranks,pred1
MassSpecGymID0000201,C45H57N3O9,pred_smiles_8;pred_smiles_9;pred_smiles_10,CCC(C)C1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C(C)C(=O)C(Cc2ccccc2)COC(=O)C(Cc2ccccc2)N(C)C(=O)N1C
MassSpecGymID0000202,C45H57N3O9,pred_smiles_10,CC[C@H](C)[C@H]1OC(=O)[C@H](C(C)C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](Cc2ccccc2)OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@@H](c2ccccc2)OC1=O
MassSpecGymID0000203,C45H57N3O9,pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CC[C@H](C)[C@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C(C)C)OC(=O)[C@@H]([C@@H](C)CC)N(Cc2ccccc2)C(=O)OC(=O)[C@H](Cc2ccccc2)N(C)C1=O
MassSpecGymID0000204,C45H57N3O9,pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CC[C@H](C)[C@@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)N(C)[C@@H](c2ccccc2)C(=O)O[C@H](C(C)C)C(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC1=O
MassSpecGymID0000208,C45H57N3O9,pred_smiles_9;pred_smiles_10,CCC(C)C1OC(=O)C(C(C)CC)N(Cc2ccccc2)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C1=O
MassSpecGymID0000213,C45H57N3O9,pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CC[C@H](C)[C@@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)O[C@H](Cc2ccccc2)C(=O)C(O)C(Cc2ccccc2)C(=O)[C@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C1=O
MassSpecGymID0000215,C45H57N3O9,pred_smiles_8;pred_smiles_9;pred_smiles_10,CCC(C)C1NC(=O)OC(C(C)C)C(=O)C(Cc2ccccc2)OC(=O)N(C)C(Cc2ccccc2)C(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC1=O
MassSpecGymID0000216,C45H57N3O9,pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CCC(C)C1C(=O)OC(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)OC(c2ccccc2)C(=O)N(C)C(Cc2ccccc2)C(=O)OC(C(C)C)C(=O)N1C
MassSpecGymID0000217,C45H57N3O9,pred_smiles_8,CCC(C)[C@@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)C(Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N[C@H](Cc2ccccc2)C(=O)O[C@@H](C(C)C)C(=O)N1C
MassSpecGymID0000218,C45H57N3O9,pred_smiles_10,CCCC1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C1=O
MassSpecGymID0000222,C45H57N3O9,pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CCC(C)[C@@H]1OC(=O)[C@H](C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)OC(C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O1
MassSpecGymID0000223,C45H57N3O9,pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CCC(C)C1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(Cc2ccccc2)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)NN(C)C(=O)C(C(C)C)OC1=O
MassSpecGymID0000226,C45H57N3O9,pred_smiles_10,CCC(C)C1OC(=O)C(=O)N(C)C(Cc2ccccc2)C(=O)OC(C(C)C)C(=O)N(Cc2ccccc2)C(C(C)CC)OC(=O)C(Cc2ccccc2)N(C)C1=O
MassSpecGymID0000227,C45H57N3O9,pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CC[C@@H](C)[C@H]1C(=O)O[C@H](N)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)[C@@H](CC)OC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@H]1Cc1ccccc1
MassSpecGymID0000228,C45H57N3O9,pred_smiles_9;pred_smiles_10,CCC(C)C1C(=O)OC(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)OC(C)C(=O)OC(Cc2ccccc2)C(=O)N(C)C(Cc2ccccc2)C(=O)N1CC
MassSpecGymID0000229,C45H57N3O9,pred_smiles_8;pred_smiles_9;pred_smiles_10,CC[C@@H](C)[C@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@H](C)CC(=O)O[C@H](Cc2ccccc2)OC(=O)[C@H](C(C)C)N(C)C1=O
MassSpecGymID0000230,C45H57N3O9,pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CCC(C)C1C(=O)OC(Cc2ccccc2)C(=O)N(C)C(Cc2ccccc2)C(=O)OC(C(C)C)C(=O)OC(CC)C(Cc2ccccc2)C(=O)N(C)C(=O)N1C
MassSpecGymID0000231,C45H57N3O9,pred_smiles_10,CCC(C)[C@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](CC)C(=O)O[C@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)N1C
MassSpecGymID0000232,C45H57N3O9,pred_smiles_9;pred_smiles_10,CC[C@H](C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@H](c2ccccc2)C(=O)[C@H](C(C)C)N(C)C(=O)O[C@H](Cc2ccccc2)C(=O)N1C
MassSpecGymID0000235,C45H57N3O9,pred_smiles_8;pred_smiles_9;pred_smiles_10,CC[C@H](C)[C@@H]1OC(=O)[C@H](C(C)C)OC(=O)C(Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](c2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC1=O
MassSpecGymID0000236,C45H57N3O9,pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CC[C@H]1C(=O)[C@@H](OC(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N(C)C1=O
