       exact_match_top1  exact_match_top10  tanimoto_top1  tanimoto_top10  tanimoto_mean  mist_tanimoto  total_generated   total_valid  total_formula_matched  generation_time  formula_matches_collected  num_predictions
count      17082.000000       17082.000000   17082.000000    17082.000000   17082.000000   17082.000000     17082.000000  17082.000000           17082.000000     17082.000000               17082.000000     17082.000000
mean           0.109706           0.123932       0.459838        0.484233       0.369682       0.540670        90.242477     87.968212               7.613804        23.494558                   9.999883         9.999883
std            0.312532           0.329513       0.288394        0.283417       0.200969       0.266282        17.854894     20.482863               6.356619        14.281545                   0.015302         0.015302
min            0.000000           0.000000       0.019231        0.042254       0.038723       0.043796        15.000000     15.000000               0.000000         1.472295                   8.000000         8.000000
1%             0.000000           0.000000       0.092308        0.118362       0.095334       0.127243        32.000000     28.000000               0.000000         3.599774                  10.000000        10.000000
5%             0.000000           0.000000       0.121951        0.146557       0.119445       0.163636        47.000000     41.000000               0.000000         5.920311                  10.000000        10.000000
10%            0.000000           0.000000       0.141414        0.165138       0.135777       0.197687        61.000000     52.000000               1.000000         7.728905                  10.000000        10.000000
25%            0.000000           0.000000       0.200000        0.226804       0.183042       0.279570        90.000000     80.000000               3.000000        11.971133                  10.000000        10.000000
50%            0.000000           0.000000       0.391946        0.419048       0.333610       0.549296       100.000000    100.000000               7.000000        20.020870                  10.000000        10.000000
75%            0.000000           0.000000       0.678571        0.705882       0.531583       0.777778       100.000000    100.000000              10.000000        33.383795                  10.000000        10.000000
90%            1.000000           1.000000       1.000000        1.000000       0.662753       0.902439       100.000000    100.000000              13.000000        41.549797                  10.000000        10.000000
95%            1.000000           1.000000       1.000000        1.000000       0.717903       0.952381       100.000000    100.000000              20.000000        50.502064                  10.000000        10.000000
99%            1.000000           1.000000       1.000000        1.000000       0.809767       1.000000       100.000000    100.000000              32.000000        65.000930                  10.000000        10.000000
max            1.000000           1.000000       1.000000        1.000000       1.000000       1.000000       100.000000    100.000000              56.000000        93.599363                  10.000000        10.000000
