target_smiles,exact_match_top1,exact_match_top10,tanimoto_top1,tanimoto_top10,mist_tanimoto,total_formula_matched,generation_time,n_spectra
C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,0.5,0.5,0.6385558098554611,0.6465501338243484,0.6899033486843109,12.5,20.136104941368103,4
C#CCCCCCC1=NC(=CS1)CC/C(=C\Cl)/C/C=C/Cl,0.0,0.0,0.0481927692890167,0.0641025677323341,0.0704225376248359,10.0,6.081534862518311,1
C(C(=O)O)NC(=O)CN1C2C(NC(=O)N2)NC1=O,0.0,0.0,0.1058136373758316,0.1401340824862321,0.1554816054801146,9.0,4.62673803170522,6
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC3C(C(C(C(O3)OC4(C(C(C(O4)CO)O)O)CO)O)O)O)O)O)O)O)O)O)O,0.0,0.0,0.5254237055778503,0.5254237055778503,0.6792452931404114,5.0,27.075976371765137,1
C(CC(=O)NC(CSSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N,0.0,0.0,0.5248251706361771,0.533559575676918,0.925000011920929,4.5,25.505011916160583,2
C(CC(=O)N[C@@H](CS)C(=O)N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O)[C@@H](C(=O)O)N,0.0,0.0,0.4262295067310333,0.4262295067310333,0.7755101919174194,10.0,21.91133546829224,1
C(CC(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,0.0,0.0,0.616508349776268,0.616508349776268,0.9524755403399467,5.625,26.433326929807663,8
C(CCCN=C(N)NC#N)CCN=C(N)NC#N,0.6666666666666666,0.6666666666666666,0.8030303021272024,0.8030303021272024,0.8472222288449606,10.0,3.139129718144735,3
C(CCl)OP(=O)(OCCCl)OCC(COP(=O)(OCCCl)OCCCl)(CCl)CCl,0.0,0.0,0.44163001396439294,0.44971000064503064,0.91304349899292,2.909090909090909,11.354018796573985,11
C(COP(=O)(O)O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.0,0.0,1.0,1.0,0.9220945193217351,0.15384615384615385,15.801987592990582,13
C(COP(=O)(O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1.0,1.0,1.0,1.0,0.9354563140206866,20.22222222222222,13.27842472659217,36
C(COP(=O)(O)OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.0,0.0,0.8025287389755249,0.8025287389755249,1.0,0.0,27.80769944190979,5
C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)OC[C@@H]3[C@H]([C@@H]([C@H]([C@H](O3)O[C@]4([C@H]([C@@H]([C@H](O4)CO)O)O)CO)O)O)O)O)O)O)O)O)O)O,0.0,0.0,0.5171815901994705,0.6239312887191772,0.618709996342659,1.75,27.030281960964203,4
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O)CO)CO)CO)O)O)O)O,0.0,0.0,0.6956583261489868,0.887948215007782,0.6639335870742797,1.6,26.664052724838257,5
C/C(=C\C(=O)N(CCCC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)N1)CO)CO)CCCN(C(=O)/C=C(\C)/CCO)O)CCCN(C(=O)/C=C(\C)/CCO)O)O)/CCO,0.0,0.0,0.44963768124580383,0.44963768124580383,0.9107142686843872,0.0,76.44515764713287,2
C/C(=C\C(=O)NCCCC1NC(=O)C(NC1=O)CCCNC(=O)/C=C(/CCO)\C)/CCO,0.0,0.0,0.23133045155555007,0.2592957187443971,0.41166824847459793,9.875,10.487616330385208,8
C/C(=C\C1=CC=C(C=C1)O)/C(=O)NC2=CC=C(C=C2)C(=O)NC(C(C#N)OC)C(=O)NC3=CC=C(C=C3)C(=O)NC4=C(C(=C(C=C4)C(=O)NC5=C(C(=C(C=C5)C(=O)O)O)OC)O)OC,0.0,0.0,0.6000000238418579,0.7323943376541138,0.7317073345184326,0.0,61.88868713378906,1
C/C(=C\C1=CC=C(C=C1)O)/C(=O)NC2=CC=C(C=C2)C(=O)NC(C(C(=O)N)OC)C(=O)NC3=CC=C(C=C3)C(=O)NC4=C(C(=C(C=C4)C(=O)NC5=C(C(=C(C=C5)C(=O)O)O)OC)O)OC,0.0,0.0,0.5421686768531799,0.7323943376541138,0.6904761791229248,0.0,61.79575419425965,1
C/C(=C\C1=CC=C(C=C1)O)/C(=O)NC2=CC=C(C=C2)C(=O)NC(CC#N)C(=O)NC3=CC=C(C=C3)C(=O)NC4=C(C(=C(C=C4)C(=O)NC5=C(C(=C(C=C5)C(=O)O)O)OC)O)OC,0.0,0.0,0.7397260069847107,0.7397260069847107,0.8243243098258972,1.0,47.22858357429504,1
C/C(=C\C1=CC=C(C=C1)O)/C(=O)NC2=CC=C(C=C2)C(=O)NC(CC#N)C(=O)NC3=CC=C(C=C3)C(=O)NC4=C(C(=C(C=C4)C(=O)NC5=C(C=C(C=C5)C(=O)O)OC)O)OC,0.0,0.0,0.6253139674663544,0.6253139674663544,0.792682945728302,0.0,50.8065379858017,2
C/C(=C\C1=CC=C(C=C1)O)/C(=O)NC2=CC=C(C=C2)C(=O)N[C@@H](CC#N)C(=O)NC3=CC=C(C=C3)C(=O)NC4=C(C(=C(C=C4)C(=O)NC5=C(C(=C(C=C5)C(=O)O)O)OC)O)OC,0.0,0.0,0.8028169274330139,0.8028169274330139,1.0,0.0,46.134072065353394,1
C/C(=C\C1=CC=C(C=C1)OC(=O)N)/C(=O)NC2=CC=C(C=C2)C(=O)NC(C(C#N)OC)C(=O)NC3=CC=C(C=C3)C(=O)NC4=C(C(=C(C=C4)C(=O)NC5=C(C(=C(C=C5)C(=O)O)O)OC)O)OC,0.0,0.0,0.49444444477558136,0.5816788375377655,0.7011494040489197,0.0,67.3058431148529,2
C/C(=C\C1=CC=C(C=C1)OC(=O)N)/C(=O)NC2=CC=C(C=C2)C(=O)NC(C(C(=O)N)OC)C(=O)NC3=CC=C(C=C3)C(=O)NC4=C(C(=C(C=C4)C(=O)NC5=C(C(=C(C=C5)C(=O)O)O)OC)O)OC,0.0,0.0,0.450980395078659,0.6282051205635071,0.5899999737739563,0.0,77.6655821800232,1
C/C(=C\C1=CC=C(C=C1)OC(=O)N)/C(=O)NC2=CC=C(C=C2)C(=O)NC(CC#N)C(=O)NC3=CC=C(C=C3)C(=O)NC4=C(C(=C(C=C4)C(=O)NC5=C(C(=C(C=C5)C(=O)O)O)OC)O)OC,0.0,0.0,0.7350762486457825,0.735538899898529,0.8717948794364929,1.0,69.1951470375061,2
C/C(=C\C1=CC=C(C=C1)OC)/C(=O)NC2=CC=C(C=C2)C(=O)NC(CC#N)C(=O)NC3=CC=C(C=C3)C(=O)NC4=C(C(=C(C=C4)C(=O)NC5=C(C(=C(C=C5)C(=O)O)O)OC)O)OC,0.0,0.0,0.7777438759803772,0.7826489508152008,0.8947368264198303,0.5,61.257689118385315,2
C/C(=C\C1CC(C(=O)O1)C2CCC34C2(C3)C=CC5C4(C(CC6C5(CC=C7C6(COC(C7)C8=CC=CC=C8)C)C)O)C)/CO,0.0,0.0,0.3539822995662689,0.3706896603107452,0.8111110925674438,4.0,31.41374111175537,1
C/C(=C\C=C\[C@]1([C@@H]2CC[C@H]3CC4=C([C@@]3([C@]2(CC[C@@H]1O)C)C)NC5=C4C=C6C(=C5)C[C@H]7C6=CC(OC7(C)C)(C)C)C)/C(=O)O,0.0,0.0,0.2868852317333221,0.2868852317333221,0.5648148059844971,4.0,27.851308584213257,1
C/C(=C\CC/C=C(/CC/C=C(/CCC(O)C(O)(C)C)\C)\C)/CC/C=C(/CCC(O)C(O)(C)C)\C,0.0,0.0,0.4883720874786377,0.6315789222717285,0.692307710647583,10.0,4.568376541137695,1
C/C(=C\CC/C=C(\C)/CC/C=C(\C)/CCC(C(C)(CO)O)O)/CC/C=C(\C)/CCC(C(C)(C)O)O,0.0,0.0,0.5777778029441833,0.5777778029441833,0.8108108043670654,10.0,4.847808122634888,1
C/C(=C\CCC(C)(C=C)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)/CC/C=C(\C)/CC(/C=C(\C)/C(=O)O)O,0.0,0.0,0.5732559859752655,0.5732559859752655,0.593406617641449,10.0,34.26495623588562,2
C/C(=C\CCC(C)(C=C)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)OC(=O)/C(=C/CCC(C)(C=C)O)/C)OC(=O)/C(=C/CCC(C)(C=C)O)/C)O)/C(=O)O,0.0,0.0,0.28973466455936425,0.2986774861812591,0.33402159512043,1.0,32.82401056289673,5
C/C(=C\CNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)/CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,0.0,0.25,0.8134057819843292,0.8550724536180496,0.8207314312458038,13.5,17.785958468914032,4
C/C(=C\COC(=O)C)/C(CC1C(=C)C(C(=O)C2C1(CCC(C2(C)C)O)C)OC(=O)C)OC(=O)C,0.0,0.0,0.27973857522010803,0.28031401336193085,0.3401493579149246,9.0,20.15770387649536,2
C/C(=C\COC(=O)C)/C(CC1C(=C)C(C(=O)C2C1(CCC(C2(C)C)OC(=O)C)C)OC(=O)C)OC(=O)C,0.0,0.0,0.2716112583875656,0.28982512652873993,0.324999988079071,3.0,21.296627163887024,2
C/C(=C\CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)/CC[C@@H]2C(=C)CC[C@H]3[C@]2(CC[C@H]([C@]3(C)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)C,0.0,0.0,0.5289593398571014,0.5899448931217194,0.5381976902484894,9.4,30.89341745376587,5
