name,reported_exact_top1,pred1_exact_canon,pred10_exact_canon,proposal_exact_canon,pred1_formula_match,all_pred_formula_match,raw_duplicate_pred_count,canon_duplicate_pred_count,proposal_position_in_predictions
MassSpecGymID0000201,0.0,False,False,False,True,False,0,0,8.0
MassSpecGymID0000202,0.0,False,False,False,True,False,0,0,10.0
MassSpecGymID0000203,0.0,False,False,False,True,False,0,0,6.0
MassSpecGymID0000204,0.0,False,False,False,True,False,0,0,6.0
MassSpecGymID0000205,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000206,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000207,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000208,0.0,False,False,False,True,False,0,0,10.0
MassSpecGymID0000209,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000210,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000211,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000212,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000213,0.0,False,False,False,True,False,0,0,6.0
MassSpecGymID0000214,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000215,0.0,False,False,False,True,False,0,0,8.0
MassSpecGymID0000216,0.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0000217,0.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0000218,0.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0000219,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000220,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000221,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000222,0.0,False,False,False,True,False,0,0,6.0
MassSpecGymID0000223,0.0,False,False,False,True,False,0,0,5.0
MassSpecGymID0000224,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0000226,0.0,False,False,False,True,False,0,0,10.0
MassSpecGymID0000227,0.0,False,False,False,True,False,0,0,7.0
MassSpecGymID0000228,0.0,False,False,False,True,False,0,0,9.0
MassSpecGymID0000229,0.0,False,False,False,True,False,0,0,8.0
MassSpecGymID0000230,0.0,False,False,False,True,False,0,0,7.0
MassSpecGymID0000231,0.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0000232,0.0,False,False,False,True,False,0,0,9.0
MassSpecGymID0000233,0.0,False,False,False,True,True,0,0,1.0
